category	official	new-root-human	wiki	legacy-ai	unknown	total
scenario_title	115	1	14	0	721	851
scenario_dialogue	0	1	5	0	694	700
scenario_character_name	50	0	4	0	562	616
scenario_synopsis	9	0	76	0	50	135
scenario_area_detail	0	0	0	0	75	75
voice_subtitle_dialogue	2	0	2	0	299	303
skill_battle_effect	908	2374	1	0	1660	4943
battle_ui_or_miss	1	0	0	0	5	6
character_profile	5	0	0	0	6	11
character_profile_live2d	24	0	2	0	300	326
item_and_title_candidate	666	12	29	0	1736	2443
shop_dialogue	47	1	2	0	1774	1824
memoria_card	27	0	1	0	144	172
native_engine_ui	207	303	2	0	109	621
frontend_ui	61	0	0	1640	0	1701
static_ui	0	0	0	0	297	297
wiki_glossary	0	0	955	0	0	955
other	0	0	3	0	0	3
