term_id	japanese	candidate_cn	authority	weight	status	selected	source_locator	scanned_files	hit_count	evidence
chara_1051_name	ヘルカ		official_cn_dump	400	absent	false	D:/magia/MyProducts/MAGIA RECORD CN/origin_apktool_decoded	9760	0	2026-08-09只读扫描；日文、正确中文及已知错名均为0命中，因此不得标记为官方译文
chara_1051_name	ヘルカ	赫露迦	wiki	300	present	true	HiiragiNemu/magireco-wiki-data:data/characters.json#id=1051;data/archive/articles.jsonl.gz#魔法少女贴纸/206			官方旧国服缺失后按优先级采用Wiki
chara_1051_name	ヘルカ	赫尔卡	new_human_or_llm	100	rejected	false	A:/cn_js_update_v3_authoritative_cn_dump_pass8_final.zip!magica/js/libs/{itemList,sectionList}.json			pass8 residual；低权重错名，禁止回流
chara_1051_name	ヘルカ	胜乐金刚	new_human_or_llm	100	rejected	false	git:b7929aa5ed02e56345790c29e645ad392122d331:magica/js/libs/jquery-3.7.1.min.js			旧运行时产物错名，禁止回流
chara_1052_name	トヨ		official_cn_dump	400	absent	false	D:/magia/MyProducts/MAGIA RECORD CN/origin_apktool_decoded	9760	0	2026-08-09只读扫描；日文、正确中文及已知错名均为0命中，因此不得标记为官方译文
chara_1052_name	トヨ	台与	wiki	300	present	true	HiiragiNemu/magireco-wiki-data:data/characters.json#id=1052;data/archive/articles.jsonl.gz#魔法少女贴纸/208			官方旧国服缺失后按优先级采用Wiki
chara_1052_name	トヨ	丰	new_human_or_llm	100	rejected	false	A:/cn_js_update_v3_authoritative_cn_dump_pass8_final.zip!magica/js/libs/{itemList,sectionList}.json			pass8 residual；低权重错名，禁止回流
chara_1052_name	トヨ	东洋	new_human_or_llm	100	rejected	false	git:b7929aa5ed02e56345790c29e645ad392122d331:magica/js/libs/jquery-3.7.1.min.js			旧运行时产物错名，禁止回流
chara_1053_name	アマリュリス		official_cn_dump	400	absent	false	D:/magia/MyProducts/MAGIA RECORD CN/origin_apktool_decoded	9760	0	2026-08-09只读扫描；日文、正确中文及已知错名均为0命中，因此不得标记为官方译文
chara_1053_name	アマリュリス	阿玛琉莉丝	wiki	300	present	true	HiiragiNemu/magireco-wiki-data:data/characters.json#id=1053;data/archive/articles.jsonl.gz#魔法少女贴纸/210			官方旧国服缺失后按优先级采用Wiki
chara_1053_name	アマリュリス	阿玛莉莉丝	new_human_or_llm	100	rejected	false	A:/cn_js_update_v3_authoritative_cn_dump_pass8_final.zip!magica/js/libs/{itemList,sectionList}.json			pass8 residual；低权重错名，禁止回流
chara_1053_name	アマリュリス	苦杏仁	new_human_or_llm	100	rejected	false	git:b7929aa5ed02e56345790c29e645ad392122d331:magica/js/libs/jquery-3.7.1.min.js			旧运行时产物错名，禁止回流
