index	storyIds	field	before	after	source_tier	rationale
66	510051-13	storyTitle	5话(End No1)	5话（结局1）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
74	510051-25	storyTitle	8话(End No3)	8话（结局3）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
79	510051-26	storyTitle	10话(End No2)	10话（结局2）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
80	510051-43	storyTitle	INTERMISSION	幕间	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
90	510051-40	storyTitle	TRUE END	真结局	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
92	510051-31	storyTitle	9话(End No4)	9话（结局4）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
93	510051-34	storyTitle	13话(End No5)	13话（结局5）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
94	510051-38	storyTitle	14话(End No6)	14话（结局6）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
95	510051-41	storyTitle	15话(End No7)	15话（结局7）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
96	510051-42	storyTitle	EPILOGUE	尾声	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
293	501701-16	storyTitle	5话(End No1)	5话（结局1）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
301	501701-24	storyTitle	9话(End No2)	9话（结局2）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
313	501701-36	storyTitle	10话(End No3) 	10话（结局3）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
327	501702-11	storyTitle	15话(End No4)	15话（结局4）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
331	501702-15	storyTitle	19话(End No5)	19话（结局5）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
333	501702-17	storyTitle	18话(End No6)	18话（结局6）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
341	501702-25	storyTitle	23话(End No7)	23话（结局7）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
344	501702-28	storyTitle	22话(End No8)	22话（结局8）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
347	501702-32	storyTitle	21话(End No9)	21话（结局9）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
351	501702-35	storyTitle	7话(TRUE END)	7话（真结局）	manual-structural-ui-term	将 TRUE END 改为“真结局”，并统一使用全角括号
352	501702-36	storyTitle	EPILOGUE	尾声	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
733	504901-1	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
733	504901-1	storyTitle	Prologue	序章	current-product-exact-convention	同文件已有 8 条“序章”精确惯例
734	504901-2,504901-3	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
734	504901-2,504901-3	storyTitle	Record Ⅰ	记录Ⅰ	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
735	504901-4,504901-5	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
735	504901-4,504901-5	storyTitle	Record Ⅱ	记录Ⅱ	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
736	504901-6,504901-7	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
736	504901-6,504901-7	storyTitle	Record Ⅲ	记录Ⅲ	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
737	504901-8	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
737	504901-8	storyTitle	Intermission	幕间	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
738	504901-9,504901-10	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
738	504901-9,504901-10	storyTitle	Record Ⅳ	记录Ⅳ	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
739	504901-11,504901-12	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
739	504901-11,504901-12	storyTitle	Record Ⅴ-1	记录Ⅴ-1	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
740	504901-13,504901-14	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
740	504901-13,504901-14	storyTitle	Record Ⅴ-2	记录Ⅴ-2	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
741	504901-15	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
741	504901-15	storyTitle	Record Ⅵ-1	记录Ⅵ-1	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
742	504901-16,504901-17	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
742	504901-16,504901-17	storyTitle	Record Ⅵ-2	记录Ⅵ-2	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
743	504901-18	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
743	504901-18	storyTitle	Record Ⅶ-1	记录Ⅶ-1	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
744	504901-19	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
744	504901-19	storyTitle	Record Ⅶ-2	记录Ⅶ-2	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
745	504901-20,504901-21	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
745	504901-20,504901-21	storyTitle	Record Ⅶ-3	记录Ⅶ-3	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
746	504901-22	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
746	504901-22	storyTitle	Record Ⅷ-1	记录Ⅷ-1	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
747	504901-23,504901-24	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
747	504901-23,504901-24	storyTitle	Record Ⅷ-2	记录Ⅷ-2	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
748	504901-25,504901-26	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
748	504901-25,504901-26	storyTitle	Record Ⅸ	记录Ⅸ	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
749	504901-27	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
749	504901-27	storyTitle	Record Ⅹ	记录Ⅹ	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
750	504901-28	pointTitle	Story	剧情	manual-structural-ui-term	事件剧情分组标题；与角色对白无关，完整界面标签中文化
750	504901-28	storyTitle	Epilogue	尾声	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
945	505901-13	storyTitle	5话(End No1)	5话（结局1）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
953	505901-25	storyTitle	8话(End No3)	8话（结局3）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
958	505901-26	storyTitle	10话(End No2)	10话（结局2）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
959	505901-43	storyTitle	INTERMISSION	幕间	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
969	505901-40	storyTitle	TRUE END	真结局	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
971	505901-31	storyTitle	9话(End No4)	9话（结局4）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
972	505901-34	storyTitle	13话(End No5)	13话（结局5）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
973	505901-38	storyTitle	14话(End No6)	14话（结局6）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
974	505901-41	storyTitle	15话(End No7)	15话（结局7）	manual-structural-ui-term	将英文结局编号改为中文，并统一使用全角括号
975	505901-42	storyTitle	EPILOGUE	尾声	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
1014	506001-67_prYFv	storyTitle	EPILOGUE	尾声	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
1210	506882-82_LiUXu	storyTitle	EPILOGUE	尾声	manual-structural-ui-term	章节结构标签逐项中文化；保留原有罗马数字与分段编号
