file	json_path	stable_id	field	before	after	source_tier	source_record	reason
pieceSkillMap.json	$.161200.name		name	Never Forget	永不忘却	current-pieceList-title-authority	piece_title_localization_20260820/APPLIED.tsv::pieceId=1612	完整旧英文标题精确匹配；同步当前 pieceList 中文标题
pieceSkillMap.json	$.161201.name		name	Never Forget	永不忘却	current-pieceList-title-authority	piece_title_localization_20260820/APPLIED.tsv::pieceId=1612	完整旧英文标题精确匹配；同步当前 pieceList 中文标题
sectionList.json	$[1286].title	sectionId=340512	title	Standby Ready	准备就绪	current-pieceList-title-authority	piece_title_localization_20260820/APPLIED.tsv::pieceId=1356	完整旧英文标题精确匹配；同步当前 pieceList 中文标题
shopItemList.json	$[468].name	id=16714	name	Miracle☆Reporters	奇迹☆记者们	current-pieceList-title-authority	piece_title_localization_20260820/APPLIED.tsv::pieceId=1678	完整旧英文标题精确匹配；同步当前 pieceList 中文标题
shopItemList.json	$[656].name	id=29898	name	Next☆Actor	下一位☆演员	current-pieceList-title-authority	piece_title_localization_20260820/APPLIED.tsv::pieceId=1961	完整旧英文标题精确匹配；同步当前 pieceList 中文标题
cardList.json	$[96].cardName	cardId=10424	cardName	Kyubert	小丘比	current-charaList-stable-character	charaList.json::id=1042::name	同角色稳定 ID
cardList.json	$[97].cardName	cardId=10425	cardName	Kyubert	小丘比	current-charaList-stable-character	charaList.json::id=1042::name	同角色稳定 ID
sectionList.json	$[570].charaName	sectionId=310421	charaName	Kyubert	小丘比	current-charaList-stable-character	charaList.json::id=1042::name	同角色稳定 ID
sectionList.json	$[571].charaName	sectionId=310422	charaName	Kyubert	小丘比	current-charaList-stable-character	charaList.json::id=1042::name	同角色稳定 ID
sectionList.json	$[572].charaName	sectionId=310423	charaName	Kyubert	小丘比	current-charaList-stable-character	charaList.json::id=1042::name	同角色稳定 ID
sectionList.json	$[573].charaName	sectionId=310424	charaName	Kyubert	小丘比	current-charaList-stable-character	charaList.json::id=1042::name	同角色稳定 ID
sectionList.json	$[573].title	sectionId=310424	title	Kyubert 的试炼	小丘比的试炼	current-charaList-name-in-existing-cn-title	charaList.json::id=1042::name	仅替换中文标题中的角色名
itemList.json	$[1141].name		name	Over Limiter	限制解除器	current-pieceList-item-name-authority	pieceList.json::pieceId=1297::pieceName	同用途道具采用当前 pieceList 中文名称
itemList.json	$[1142].name		name	Over Limiter - Core	限制解除器·核心	current-pieceList-item-name-authority	pieceList.json::pieceId=1298::pieceName	同用途道具采用当前 pieceList 中文名称
shopItemList.json	$[549].name	id=23002	name	Over Limiter - Core	限制解除器·核心	current-pieceList-item-name-authority	pieceList.json::pieceId=1298::pieceName	同用途道具采用当前 pieceList 中文名称
shopItemList.json	$[619].name	id=27703	name	Over Limiter - Core	限制解除器·核心	current-pieceList-item-name-authority	pieceList.json::pieceId=1298::pieceName	同用途道具采用当前 pieceList 中文名称
