dictionary	pointer	original_text	final_cn	action	source_tier	source_path	risk
cardMagiaMap.json	/90466/name	粛清天使	肃清天使	replaced	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\templates.jsonl.gz#jsonl:1567:/wikitext/magia日文;jsonl:1567:/wikitext/magia中文	high
chapterList.json	/23/chapterNoForView	現代神滨篇	现代神滨篇	replaced	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/5668/title	medium
charaList.json	/30/school	宝崎市立光塚中等教育学校	宝崎市立光冢中等教育学校	replaced	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/神乐灿/infobox/出身地;/游狩美由利/infobox/出身地	high
charaList.json	/31/school	宝崎市立光塚中等教育学校	宝崎市立光冢中等教育学校	replaced	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/神乐灿/infobox/出身地;/游狩美由利/infobox/出身地	high
charaMessageList.json	/7782/message	"我是旅行调整屋之一，篠目约鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	"我是旅行调整屋之一，篠目夜鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	replaced	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	high
charaMessageList.json	/7783/message	"您好，我叫篠目约鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	"您好，我叫篠目夜鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	replaced	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	high
charaMessageList.json	/7851/message	準備完了	准备完毕	replaced	3_manual_verified	人工逐项字形、语义与同族字段核对	medium
charaMessageList.json	/7859/message	好評配信中	好评发布中	replaced	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2700:/wikitext/台词77;jsonl:2709:/wikitext/台词77;jsonl:2730:/wikitext/台词77	medium
charaMessageList.json	/8340/message	好評配信中！	好评发布中！	replaced	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2735:/wikitext/台词76;jsonl:2792:/wikitext/台词78;jsonl:2801:/wikitext/台词77	medium
charaMessageList.json	/9042/message	好評配信中	好评发布中	replaced	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2700:/wikitext/台词77;jsonl:2709:/wikitext/台词77;jsonl:2730:/wikitext/台词77	medium
charaMessageList.json	/9103/message	仏罰！	佛罚！	replaced	3_manual_verified	人工逐项字形、语义与同族字段核对	medium
