review_index	original_text	final_cn	expected_occurrences	classification	risk	source_tier	source_path	translation_note
1	10连扭蛋券内含特別套装。详情可点击图标查看。	10连扭蛋券内含特别套装。详情可点击图标查看。	2	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
2	114,宮尾时雨	114,宫尾时雨	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10294/cardName	仅替换官方国服已确认的名称或用词组件
3	11世紀北欧	11世纪北欧	2	A	low	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/究極vs至高/desc_ja;/究極vs至高/desc_zh	仅替换Wiki已确认的名称或用词组件
4	1200日纪念特別套装。详情可点击图标查看。	1200日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
5	128,南津涼子	128,南津凉子	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/30584/cardName	仅替换官方国服已确认的名称或用词组件
6	136,飾利潤	136,饰利润	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/饰利润/nameJa;/饰利润/nameZh	仅替换Wiki已确认的名称或用词组件
7	139,恵萌花	139,惠萌花	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/30343/cardName	仅替换官方国服已确认的名称或用词组件
8	1600日纪念特別套装。详情可点击图标查看。	1600日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
9	1700日纪念特別套装。详情可点击图标查看。	1700日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
10	1800日纪念特別套装。详情可点击图标查看。	1800日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
