file	line	context	exact_text	visibility_reason	false_positive_reason	confidence
magica/template/etc/LawPopup.html	10	販売業者<br>	販売業者	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	13	販売責任者<br>	販売責任者	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	16	本社<br>	本社	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	17	&nbsp;&nbsp;所在地：〒102-8353&nbsp;東京都千代田区六番町４番地５<br>	所在地：〒102-8353 東京都千代田区六番町４番地５	法律信息弹窗中的直接可见文本		medium
magica/template/etc/LawPopup.html	25	販売価格<br>	販売価格	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	44	動作環境<br>	動作環境	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	54	発行業者<br>	発行業者	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	56	&nbsp;&nbsp;東京都千代田区六番町4番地5<br>	東京都千代田区六番町4番地5	法律信息弹窗中的直接可见文本		medium
magica/template/etc/LawPopup.html	58	支払可能金額等<br>	支払可能金額等	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	61	有効期間<br>	有効期間	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	68	使用場所<br>	使用場所	法律信息弹窗中的直接可见文本		high
magica/template/etc/LawPopup.html	82	利用規約<br>	利用規約	法律信息弹窗中的直接可见文本		high
magica/template/event/raid/EventRaidCloseTop.html	17	"<li class=""btn TE se_tabs mission1"" data-wrap=""mission1"" data-mission-name=""個人撃破報酬"">"	個人撃破報酬	data-mission-name 会被 EventRaidCloseTop.js 写入 #listTitle，运行时玩家可见		high
magica/template/event/raid/EventRaidCloseTop.html	21	"<li class=""btn TE se_tabs mission2"" data-wrap=""mission2"" data-mission-name=""全体撃破報酬"">"	全体撃破報酬	data-mission-name 会被 EventRaidCloseTop.js 写入 #listTitle，运行时玩家可见		high
magica/template/event/raid/EventRaidTop.html	354	"<li class=""btn TE se_tabs mission1"" data-wrap=""mission1"" data-mission-name=""個人撃破報酬"">"	個人撃破報酬	data-mission-name 会被 EventRaidTop.js 写入 #listTitle，运行时玩家可见		high
magica/template/event/raid/EventRaidTop.html	358	"<li class=""btn TE se_tabs mission2"" data-wrap=""mission2"" data-mission-name=""全体撃破報酬"">"	全体撃破報酬	data-mission-name 会被 EventRaidTop.js 写入 #listTitle，运行时玩家可见		high
magica/template/follow/FollowSearch.html	7	"<option selected=""selected"" value=""0"">不指定</option>"	不指定	生产搜索页 select 选项直接显示；词形与日服原文一致，需人工确认采用中文“不限/不指定”		medium
magica/template/follow/FollowSearch.html	20	"<option selected=""selected"" value=""0"">不指定</option>"	不指定	生产搜索页 select 选项直接显示；词形与日服原文一致，需人工确认采用中文“不限/不指定”		medium
magica/template/follow/FollowSearch.html	39	"<option selected=""selected"" value=""0"">不指定</option>"	不指定	生产搜索页 select 选项直接显示；词形与日服原文一致，需人工确认采用中文“不限/不指定”		medium
magica/template/follow/FollowSearch.html	56	"<option selected=""selected"" value=""0"">不指定</option>"	不指定	生产搜索页 select 选项直接显示；词形与日服原文一致，需人工确认采用中文“不限/不指定”		medium
magica/template/purchase/PurchaseTemps.html	4	未成年の方は保護者の同意を得て下さい。<br><br>	未成年の方は保護者の同意を得て下さい。	年龄认证 text/template 实例化后直接显示		high
