text	occurrences	dictionaries	fields	keys	confidence	evidence_sample	review_index	classification	classification_label	risk	semantic_note	wiki_check_recommended	wiki_check_note
10连扭蛋券内含特別套装。详情可点击图标查看。	2	shopItemList.json	description	shopItemList.json:12495/description | shopItemList.json:15560/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/12495/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	1	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
114,宮尾时雨	1	itemList.json	parameter	itemList.json:EVENT_DAILYTOWER_1130_STICKER_102900/parameter	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1130_STICKER_102900/parameter | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	2	C	专名，须查Wiki	high	人物名嵌在“编号,姓名”参数中；查Wiki typed name pair，只替姓名并保留编号114、逗号与字段结构。	True	角色贴纸参数，逗号前为编号；姓名部分须按 Wiki 角色条目统一，并保留参数结构。
11世紀北欧	2	itemList.json	shortDescription	itemList.json:EVENT_DAILYTOWER_1212_STICKER_104900/shortDescription | itemList.json:EVENT_DAILYTOWER_1212_STICKER_105000/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1212_STICKER_104900/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	3	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	True	活动贴纸的时代／地域标签，含历史地名与世纪表述；应核对 Wiki 活动用语。
1200日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:11937/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/11937/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	4	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
128,南津涼子	1	itemList.json	parameter	itemList.json:EVENT_DAILYTOWER_1130_STICKER_305800/parameter	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1130_STICKER_305800/parameter | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	5	C	专名，须查Wiki	high	人物名嵌在“编号,姓名”参数中；查Wiki typed name pair，只替姓名并保留编号128及逗号。	True	角色贴纸参数，逗号前为编号；姓名部分须按 Wiki 角色条目统一，并保留参数结构。
136,飾利潤	1	itemList.json	parameter	itemList.json:EVENT_DAILYTOWER_1130_STICKER_305100/parameter	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1130_STICKER_305100/parameter | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	6	C	专名，须查Wiki	high	人物名嵌在“编号,姓名”参数中；与同角色的带空格/无空格字段统一，保留编号136。	True	角色贴纸参数，逗号前为编号；姓名部分须按 Wiki 角色条目统一，并保留参数结构。
139,恵萌花	1	itemList.json	parameter	itemList.json:EVENT_DAILYTOWER_1130_STICKER_303400/parameter	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=恵 | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1130_STICKER_303400/parameter | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	7	C	专名，须查Wiki	high	人物名嵌在“编号,姓名”参数中；Wiki存在 typed name pair，保留编号139。	True	角色贴纸参数，逗号前为编号；姓名部分须按 Wiki 角色条目统一，并保留参数结构。
1600日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:18380/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/18380/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	8	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
1700日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:20043/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/20043/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	9	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
1800日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:21769/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/21769/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	10	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
1900日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:23638/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/23638/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	11	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
2000日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:25382/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/25382/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	12	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
2100日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:27569/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/27569/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	13	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
2300日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:30695/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/30695/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	14	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
2400日纪念特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:32345/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/32345/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	15	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
3世紀日本 邪馬台国	1	itemList.json	shortDescription	itemList.json:EVENT_DAILYTOWER_1212_STICKER_105200/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1212_STICKER_105200/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	16	A	仅日文字形/繁简规范	medium	历史时空标签；只做字形规范，保留世纪数、“日本”与历史专名的边界。	True	活动贴纸的时代／地域标签，含历史地名与世纪表述；应核对 Wiki 活动用语。
3周年DX福袋(銀)	1	shopItemList.json	name	shopItemList.json:10621/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/10621/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	17	A	仅日文字形/繁简规范	low	福袋商品名只涉及金属档位字形；不可把银档与铜档合并。	True	周年商店礼包名；DX 与金属档位属于标题组成，需核对 Wiki 或同系列固定命名。
