peer_rule_id	audit_index	path	line	slot	kind	scope_class	old	proposed_new	anchor_before	anchor_after	decision	confidence	evidence_type	evidence	structure_preserved	structure_note	application_mode	placeholder_status	production_status	repeated_old_count	repeated_old_indexes	context_variant	main_value	main_relation	exclusion_class	risk
peer_static_001	0	magica/js/test/Backdoor.js	581	208	js_string	test_or_backdoor	受取完了	领取完成	受取完了	领取完成	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	3	0,1,2	same_translation_across_contexts	受取完了	current_main_untranslated	none	low: direct UI translation
peer_static_002	1	magica/js/test/Backdoor.js	656	213	js_string	test_or_backdoor	受取完了	领取完成	受取完了	领取完成	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	3	0,1,2	same_translation_across_contexts	受取完了	current_main_untranslated	none	low: direct UI translation
peer_static_003	2	magica/js/test/Backdoor.js	716	217	js_string	test_or_backdoor	受取完了	领取完成	受取完了	领取完成	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	3	0,1,2	same_translation_across_contexts	受取完了	current_main_untranslated	none	low: direct UI translation
peer_static_004	3	magica/js/test/BackdoorList.js	65	35	js_string	test_or_backdoor	バトルミュージアムの回復機能をリセットしますか？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	バトルミュージアムの回復機能をリセットしますか？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	translate	medium	project_glossary_alignment	aligned to established baseline/current-candidate terms such as 回复、精神强化素材、支援角色、魔女化身、行动盘、魔女之夜、魔法石	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	是否要重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_005	4	magica/js/test/BackdoorList.js	76	37	js_string	test_or_backdoor	バトルミュージアムの回復機能をリセットしました	已重置战斗博物馆的回复功能	バトルミュージアムの回復機能をリセットしました	已重置战斗博物馆的回复功能	translate	medium	project_glossary_alignment	aligned to established baseline/current-candidate terms such as 回复、精神强化素材、支援角色、魔女化身、行动盘、魔女之夜、魔法石	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	战斗 博物馆的 回复 功能已重置	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_006	5	magica/js/test/BackdoorList.js	99	44	js_string	test_or_backdoor	検索サーバにユーザーを登録しました。<br>しばらく待つと検索できるようになります。（最長15分）	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	検索サーバにユーザーを登録しました。<br>しばらく待つと検索できるようになります。（最長15分）	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	用户 已在搜索服务器上注册。<br>过一会儿，你就可以搜索了。 （最多 15 分钟）	peer_differs_from_current_main	none	low: direct UI translation
peer_static_007	6	magica/js/test/BackdoorList.js	118	49	js_string	test_or_backdoor	実行するにはデッキ１が「いろは単デッキ」になっている<br>必要があります。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	実行するにはデッキ１が「いろは単デッキ」になっている<br>必要があります。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	translate	medium	frozen_project_terminology	frozen terms: ガチャ=扭蛋; ボックスガチャ=箱子扭蛋; デッキ=队伍; フォーメーション=魔法阵型; エピソードLv=剧情等级	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	要执行此操作，甲板 1 必须是单个 Iroha 甲板。<br>有需要。	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_008	7	magica/js/test/BackdoorList.js	146	57	js_string	test_or_backdoor	第二部の11章まで一括クリアします。	将第二部至第11章一键通关。	第二部の11章まで一括クリアします。	将第二部至第11章一键通关。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	通关 直至第 2 部分第 11 章。	peer_differs_from_current_main	none	low: direct UI translation
peer_static_009	8	magica/js/test/BackdoorList.js	200	80	js_string	test_or_backdoor	を登録しました。	已注册。	を登録しました。	已注册。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	已被注册。	peer_differs_from_current_main	none	low: direct UI translation
peer_static_010	9	magica/js/test/BackdoorList.js	220	85	js_string	test_or_backdoor	TU999を登録しました。	已注册TU999。	TU999を登録しました。	已注册TU999。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	TU999已注册。	peer_differs_from_current_main	none	low: direct UI translation
