pieceId	field	before	after	source_tier	authority	source_repository	source_commit	source_record	match_method
1025	pieceName	Different Story：Rookies	另一段故事：新人们	manual-user-directed-fallback	用户明确要求中文化；无 Wiki 同记录中文时的人工译名				完整标题精确匹配；仅限本轮明确列出的五项
1050	pieceName	As a fashion model 	作为一位时尚模特	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.as-a-fashion-model::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1061	pieceName	Begin a Hunt	开始狩猎	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.begin-a-hunt::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1065	pieceName	Splash party!	戏水派对！	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.splash-party::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1322	pieceName	Three geniuses	三位天才	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.three-geniuses::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1603	pieceName	Kumanosuke's Kawaii Vid	熊乃介的卡哇伊视频	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.kumanosuke-s-kawaii-vid::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1604	pieceName	My Victory Pose Is Kawaii Too	我的胜利姿势也很卡哇伊唷	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.my-victory-pose-is-kawaii-too::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1605	pieceName	Kawaii Collection	卡哇伊收藏	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.kawaii-collection::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1728	pieceName	she has a heart	她也有一颗心	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.she-has-a-heart::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
1731	pieceName	Sisters	姐妹	wiki-exact-same-record	HiiragiNemu Wiki 同记录中文标题	HiiragiNemu/magireco-wiki-data	2a27d64e3c59c893c177c5349b3a6c8134117aea	$.sisters::name_ja->name_zh	Unicode/标点/大小写归一化后的完整标题精确匹配
