pieceId	pieceName	wiki_same_record_chinese_candidates	reason	next_authority
1356	Standby Ready		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1524	Miracle Heroines		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1548	The Great Escape		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1554	Maid in Vampire		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1571	Little Vacation		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1588	The Great Father		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1608	Disguise		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1609	Night Buzz Time		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1610	Secret of Success		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1611	Naked Heart		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1612	Never Forget		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1678	Miracle☆Reporters		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1745	First record		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1767	Forever in Me		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1791	Little Summer Vacation		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1808	Mikoto in Mirrors		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1863	Bitter & Citrus		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1961	Next☆Actor		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
1985	Bitter Sweet Heart		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
10002	Artist and assistants		no-unique-same-record-wiki-chinese-match	国服官方数据 > Wiki 进一步核对 > 人工翻译
