closure_id	path	stable_key	field	before	after	source_tier	review_status	machine_translated	evidence
TERM-OFFICIAL-0001	magica/js/libs/cardSkillMap.json	10394	shortDescription	攻击力UP[Ⅶ] & 伤害削减状态[Ⅶ]	攻击力提升[Ⅶ] & 伤害削减状态[Ⅶ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\ShopTop_001.json/shopList/6/shopItemList/19/card/cardSkill/shortDescription
TERM-OFFICIAL-0002	magica/js/libs/cardSkillMap.json	30025	shortDescription	攻击力UP[Ⅸ] & 防御力UP[Ⅸ]	攻击力提升[Ⅸ] & 防御力提升[Ⅸ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\4d08c3ed-126c-11eb-9ce6-5254006fb23f_001.json/userCardList/4/card/cardSkill/shortDescription
TERM-OFFICIAL-0003	magica/js/libs/cardSkillMap.json	30394	shortDescription	攻击力UP[Ⅶ] & 伤害削减状态[Ⅶ]	攻击力提升[Ⅶ] & 伤害削减状态[Ⅶ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\ShopTop_001.json/shopList/6/shopItemList/19/card/cardSkill/shortDescription
TERM-OFFICIAL-0004	magica/js/libs/cardSkillMap.json	30404	shortDescription	攻击力UP[Ⅶ] & Accele MPUP[Ⅶ]	攻击力提升[Ⅶ] & Accele MP提升[Ⅶ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\453ca7eb-1a79-11eb-a13c-52540028ceb1_001.json/userCharaList/5/chara/evolutionCard1/cardSkill/shortDescription
TERM-OFFICIAL-0005	magica/js/libs/cardSkillMap.json	30424	shortDescription	Blast伤害UP[Ⅶ] & Charge后伤害UP[Ⅳ] & Accele MPUP[Ⅴ]	Blast伤害提升[Ⅶ] & Charge后伤害提升[Ⅳ] & Accele MP提升[Ⅴ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\ShopTop_001.json/shopList/6/shopItemList/93/card/cardSkill/shortDescription
TERM-OFFICIAL-0006	magica/js/libs/emotionSkillMap.json	1006102	shortDescription	MP100以上时MP获得量UP[Ⅱ]	MP100以上时MP获得量提升[Ⅱ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\01fa31b4-0d0a-11eb-ba4b-5254003fbb4e_001.json/userCharaList/1/chara/enhancementCellList/7/emotionSkill/shortDescription
TERM-OFFICIAL-0007	magica/js/libs/emotionSkillMap.json	1006105	shortDescription	Accele MPUP[Ⅱ]	Accele MP提升[Ⅱ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\025543d3-0d4c-11eb-8560-52540079ea6c_001.json/userCharaList/1/chara/enhancementCellList/12/emotionSkill/shortDescription
TERM-OFFICIAL-0008	magica/js/libs/emotionSkillMap.json	1006108	shortDescription	MP100以上时MP获得量UP[Ⅱ]	MP100以上时MP获得量提升[Ⅱ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\01fa31b4-0d0a-11eb-ba4b-5254003fbb4e_001.json/userCharaList/1/chara/enhancementCellList/7/emotionSkill/shortDescription
TERM-OFFICIAL-0009	magica/js/libs/emotionSkillMap.json	1006109	shortDescription	Magia伤害UP[Ⅱ]	Magia伤害提升[Ⅱ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\01fa31b4-0d0a-11eb-ba4b-5254003fbb4e_001.json/userCharaList/1/chara/enhancementCellList/17/emotionSkill/shortDescription
TERM-OFFICIAL-0010	magica/js/libs/emotionSkillMap.json	1006111	shortDescription	Magia伤害UP[Ⅱ]	Magia伤害提升[Ⅱ]	official-cn	official-source-verified	false	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\friend\user\01fa31b4-0d0a-11eb-ba4b-5254003fbb4e_001.json/userCharaList/1/chara/enhancementCellList/17/emotionSkill/shortDescription
