path	slot	category	base	main	pass	current	raw_expected	raw_status	semantic_expected	semantic_status	review_note
magica/js/event/EventArenaRankMatch/Result.js	7	pass_only	战斗耗时超过时限,<br>本次战斗无效。<br>返回活动TOP。	战斗耗时超过时限,<br>本次战斗无效。<br>返回活动TOP。	战斗耗时超过规定时间，<br>本次战斗无效。<br>返回活动首页。	战斗耗时超过规定时间，<br>本次战斗无效。<br>返回活动首页。	战斗耗时超过规定时间，<br>本次战斗无效。<br>返回活动首页。	PASS	战斗耗时超过规定时间，<br>本次战斗无效。<br>返回活动首页。	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	8	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	11	pass_only	不在排位战的可玩期间内,<br>对战结果不会被记录。<br>返回首页。	不在排位战的可玩期间内,<br>对战结果不会被记录。<br>返回首页。	当前不在排位赛开放期间，<br>对战结果不会被记录。<br>返回首页。	当前不在排位赛开放期间，<br>对战结果不会被记录。<br>返回首页。	当前不在排位赛开放期间，<br>对战结果不会被记录。<br>返回首页。	PASS	当前不在排位赛开放期间，<br>对战结果不会被记录。<br>返回首页。	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	12	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	15	pass_only	无法正确获取战斗结果。<br>返回首页。	无法正确获取战斗结果。<br>返回首页。	未能正确获取战斗结果。<br>返回首页。	未能正确获取战斗结果。<br>返回首页。	未能正确获取战斗结果。<br>返回首页。	PASS	未能正确获取战斗结果。<br>返回首页。	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	16	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	27	pass_only	要将本次镜界对战<br>保存为回放吗?	要将本次镜界对战<br>保存为回放吗?	要将本次镜界对战<br>保存为回放吗？	要将本次镜界对战<br>保存为回放吗？	要将本次镜界对战<br>保存为回放吗？	PASS	要将本次镜界对战<br>保存为回放吗？	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	36	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	40	pass_only	已保存为回放。<br><br>有效期:	已保存为回放。<br><br>有效期:	已保存为回放。<br><br>有效期：	已保存为回放。<br><br>有效期：	已保存为回放。<br><br>有效期：	PASS	已保存为回放。<br><br>有效期：	PASS	—
magica/js/event/EventArenaRankMatch/Result.js	44	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/Backdoor.js	22	main_only	号码无效	数量不正确	号码无效	数量不正确	数量不正确	PASS	数量不正确	PASS	—
