change_id	file	json_pointer	stable_key	field	before	after	source_tier	evidence	translation_method	manual_review_status	confidence	rules	notes	current_product_cn	pass18_current_status	strict_lookup_method	superseding_closure_id	superseding_source_tier	superseding_review_status	inventory_component	inventory_review_status
P18-00001	magica/js/libs/cardList.json	/127/cardName	11044	cardName	谣莎奈	传闻莎奈	official_cn_term_component	official dump authority.json uses 传闻 terminology; Wiki exact variant context	authority-component-normalization	authority-verified	1.00	official_cn_term_component		传闻莎奈	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00002	magica/js/libs/cardList.json	/128/cardName	11045	cardName	谣莎奈	传闻莎奈	official_cn_term_component	official dump authority.json uses 传闻 terminology; Wiki exact variant context	authority-component-normalization	authority-verified	1.00	official_cn_term_component		传闻莎奈	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00003	magica/js/libs/cardList.json	/186/cardName	13034	cardName	谣鹤乃	传闻鹤乃	official_cn_character_name	official dump authority.json official character component	authority-component-normalization	authority-verified	1.00	official_cn_character_name		传闻鹤乃	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00004	magica/js/libs/cardList.json	/187/cardName	13035	cardName	谣鹤乃	传闻鹤乃	official_cn_character_name	official dump authority.json official character component	authority-component-normalization	authority-verified	1.00	official_cn_character_name		传闻鹤乃	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00005	magica/js/libs/cardList.json	/198/cardName	16014	cardName	∞伊吕波	∞彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		∞彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00006	magica/js/libs/cardList.json	/199/cardName	16015	cardName	∞伊吕波	∞彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		∞彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00007	magica/js/libs/cardList.json	/200/cardName	17014	cardName	无限大小伊吕波	无限大小彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		无限大小彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00008	magica/js/libs/cardList.json	/201/cardName	17015	cardName	无限大小伊吕波	无限大小彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		无限大小彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00009	magica/js/libs/cardList.json	/202/cardName	18014	cardName	伊吕波·黑江	彩羽·黑江	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		彩羽·黑江	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00010	magica/js/libs/cardList.json	/203/cardName	18015	cardName	伊吕波·黑江	彩羽·黑江	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		彩羽·黑江	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
