file	stable_key	field	japanese_original	pass15_cn	current_cn	authority_tier	authority_source	resolution
cardMagiaMap.json	90595	shortDescription	对全体敌人造成伤害[Ⅰ] & DEBUFF・状态异常3次无效 & HP自动回复 & 状态异常耐性UP(全体/∞) & 幸存(全体/3T)	对敌方全体造成伤害[Ⅰ] & Debuff・异常状态3次无效 & HP自动回复 & 异常状态耐性提升(我方全体/∞) & 幸存(我方全体/3T)	对敌方全体造成伤害[Ⅰ] & 减益・异常状态3次无效 & HP自动回复 & 异常状态耐性提升(我方全体/∞) & 幸存(我方全体/3T)			changed_unclassified
charaMessageList.json	1040|1	message	"旅する調整屋の一人、篠目ヨヅルです。先生
に誘われて調整屋となりました。魔法少女
としてはあまりに非力で、生きる力のなか
った私に先生は生きる道を示してくれまし
た。調整屋としての経験は、まだまだ浅い
ですが、誇りをもってあなたのソウルジェ
ムをお預かりします"	我是旅行调整屋之一，篠目约鹤。\n受老师邀请，我成为了调整屋。\n作为魔法少女，我实在太过弱小，\n甚至没有活下去的力量，\n是老师为我指明了生存之路。\n虽然我作为调整屋还缺乏经验，\n但我会怀着自豪，替您保管灵魂宝石。	"我是旅行调整屋之一，篠目夜鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	higher_authority_applied
charaMessageList.json	1040|2	message	"こんにちは、篠目ヨヅルと申します。中央区
で調整屋を営んでおります。来店された暁
には、おいしいスイーツでおもてなしさせ
てください"	您好，我叫篠目约鹤，\n在中央区经营调整屋。\n您光临时，\n请允许我用美味甜点款待您。	"您好，我叫篠目夜鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	higher_authority_applied
charaMessageList.json	1040|14	message	"大変喜ばしいですが…これで満足してはいけ
ませんね"	这确实非常值得高兴…\n…但不能就此满足。	"这确实非常值得高兴…
…但不能就此满足。"			linebreak_serialization_normalized
charaMessageList.json	1040|16	message	"先生に出会った時の私は、すべてを諦め、死
すら受け入れたところでした。先生は私に
、生きる手段と意義を与えてくれました"	遇见老师时，我已经放弃了一切，\n甚至接受了死亡。\n是老师给予了我活下去的方法与意义。	"遇见老师时，我已经放弃了一切，
甚至接受了死亡。
是老师给予了我活下去的方法与意义。"			linebreak_serialization_normalized
charaMessageList.json	1040|17	message	"先生から誘いを受け、神浜で活動することに
しました。神浜に興味があったとか、特に
そういうことはありません。誘われたから
来ました"	受到老师邀请后，\n我决定在神滨活动。\n并不是因为我对神滨特别感兴趣，\n只是因为老师邀请了我，所以我来了。	"受到老师邀请后，
我决定在神滨活动。
并不是因为我对神滨特别感兴趣，
只是因为老师邀请了我，所以我来了。"			linebreak_serialization_normalized
charaMessageList.json	1040|18	message	"先生は私を利用しているだけなのかもしれま
せん。でも、それでいいのです。それを受
け入れて、私は先生のために尽力します"	老师或许只是在利用我。\n但那样也没关系。我接受这一点，\n并会为了老师竭尽全力。	"老师或许只是在利用我。
但那样也没关系。我接受这一点，
并会为了老师竭尽全力。"			linebreak_serialization_normalized
charaMessageList.json	1040|21	message	"今まで限界だと思っていた力に、まだ上があ
ったのですね。この誤算はすごくうれしい
です。私はまだ、死ぬわけにはいきません
ので。"	我曾以为已经到达极限的力量，\n原来还有更高的境界。\n这个误算让我非常高兴。\n毕竟我还不能死。	"我曾以为已经到达极限的力量，
原来还有更高的境界。
这个误算让我非常高兴。
毕竟我还不能死。"			linebreak_serialization_normalized
charaMessageList.json	1040|22	message	"…また、力を得てしまいました…。嬉しいと
思う反面、怖いという想いもあります。な
ぜなら私は…力に溺れてしまった人間なの
で…。ですが、もう絶対に溺れません。私
はもう孤独ではないので"	……我又获得了力量……。\n我感到高兴，却也有些恐惧。\n因为我……曾经是一个沉溺于力量的人…\n…。但我绝不会再次沉溺。\n我已经不再孤独了。	"……我又获得了力量……。
我感到高兴，却也有些恐惧。
因为我……曾经是一个沉溺于力量的人…
…。但我绝不会再次沉溺。
我已经不再孤独了。"			linebreak_serialization_normalized
charaMessageList.json	1040|23	message	"死ぬわけにはいかないと強く生きてきました
が、かといって将来の目標があるわけでも
ないのです。でも、私は私の存在意義のた
めに、日々精進していきます。なのでグリ
ーフシードはぜひ、ピュエラケアへ！"	我一直怀着“绝不能死”的念头坚强地活着，\n却也没有明确的未来目标。不过，\n为了证明我存在的意义，我会每天努力精进。\n所以拿到悲叹之种后，\n请务必来 Puella Care！	"我一直怀着“绝不能死”的念头坚强地活着，
却也没有明确的未来目标。不过，
为了证明我存在的意义，我会每天努力精进。
所以拿到悲叹之种后，
请务必来 Puella Care！"			linebreak_serialization_normalized
charaMessageList.json	1040|24	message	"今日も来てくれたのですね。さ、こちらへど
うぞ。部屋の温度は快適でしょうか？ご要
望があればなんなりと申し付けください"	今天也来看我了呢。来，\n请到这边。房间温度还舒适吗？\n若有任何要求，请尽管吩咐。	"今天也来看我了呢。来，
请到这边。房间温度还舒适吗？
若有任何要求，请尽管吩咐。"			linebreak_serialization_normalized
charaMessageList.json	1040|25	message	"ちょうど朝食の支度を終えたところです。せ
っかくなので温かいうちにいかがですか？
いいオレンジジュースも仕入れたんですよ"	我刚准备好早餐。\n难得有这个机会，要趁热来一点吗？\n我还进了一批很不错的橙汁。	"我刚准备好早餐。
难得有这个机会，要趁热来一点吗？
我还进了一批很不错的橙汁。"			linebreak_serialization_normalized
charaMessageList.json	1040|26	message	"お腹、空きましたよね。ふふ、私もです。…
ダイエット中でしたか。十分おキレイだと
思いますが、サラダバーのあるお店を探し
ましょう"	肚子饿了吧？呵呵，我也是。\n……原来您正在减肥吗？\n我觉得您已经足够漂亮了，\n不过我们还是找一家有沙拉吧的店吧。	"肚子饿了吧？呵呵，我也是。
……原来您正在减肥吗？
我觉得您已经足够漂亮了，
不过我们还是找一家有沙拉吧的店吧。"			linebreak_serialization_normalized
charaMessageList.json	1040|27	message	"幼い頃はこの時間、習い事で休む間もなかっ
たですね。ピアノに水泳に絵画にダンスに
…。結構、教養もあるんですよ"	小时候的这个时间，我总被各种课程占满，\n连休息都没有。钢琴、游泳、绘画、\n舞蹈……我其实也颇有教养哦。	"小时候的这个时间，我总被各种课程占满，
连休息都没有。钢琴、游泳、绘画、
舞蹈……我其实也颇有教养哦。"			linebreak_serialization_normalized
charaMessageList.json	1040|28	message	"こんばんは。そろそろお休みのお時間ですか
？お休みする前、最後のひとときを共にす
ごせて、大変光栄です。疲れは存分に癒し
ましょう"	晚上好。差不多该休息了吗？\n能在您睡前陪您度过最后一段时光，\n我深感荣幸。\n请好好消除疲劳吧。	"晚上好。差不多该休息了吗？
能在您睡前陪您度过最后一段时光，
我深感荣幸。
请好好消除疲劳吧。"			linebreak_serialization_normalized
charaMessageList.json	1040|29	message	"今日は珍しく忙しいですね…。おっと、ダメ
ですね。笑顔笑顔。調整する私に元気がな
ければ、きっと魔法少女も不安です。そう
メモにもあります"	今天少见地忙碌呢……哎呀，\n这可不行。要保持笑容。\n负责调整的我若没有精神，\n魔法少女一定也会不安。备忘录上也是这么写的。	"今天少见地忙碌呢……哎呀，
这可不行。要保持笑容。
负责调整的我若没有精神，
魔法少女一定也会不安。备忘录上也是这么写的。"			linebreak_serialization_normalized
charaMessageList.json	1040|30	message	"魔女がたくさん発生したようですね。頑張っ
てください。グリーフシードを手に入れた
ら、ぜひ我々調整屋まで！"	似乎出现了许多魔女。\n请加油。拿到悲叹之种后，\n请务必送到我们调整屋来！	"似乎出现了许多魔女。
请加油。拿到悲叹之种后，
请务必送到我们调整屋来！"			linebreak_serialization_normalized
charaMessageList.json	1040|31	message	"果てなしのミラーズ…。私がいた地域には、
こんな現象は起きていなかった。神浜には
不思議なことが多いですね"	无尽镜层……我过去所在的地\n区从未发生过这种现象。\n神滨真是有许多不可思议的事。	"无尽镜层……我过去所在的地
区从未发生过这种现象。
神滨真是有许多不可思议的事。"			linebreak_serialization_normalized
charaMessageList.json	1040|32	message	"おお…！お客様がこんなに…。え？違う？…
これからこの人数で戦う…？そうですか。
では死んでしまわれる前に、ぜひ調整を！"	哦……！竟然有这么多客人……。咦？不是？\n……接下来要由这些人一起战斗……？我明白了。\n那么在各位丧命之前，请务必先来调整！	"哦……！竟然有这么多客人……。咦？不是？
……接下来要由这些人一起战斗……？我明白了。
那么在各位丧命之前，请务必先来调整！"			linebreak_serialization_normalized
charaMessageList.json	1040|33	message	"私はいつでも中立ですよ。ええ、中立は中立
。決して踏み込むこともありません。…幻
滅しましたか？"	我无论何时都会保持中立。\n是的，中立就是中立。\n我绝不会越界干涉。……您失望了吗？	"我无论何时都会保持中立。
是的，中立就是中立。
我绝不会越界干涉。……您失望了吗？"			linebreak_serialization_normalized
charaMessageList.json	1040|34	message	"消えろ！この虫ケラ!!…ふぅ、まさか車内
にあんな大きなハエが入ってくるとは…。
野外で調整する際の、最大の欠点ですね"	消失吧！你这只臭虫！！……呼，\n没想到车里竟会飞进这么大的苍蝇。\n这就是在户外进行调整时最大的缺点。	"消失吧！你这只臭虫！！……呼，
没想到车里竟会飞进这么大的苍蝇。
这就是在户外进行调整时最大的缺点。"			linebreak_serialization_normalized
charaMessageList.json	1040|35	message	"いい映画でしたね…ええっ!?どうされたの
ですか!?…今の映画で…？なるほど、優
しい人は今の映画で涙を流すのですね…。
メモします"	真是一部好电影……咦！？\n您怎么了！？……因为刚才的电影？\n原来如此，温柔的人会为那\n种电影流泪啊……我记下了。	"真是一部好电影……咦！？
您怎么了！？……因为刚才的电影？
原来如此，温柔的人会为那
种电影流泪啊……我记下了。"			linebreak_serialization_normalized
charaMessageList.json	1040|36	message	"魔法少女になるとわかりにくいですが、実は
元々の身体能力も結構高いのですよ。ほら
、ここの筋肉、どうですか？触ってもいい
ですよ"	成为魔法少女后不容易看出来，\n其实我原本的身体能力也相当不错。\n看，这里的肌肉怎么样？\n可以摸摸看。	"成为魔法少女后不容易看出来，
其实我原本的身体能力也相当不错。
看，这里的肌肉怎么样？
可以摸摸看。"			linebreak_serialization_normalized
charaMessageList.json	1040|37	message	"スー…、スー…。…おっと、失礼。居眠りを
してしまいました。…え？ふふ、私だって
睡眠は取りますよ。…あの、人間ですよ？"	呼……呼……。……失礼了，\n我不小心睡着了。……咦？呵呵，\n我当然也需要睡觉。……那个，我也是人类哦？	"呼……呼……。……失礼了，
我不小心睡着了。……咦？呵呵，
我当然也需要睡觉。……那个，我也是人类哦？"			linebreak_serialization_normalized
charaMessageList.json	1040|38	message	"みたまさんは…姉弟子にあたるのでしょうか
。あまり面識はありませんが。調整屋は服
を脱がすという風評被害を作られた方です
ね"	御魂小姐……算是我的师姐吗？\n虽然我们并不熟。\n她就是让“调整屋会脱掉客人衣服”\n这种风评流传开来的人吧。	"御魂小姐……算是我的师姐吗？
虽然我们并不熟。
她就是让“调整屋会脱掉客人衣服”
这种风评流传开来的人吧。"			linebreak_serialization_normalized
charaMessageList.json	1040|39	message	"月出里は本当に元気ですよね。あと、とても
おしゃべりです。…いやいや、本当におし
ゃべりなんですよ"	月出里真的很有精神。\n而且非常健谈。……\n不不，她真的非常健谈。	"月出里真的很有精神。
而且非常健谈。……
不不，她真的非常健谈。"			linebreak_serialization_normalized
charaMessageList.json	1040|40	message	"先生は…、お店に立つ時はしっかりしてるの
ですが、裏では結構だらしなくて…。脱い
だストッキングを放置するのは控えていた
だきたいですね"	老师……站在店里时很可靠，\n私下却相当散漫……\n。希望她不要再把脱下\n来的丝袜随手乱放。	"老师……站在店里时很可靠，
私下却相当散漫……
。希望她不要再把脱下
来的丝袜随手乱放。"			linebreak_serialization_normalized
charaMessageList.json	1040|41	message	"息を吸って…大きく、味わうように吸って…
。吐いて…。力を抜いて…。私にゆっくり
、身を任せて…。…お疲れ様でした。調整
終わりです"	吸气……深深地、细细体会着吸气…\n…。然后呼气……放松身体…\n…慢慢把自己交给我……。\n……辛苦了，调整结束。	"吸气……深深地、细细体会着吸气…
…。然后呼气……放松身体…
…慢慢把自己交给我……。
……辛苦了，调整结束。"			linebreak_serialization_normalized
charaMessageList.json	1040|77	message	"マギア・レコード　魔法少女まどか☆マギカ
外伝"	魔法纪录　魔\n法少女小圆外传	"魔法纪录　魔
法少女小圆外传"			linebreak_serialization_normalized
charaMessageList.json	3021|1	message	"プロミストブラッドの一員、鈴鹿さくやだよ
。神浜の学校には最近転校してきたんだ。
あー、転校の理由は言えないんだけど、や
ましいことはないよ！…君、神浜の魔法少
女、だよね？穏便に済ませたいって思って
るなら、私に深く関わらない方がいいかも
よ"	我是约定之血的一员，\n铃鹿咲夜。最近刚转学到神滨的学校。\n啊，转学的原因不能说，\n不过我可没做什么亏心事！\n……你是神滨的魔法少女，\n对吧？若想和平收场，\n最好别和我牵扯太深。	"我是PROMISED BLOOD的一员，
铃鹿咲夜。最近刚转学到神滨的学校。
啊，转学的原因不能说，
不过我可没做什么亏心事！
……你是神滨的魔法少女，
对吧？若想和平收场，
最好别和我牵扯太深。"			changed_unclassified
charaMessageList.json	3021|2	message	"初めまして！私、鈴鹿さくや！さくやって呼
んでよ。…あーゴメン、馴れ馴れしかった
かな？迷惑かけないようにするから、とに
かくよろしくね！"	初次见面！我是铃鹿咲夜，\n叫我咲夜就好。……啊，抱歉，\n是不是太自来熟了？\n我会尽量不给你添麻烦，总之请多关照！	"初次见面！我是铃鹿咲夜，
叫我咲夜就好。……啊，抱歉，
是不是太自来熟了？
我会尽量不给你添麻烦，总之请多关照！"			linebreak_serialization_normalized
charaMessageList.json	3021|13	message	"ふぅ、やっとウォーミングアップ完了ってト
コかな。まだまだ鍛えるよ！"	呼，热身总算结束了。\n接下来还要继续锻炼！	"呼，热身总算结束了。
接下来还要继续锻炼！"			linebreak_serialization_normalized
charaMessageList.json	3021|14	message	"おっし！今日の練習メニュー完了！あとは追
加で何をやろっかな～！"	好！今天的训练计划完成！\n接下来再加练点什么呢～！	"好！今天的训练计划完成！
接下来再加练点什么呢～！"			linebreak_serialization_normalized
charaMessageList.json	3021|15	message	"陸上の思い出は色々あるけど、あの大会のこ
とは忘れられないな…。"	田径方面有很多回忆，\n但那场比赛我永远忘不了……	"田径方面有很多回忆，
但那场比赛我永远忘不了……"			linebreak_serialization_normalized
charaMessageList.json	3021|16	message	"樹里やらんかとは、同じチームになってから
少し気まずい時もあったけど、今は同じ目
的のためにうまく連携して動けてるよ"	和树里、兰华刚成为同一队时，\n偶尔也会很尴尬。不过现在为了共同目标，\n我们已经能配合得很好了。	"和树里、兰华刚成为同一队时，
偶尔也会很尴尬。不过现在为了共同目标，
我们已经能配合得很好了。"			linebreak_serialization_normalized
charaMessageList.json	3021|17	message	"アオはただのゲーマーじゃないよ。ゲームだ
けじゃなく、リアルでも頭が切れてて必ず
勝てる作戦を考えてくれるし、すごく頼り
になるんだ！"	青可不只是个游戏宅。\n她不仅擅长游戏，\n现实中也很聪明，\n总能想出必胜作战，特别可靠！	"青可不只是个游戏宅。
她不仅擅长游戏，
现实中也很聪明，
总能想出必胜作战，特别可靠！"			linebreak_serialization_normalized
charaMessageList.json	3021|18	message	"結菜…前は、怒りで我を忘れるような子じゃ
なかったのに…。でも、優しいところは変
わってない。いつか、元の結菜に戻るよね
…？"	结菜……以前明明不是会被愤怒\n冲昏头脑的人……。\n不过她温柔的一面并没有改变。\n总有一天，她会变回原来的结菜吧……？	"结菜……以前明明不是会被愤怒
冲昏头脑的人……。
不过她温柔的一面并没有改变。
总有一天，她会变回原来的结菜吧……？"			linebreak_serialization_normalized
charaMessageList.json	3021|19	message	"おっ!?今、わかっちゃったかも！あれだ、
ゾーンに入るってやつだ！"	哦！？我好像突然明白了！\n就是那个吧，所谓“进入状态”！	"哦！？我好像突然明白了！
就是那个吧，所谓“进入状态”！"			linebreak_serialization_normalized
charaMessageList.json	3021|20	message	"うー…んっ、気持ちいーい！体に力がみなぎ
ってきたよ！"	唔——嗯，太舒服了！\n力量正在从身体里不断涌出来！	"唔——嗯，太舒服了！
力量正在从身体里不断涌出来！"			linebreak_serialization_normalized
charaMessageList.json	3021|21	message	"魔女もグリーフシードもなかった頃の二木に
比べれば、今はずっとマシだよ。三姉妹に
ついていけば必ず救われるって、希望を持
てるからね！"	和既没有魔女也没有悲叹之种的二木相比，\n现在已经好太多了。\n因为我们能够抱着希望，\n相信跟随三姐妹就一定会获救！	"和既没有魔女也没有悲叹之种的二木相比，
现在已经好太多了。
因为我们能够抱着希望，
相信跟随三姐妹就一定会获救！"			linebreak_serialization_normalized
charaMessageList.json	3021|22	message	"チームの今後のことは、結菜たち三姉妹が決
めることだから、私は私にできることをす
るよ。…まぁ、結菜をサポートするぐらい
しかできないけど、必要としてくれる限り
、私は結菜と共に居続けるよ"	队伍今后的方向由结菜她们三姐妹决定，\n我只要做好自己能做的事。\n……虽然我大概只能支援结菜，\n但只要她还需要我，\n我就会一直陪在她身边。	"队伍今后的方向由结菜她们三姐妹决定，
我只要做好自己能做的事。
……虽然我大概只能支援结菜，
但只要她还需要我，
我就会一直陪在她身边。"			linebreak_serialization_normalized
charaMessageList.json	3021|23	message	"魔法少女同士で争うなんて、できるならした
くないよ。だけど、結菜やひかるや…仲間
たちを傷つけるヤツが居る限り、私は戦う
しかないんだ。たとえ私が敵う相手じゃな
くても…完全燃焼するまで止まらない…！"	魔法少女彼此争斗，若能避免，\n我当然不愿意。可是，只要还有人伤害结菜、\n光……以及其他伙伴，我就只能战斗。\n哪怕对手并非我能战胜……\n在彻底燃尽之前，我也不会停下！	"魔法少女彼此争斗，若能避免，
我当然不愿意。可是，只要还有人伤害结菜、
光……以及其他伙伴，我就只能战斗。
哪怕对手并非我能战胜……
在彻底燃尽之前，我也不会停下！"			linebreak_serialization_normalized
charaMessageList.json	3021|24	message	"おーっす！今日はどの部位を鍛える？OK、
ハムストリングね！筋トレは精神力も鍛え
てくれるからね、魔法少女にも効果あるか
もしれないよ！"	哟！今天要练哪个部位？\n好，腘绳肌对吧！\n力量训练还能锻炼意志力，\n说不定对魔法少女也有效哦！	"哟！今天要练哪个部位？
好，腘绳肌对吧！
力量训练还能锻炼意志力，
说不定对魔法少女也有效哦！"			linebreak_serialization_normalized
charaMessageList.json	3021|25	message	"おはよー！私はジョギングに行くとこだけど
、もちろん一緒に来るよね!?運動してか
ら食べる朝ご飯って、最っ高だもんね！"	早上好！我正要去慢跑，\n你当然也会一起来吧！？\n运动过后吃的早餐可是最棒的！	"早上好！我正要去慢跑，
你当然也会一起来吧！？
运动过后吃的早餐可是最棒的！"			linebreak_serialization_normalized
charaMessageList.json	3021|26	message	"くぅぅ…お腹空いたぁ～。…よしっ、早弁し
ちゃおっとー。…えっ、フツーするよね？
育ち盛りの女子なら、みんなやってるよね
!?"	呜……肚子好饿～。……\n好，提前吃午饭吧。……\n咦，这很普通吧？\n正值发育期的女生都会这么做吧！？	"呜……肚子好饿～。……
好，提前吃午饭吧。……
咦，这很普通吧？
正值发育期的女生都会这么做吧！？"			linebreak_serialization_normalized
charaMessageList.json	3021|27	message	"あ、部活の時間だ！よーし、今日も気合入れ
て、いっちょ激走しちゃいますかー！…っ
てダメダメ！目立たないようにしないと…"	啊，到社团活动时间了！好，\n今天也鼓足干劲，痛快地狂奔一场吧！\n……不行不行！得注意别太显眼……	"啊，到社团活动时间了！好，
今天也鼓足干劲，痛快地狂奔一场吧！
……不行不行！得注意别太显眼……"			linebreak_serialization_normalized
charaMessageList.json	3021|28	message	"さて、寝よーう！強くなるためには、睡眠も
重要な要素だからね。あっ!?宿題…やっ
てない…けど！明日の私が頑張るはず！よ
し、寝よーう！"	好，睡觉！想变强，\n睡眠也是重要因素。啊！？\n作业……还没做……不过！\n明天的我一定会努力！好，睡觉！	"好，睡觉！想变强，
睡眠也是重要因素。啊！？
作业……还没做……不过！
明天的我一定会努力！好，睡觉！"			linebreak_serialization_normalized
charaMessageList.json	3021|29	message	"最近は体を鍛える女子が増えてるらしいよ！
ようやく時代が私に追いついて…ハッ！追
いつかれたらダメだよね！ぶっちぎりで突
き放さなきゃ！"	听说最近锻炼身体的女生变多了！\n时代终于追上我了……\n等等！被追上可不行，\n必须把她们远远甩开！	"听说最近锻炼身体的女生变多了！
时代终于追上我了……
等等！被追上可不行，
必须把她们远远甩开！"			linebreak_serialization_normalized
