record_id	component	scope	file	stable_key_or_line	field	original_text	current_cn	suggested_cn	product_or_reference_location	source_tier	source_bucket	evidence_path_or_key	machine_translated	confidence	review_status	japanese_or_source_original	missing_original_reason	provenance_class	source_stage	source_batch	source_author	is_machine_translation	runtime_consumed	highest_authority_tier	highest_authority_match	authority_status	risk	issue_type	manual_review_status	evidence	notes
MT-15674	static_js_html_unverified	static_js_html	magica/js/test/Backdoor.js	line:581	visible_text_or_string	受取完了	领取完成	needs-review/root-translation-required	magica/js/test/Backdoor.js#line:581/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	受取完了	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15675	static_js_html_unverified	static_js_html	magica/js/test/Backdoor.js	line:656	visible_text_or_string	受取完了	领取完成	needs-review/root-translation-required	magica/js/test/Backdoor.js#line:656/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	受取完了	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15676	static_js_html_unverified	static_js_html	magica/js/test/Backdoor.js	line:716	visible_text_or_string	受取完了	领取完成	needs-review/root-translation-required	magica/js/test/Backdoor.js#line:716/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	受取完了	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15677	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:113	visible_text_or_string	"c = ""1 份散装 通关"""	"c = ""第一部一键通关"""	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:113/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;manual	unknown	low	pending	"c = ""1 份散装 通关"""	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;manual	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15678	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:118	visible_text_or_string	要执行此操作，甲板 1 必须是单个 Iroha 甲板。<br>有需要。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:118/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	要执行此操作，甲板 1 必须是单个 Iroha 甲板。<br>有需要。	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15679	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:146	visible_text_or_string	通关 直至第 2 部分第 11 章。	将第二部至第11章一键通关。	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:146/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	通关 直至第 2 部分第 11 章。	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15680	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:200	visible_text_or_string	已被注册。	已注册。	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:200/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	已被注册。	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15681	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:220	visible_text_or_string	TU999已注册。	已注册TU999。	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:220/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	TU999已注册。	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15682	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:282	visible_text_or_string	 ★试用测试★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:282/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	 ★试用测试★%0a https://twitter.com/	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15683	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:282	visible_text_or_string	/照片/1%0a★试听课★	/photo/1%0a★测试推文★	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:282/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	/照片/1%0a★试听课★	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15684	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:413	visible_text_or_string	"title: ""突破活动调试模式"""	"title: ""踏破活动调试模式"""	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:413/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;manual	unknown	low	pending	"title: ""突破活动调试模式"""	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;manual	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15685	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:414	visible_text_or_string	剧情任务打开调试模式。<br>请重新启动应用程序以将其关闭。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:414/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	剧情任务打开调试模式。<br>请重新启动应用程序以将其关闭。	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15686	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:423	visible_text_or_string	"title: ""突破活动调试模式"""	"title: ""踏破活动调试模式"""	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:423/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;manual	unknown	low	pending	"title: ""突破活动调试模式"""	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;manual	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
MT-15687	static_js_html_unverified	static_js_html	magica/js/test/BackdoorList.js	line:424	visible_text_or_string	挑战任务打开调试模式。<br>请重新启动应用程序以将其关闭。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	needs-review/root-translation-required	magica/js/test/BackdoorList.js#line:424/visible_text_or_string	none_exact_found	unknown	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	unknown	low	pending	挑战任务打开调试模式。<br>请重新启动应用程序以将其关闭。	source may be a pre-change Chinese/manual string, not always a Japanese original	static_manual_or_model_unverified	3_manual_static_review	pass16-static-manual-model-review	individual translator/reviewer not recorded per row	unknown_manual_or_model	true; packaged JS/HTML	none_exact_found		no_per_row_official_or_wiki_pair	medium	unverified_static_js_html_translation_or_review	pending	magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;Pass16 peer rules, personally re-reviewed	静态界面逐槽位审校；不得改变ID、class、链接或模板表达式
