unique_id	scope	japanese_or_source_original	current_cn	occurrences	provenance_class	max_risk	authority_statuses	authority_matches	sample_locations	review_status	suggested_cn
MTU-00001	battle_miss_review	Damage UP [V] / Reduce Damage [IV]	伤害上升状态[Ⅴ] & 伤害削减状态[Ⅳ]	1	wiki_candidate_not_runtime_applied	high	candidate-needs-root-review-not-runtime	伤害上升状态[Ⅴ] & 伤害削减状态[Ⅳ]	data/memoria.json#BM-NR-003/candidate_cn	needs-human-review	伤害上升状态[Ⅴ] & 伤害削减状态[Ⅳ]
MTU-00002	battle_miss_review	やさしいは作れる	温柔可以学习掌握	1	wiki_candidate_not_runtime_applied	high	candidate-needs-root-review-not-runtime	温柔可以学习掌握	data/memoria.json#BM-NR-002/candidate_cn	needs-human-review	温柔可以学习掌握
MTU-00003	battle_miss_review	旅する調整屋	旅行的调整师	1	wiki_candidate_not_runtime_applied	high	candidate-needs-root-review-not-runtime	旅行的调整师	data/memoria.json#BM-NR-001/candidate_cn	needs-human-review	旅行的调整师
MTU-00004	frontend_i18n_fragment	"+c+""が""+a+l+e"	+c+a+e+l	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#c60449f00e5808817a945f37/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00005	frontend_i18n_fragment	<span class='c_pink'><%= model.attackCountInfo.itemName %></span>を<span class='c_pink'>1张</span>使用<br> 镜界排位赛的对战次数<span class='c_pink'>1次</span>可以回复。	使用<span class='c_pink'>1张</span><span class='c_pink'><%= model.attackCountInfo.itemName %></span><br> 即可回复<span class='c_pink'>1次</span>镜界排位赛的对战次数。	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#22f5f26e0ae24f081bac495a/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00006	frontend_i18n_fragment	"<span class='c_pink'><%='<%= model.userUseItem.item.name %\\>'%></span>を<span class='c_pink'><%='<%= (model.userUseItem.subItemFlag) ? ""1"" : model.needQuantity %\\>'%><%='<%= model.userUseItem.item.unit %\\>'%></span>使用<span class='c_pink'><%='<%= displayTitle %\\>'%></span>进行中。"	"使用<span class='c_pink'><%='<%= (model.userUseItem.subItemFlag) ? ""1"" : model.needQuantity %\\>'%><%='<%= model.userUseItem.item.unit %\\>'%></span><span class='c_pink'><%='<%= model.userUseItem.item.name %\\>'%></span>进行<span class='c_pink'><%='<%= displayTitle %\\>'%></span>。"	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#818c3524b0c94b4edee137a4/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00007	frontend_i18n_fragment	<span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>を\n\t<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span>使用\n\t<span class='c_pink'>\n\t\t<%='<%= model.displayTitle %\\>'%>\n\t</span>进行中。	使用<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span><span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>进行<span class='c_pink'>\n\t\t<%='<%= model.displayTitle %\\>'%>\n\t</span>。	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#d898bb14a2ec252e6e316cfd/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00008	frontend_i18n_fragment	<span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>を\n\t<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span>使用\n\t<span class='c_pink'>\n\t\t<%='<%= model.gachaCount %\\>'%>次扭蛋\n\t</span>开抽。	使用<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span><span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>开抽<span class='c_pink'>\n\t\t<%='<%= model.gachaCount %\\>'%>次扭蛋\n\t</span>。	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#122a686ee9ab1526fc3ba234/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00009	frontend_i18n_fragment	<span class='c_pink'>魔法石</span>を<span class='c_pink'><%= model.attackCountInfo.recoverNeedNum %>个</span>使用<br> 镜界排位赛的对战次数<span class='c_pink'><%= model.attackCountInfo.numMax %>次</span>即将回复。	使用<span class='c_pink'><%= model.attackCountInfo.recoverNeedNum %>个</span><span class='c_pink'>魔法石</span><br> 即可回复<span class='c_pink'><%= model.attackCountInfo.numMax %>次</span>镜界排位赛的对战次数。	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#396e7b2bda3e22c6ecb02abf/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00010	frontend_i18n_fragment	<span class='c_pink'>魔法石</span>を<span class='c_pink'><%= model.recoverNeedNum %>个</span>使用	使用<span class='c_pink'><%= model.recoverNeedNum %>个</span><span class='c_pink'>魔法石</span>	1	legacy_unverified_ai_assisted	high	no_per_entry_official_or_wiki_pair		i18n/fragments.tsv#ac5e2560739c25efd68a23da/candidate_cn	needs-human-review	needs-review/root-translation-required
