item_id	maintenance_layer_type	maintenance_table	source_key	source_line	source_text	current_cn	path_prefix	declared_product_paths	product_target_paths	match_count	match_status	context_snippets	application_allowed
LOW-MT-00312	指定文件代码片段	i18n/fragments.tsv	c60449f00e5808817a945f37	27	"+c+""が""+a+l+e"	+c+a+e+l	js/event/EventArenaRankMatch/Utility.js	js/event/EventArenaRankMatch/Utility.js	js/event/EventArenaRankMatch/Utility.js	1	exact-current-runtime-literal	"js/event/EventArenaRankMatch/Utility.js:6:147 l=Math.abs(l));f.push(""◆""+('\x3cdiv class\x3d""icon '+b+'""\x3e\x3c/div\x3e')+h[b]+""属性魔法少女的""⟦+c+a+e+l⟧)});return f},getEmblemRank:function(b){var e=b.orderRank,f="""";d.each(b.emblemList,functio"	true
LOW-MT-00317	全局原文映射	i18n/frontend-strings.tsv	00406b3af58099722ba48576	610	パフパフパフー♪＠パーフェクトおめでとう！＠全部解けるとすっきりするわよね	啪啪啪♪＠恭喜全对!＠全部答完真是痛快呢		js/campaign/quiz/CampaignQuizTop.js		0	maintenance-only-current-literal-absent	声明路径存在，但当前运行时已不使用这条现译；仅保留未来重建所需的维护层决定。	false
LOW-MT-00322	全局原文映射	i18n/frontend-strings.tsv	00ba2d290580be6541a7e725	1130	殲滅戦には専用の編成が必要です。\x3cbr\x3eクエスト編成をコピーして殲滅戦の編成を行いますか？	歼灭战需要专用编成。\x3cbr\x3e要复制关卡编成来进行歼灭战编成吗?		js/regularEvent/extermination/RegularEventExterminationFormation.js	js/regularEvent/extermination/RegularEventExterminationFormation.js	1	exact-current-runtime-literal	"js/regularEvent/extermination/RegularEventExterminationFormation.js:24:258 ""#/DeckFormation/exterminationCopy""}.bind(this),new b.PopupClass({title:""复制关卡编成"",content:""⟦歼灭战需要专用编成。\x3cbr\x3e要复制关卡编成来进行歼灭战编成吗?⟧"",closeBtnText:""关闭"",decideBtnText:""复制编成"",decideBtnEvent:a,popupType:""typeA""}))},formationB"	true
LOW-MT-00343	全局原文映射	i18n/frontend-strings.tsv	04cec6b41d97f12a629dceb4	1191	データの引き継ぎ・連携元となる引き継ぎ・連携IDと設定したパスワードを入力するとデータの引き継ぎ・連携が完了します。	输入作为数据转移·关联来源的数据转移·关联ID和设置的密码,即可完成数据转移·关联。		template/top/TopPage.html	template/top/TopPage.html	1	exact-current-runtime-literal	"template/top/TopPage.html:46:31 span>↵		<div class=""transferAlert c_red"">※密码为8~15个字符。</div>↵		<div class=""transferNotice"">⟦输入作为数据转移·关联来源的数据转移·关联ID和设置的密码,即可完成数据转移·关联。⟧</div>↵	</div>↵</script>↵↵<script id=""nameChangePop"" type=""text/template"">↵	在第1章3话的剧情中,玩家名"	true
LOW-MT-00350	全局原文映射	i18n/frontend-strings.tsv	05d6c03bdd1b76cd767d8a1f	1312	クールタイムを解除します。よろしいですか？	即将解除冷却时间。确定吗?		template/event/EventArenaRankMatch/parts/CoolTimePopup.html	template/event/EventArenaRankMatch/parts/CoolTimePopup.html	1	exact-current-runtime-literal	"template/event/EventArenaRankMatch/parts/CoolTimePopup.html:4:3 n class='c_pink'><%= model.recoverNeedNum %>个</span><span class='c_pink'>魔法石</span><br>↵  ⟦即将解除冷却时间。确定吗?⟧<br>↵  <div class=""cautionText"">↵    确定后将立即消耗魔法石。<br>↵    魔法石会优先消耗免费部分，确认后无法取消。↵  </div>↵<"	true
LOW-MT-00363	全局原文映射	i18n/frontend-strings.tsv	080cbf573c8e968cdf796092	1168	\x3c/span\x3eに「いいね」します！\x3cbr\x3e\x3cbr\x3e\x3cspan class\x3d'c_red'\x3e※いいねは1日	\x3c/span\x3e点赞!\x3cbr\x3e\x3cbr\x3e\x3cspan class\x3d'c_red'\x3e※点赞每天		js/regularEvent/groupBattle/view/UserPageView.js	js/regularEvent/groupBattle/view/UserPageView.js	1	exact-current-runtime-literal	"js/regularEvent/groupBattle/view/UserPageView.js:7:217 },b)}.bind(this);new a.PopupClass({title:""心魔战"",content:""\x3cspan class\x3d'c_red'\x3e""+d+""⟦\x3c/span\x3e点赞!\x3cbr\x3e\x3cbr\x3e\x3cspan class\x3d'c_red'\x3e※点赞每天⟧""+this.rootView.pageJson.eventMaster.regularEventGroupBattle.maxGoodCount+""次。\x3c/span\x3e"	true
LOW-MT-00369	全局原文映射	i18n/frontend-strings.tsv	08d174c4b14712073978e28d	925	\x3c/span\x3eの\x3cbr\x3e精神強化をすべてリセットします。よろしいですか？\x3cbr\x3e\x3cspan class\x3d'resetCaution c_red'\x3e※精神強化に使用した素材は返還されますが、CCは返還されません\x3c/span\x3e\x3cdiv class\x3d'resetItem pointFrame'\x3e\x3cspan class\x3d'hasIcons'\x3e\x3cimg src\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\x3e\x3c/span\x3e\x3cspan class\x3d'itemCount'\x3e	\x3c/span\x3e的\x3cbr\x3e精神强化将全部重置。确定吗?\x3cbr\x3e\x3cspan class\x3d'resetCaution c_red'\x3e※精神强化使用的素材会返还,但CC不会返还\x3c/span\x3e\x3cdiv class\x3d'resetItem pointFrame'\x3e\x3cspan class\x3d'hasIcons'\x3e\x3cimg src\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\x3e\x3c/span\x3e\x3cspan class\x3d'itemCount'\x3e		js/chara/CharaEnhancementTree.js	js/chara/CharaEnhancementTree.js	1	exact-current-runtime-literal	"js/chara/CharaEnhancementTree.js:14:184 0<k?new a.PopupClass({title:""重置精神强化"",content:""消耗1个原点之器,\x3cspan class\x3d'c_pink'\x3e""+b+""⟦\x3c/span\x3e的\x3cbr\x3e精神强化将全部重置。确定吗?\x3cbr\x3e\x3cspan class\x3d'resetCaution c_red'\x3e※精神强化使用的素材会返还,但CC不会返还\x3c/span\x3e\x3cdiv class\x3d'resetItem pointFrame'\x3e\x3cspan class\x3d'hasIcons'\x3e\x3cimg src\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\x3e\x3c/span\x3e\x3cspan class\x3d'itemCount'\x3e⟧""+↵k+""\x3c/span\x3e\x3c/div\x3e"",closeBtnText:""取消"",decideBtnText:""重置"",decideBtnEvent:m,exC"	true
LOW-MT-00371	全局原文映射	i18n/frontend-strings.tsv	0914852cb4aae98b9b3d3db2	1678	を送ることで、引き継ぎMPを	，即可让继承MP		template/regularEvent/groupBattle/RegularEventGroupCommon.html	template/regularEvent/groupBattle/RegularEventGroupCommon.html	1	exact-current-runtime-literal	"template/regularEvent/groupBattle/RegularEventGroupCommon.html:318:50 %=""<% } %\>""%>↵	前日小组内排名第1的用户可以更改小组名。<br>↵	每天1次,可以向小组成员<span class=""gbFontPurple"">点赞</span>⟦，即可让继承MP⟧<span class=""gbFontPurple"">50</span>即可获得↵</script>↵"	true
LOW-MT-00402	全局原文映射	i18n/frontend-strings.tsv	0ec95a2489f7fd04a5157979	1344	回復アイテムを１つ使用して	使用1个回复道具,		template/event/dungeon/EventDungeonMap.html	template/event/dungeon/EventDungeonMap.html	1	exact-current-runtime-literal	"template/event/dungeon/EventDungeonMap.html:74:44 ""></div>↵	<div class=""mpWrap""></div>↵</script>↵<script type=""text/template"" id=""curePop""> ⟦使用1个回复道具,⟧<br>↵	<span class='cureName'><%=""<%= name %\>""%></span>要回复吗?<br>↵	<div class='cureItemsWra"	true
LOW-MT-00417	全局原文映射	i18n/frontend-strings.tsv	10882139d8f61550d84202a0	1195	※第1章3話のストーリーはアーカイブから参照できます	※第1章3话的剧情可从存档中查看		template/top/TopPage.html	template/top/TopPage.html	1	exact-current-runtime-literal	"template/top/TopPage.html:59:3 ss='c_gold'>0</span>/8字↵	</div>↵	<div class=""cautionText c_red"">↵		※之后可以更改(当天内无法更改)<br>↵		⟦※第1章3话的剧情可从存档中查看⟧↵	</div>↵</script>"	true
