# 经逐项证据核验的高权重候选；四张迁移表之外的显式来源层，不得由低权重译文覆盖。
# scope	path_prefix	source_text	candidate_cn	status	authority	source_batch	source_locator	source_sha256	match_method	machine_translated	confidence	review_status	evidence
global		属性相性	属性克制	present	official_cn_dump	official-cn-static-exact-path-dom	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/formation/FormationQuest.html#div.deckDetailCongeniality>p	8a73978062da1662bb7405d93ca37ef4e924b8a0b14bd66a56237e6ea8480f8d	exact-path-dom-match	false	exact	official-source-verified	旧国服静态产品树同路径同 DOM 节点逐字为属性克制；当前产品节点为属性相性；Full_Raw_Dump_V2/TopPage_001.json 另有属性克制用词佐证
global		心情战	心魔战	present	official_cn_dump	official-cn-static-term-plus-wiki-fallback	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/js/regularEvent/groupBattle/view/BossPageView.js#title	2714cc84dc89e4da207aad6311f9824af1b945bf9abf3674e17add727293e8a2	exact-path-term-match	false	exact	official-source-verified	国服同路径 Boss/User/RegularEventTop 使用心魔战且心情战为 0；另两路径记录官方同路径缺失后由 Wiki 的キモチ戦→心魔战一致术语补足；逐文件证据见 pass19 manifest
global		キモチ戦	心魔战	present	official_cn_dump	official-cn-static-japanese-source-key-lock	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/js/regularEvent/groupBattle/view/BossPageView.js#PopupClass.title	2714cc84dc89e4da207aad6311f9824af1b945bf9abf3674e17add727293e8a2	exact-source-key-to-same-path-term-match	false	exact	official-source-verified	frontend-strings.tsv 的日文源键キモチ戦仍带低权重旧译心情战；国服同路径弹窗标题和 quest title 均为心魔战，Wiki 也仅使用心魔战，故锁定该日文源键防止未来回填回流
global		キモチ戦は	心魔战	present	official_cn_dump	official-cn-static-japanese-source-key-context-lock	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/js/regularEvent/RegularEventTop.js#PopupClass.content	a3b8963fdd47326bc1539beb86be915208e09e0cdaf10e186ac26673bc3fc588	same-path-context-term-alignment	false	high	official-source-verified	frontend-strings.tsv 的キモチ戦は在两个参加条件上下文被低权重旧译成心情战；国服同路径完整句为心魔战开启期间为，中文不保留主题助词，故上下文候选为心魔战
global		アプリを削除してしまうとデータが初期化されてしまいますのでご注意ください。	如果删除应用，数据将被初始化，请务必注意。	present	official_cn_dump	official-cn-static-pass20-20260815	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/top/NewVersionRecommend.html#div#NewVersionRecommend/div:nth-of-type(1)/div#versionReccommend/span.versionReccommendTxt02.c_gold:nth-of-type(2)/br:nth-of-type(1)	b200eb7661ca0c53454c6ed6cb6db016183a6be8844a48cba355c92ab1fa6f71	exact-path-dom-match	false	exact	official-source-verified	LOW-MT-00315; official and JP trees share template/top/NewVersionRecommend.html; rejected ambiguous alignments are recorded in the Pass20 review table
global		・プログラムの不具合を利用した不正行為(アイテムを不正に取得する等の特に悪質な行為)、およびそれを助長する行為(故意に不具合を利用したと運営が判断した場合を含む)により本サービスの運営、提供を妨害し、それらに支障をきたす行為。	·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。	present	official_cn_dump	official-cn-static-pass20-20260815	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/user/Ban.html#div#BanWrap/div#mainWrap/div.banList:nth-of-type(1)/div.caution:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)	6dadcffd0f7bb76373427b0240f5a7bff6c6ce541170e4f7f8935e281337dde0	exact-path-dom-match	false	exact	official-source-verified	LOW-MT-00323; official and JP trees share template/user/Ban.html; rejected ambiguous alignments are recorded in the Pass20 review table
global		・過度の連続アクセスにより、サーバーに負担をかける行為。	·过于频繁地登录，给服务器造成负担的行为。	present	official_cn_dump	official-cn-static-pass20-20260815	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/user/Ban.html#div#BanWrap/div#mainWrap/div.banList:nth-of-type(1)/div.caution:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)	6dadcffd0f7bb76373427b0240f5a7bff6c6ce541170e4f7f8935e281337dde0	exact-path-dom-match	false	exact	official-source-verified	LOW-MT-00355; official and JP trees share template/user/Ban.html; rejected ambiguous alignments are recorded in the Pass20 review table
global		※本件に関するお問い合わせにつきましては、上記の報告をもって回答と代えさせていただきます。	※对于与本事项相关的意见反馈，将以上诉通告作为回复。	present	official_cn_dump	official-cn-static-pass20-20260815	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/user/Ban.html#div#BanWrap/div#mainWrap/div.banList:nth-of-type(1)/p:nth-of-type(2)/br:nth-of-type(1)	6dadcffd0f7bb76373427b0240f5a7bff6c6ce541170e4f7f8935e281337dde0	exact-path-dom-match	false	exact	official-source-verified	LOW-MT-00388; official and JP trees share template/user/Ban.html; rejected ambiguous alignments are recorded in the Pass20 review table
global		このメモリアは既に他のセットへ登録中です。\\x3cbr\\x3eセット登録しますか？	该记忆结晶已经保存在其他组合中。\\x3cbr\\x3e是否保存在此组合中？	present	official_cn_dump	official-cn-static-pass20-20260815	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/js/memoria/MemoriaEquip.js#ordered literal block	a02b3e922e0b2c14ce4ff062572364b7fecea2decd7b57eb5986de58c6384327	same-path-context-literal-alignment	false	high	official-source-verified	LOW-MT-00439; official and JP trees share js/memoria/MemoriaEquip.js; rejected ambiguous alignments are recorded in the Pass20 review table
global		クリア(初クリア・初コンプ)	通关（首通、首次满星）	present	official_cn_dump	official-cn-static-pass20-20260815	D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/event/dungeon/EventDungeonTop.html#mapicontypemax;:nth-of-type(1)/div#EventDungeonTop/ul#debugArea/li.debugClearBtn.sb_gold_01.TE:nth-of-type(1)	93205e38f45a9ccfc1ab73088b7378d0bb7dec87493a03814c0340184bc66935	exact-path-dom-match	false	exact	official-source-verified	LOW-MT-00452; official and JP trees share template/event/dungeon/EventDungeonTop.html; rejected ambiguous alignments are recorded in the Pass20 review table
