protected_id	master_record_id	protection_origin	authority_rank	source_bucket	source_tier	scope	file	business_key_type	business_key	source_locator	locator_sha256	field	protected_value	value_sha256	identity_sha256	review_status	authority_status	evidence_path_or_key	expected_count	record_sha256
AUTH-00001	MT-02317	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	10連ガチャチケット	WGS-0001		zhCN	10连扭蛋券	72d7d8ec09d9cb808b088ee84ce4a5379dbb27d4b533433184eeb7f7315d4ece	cfe899fc956eb710ea90115971cb0e82503a767840b8de7558d37f8b1afc7434	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:2;migrated Wiki glossary candidate;key=global:aae22850b7f62bbc1414		90147736ea831b5e401b42f448630588d8698287604d37c0b2d71595fe9a3e28
AUTH-00002	MT-02318	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	AP回復薬	WGS-0002		zhCN	AP回复药	350362ea028626ad14b7b8585d1804ee3ad23553a929964feec2b52ce14f8096	b61ffa08695f9d474c86a6ff592093e3bb953550f9df4fe3657e532816e55e5a	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:3;migrated Wiki glossary candidate;key=global:c86d238f6b9e6ef45792		51bc52ae8aab4a91c7dcbddf16677ea93ae3d7e85664bdef907ffbcd6c94bb5e
AUTH-00003	MT-02319	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	AP回復薬50	WGS-0003		zhCN	AP回复药50	5b876076b7a08bb944dbff269fc58febcbde23f1b46fe4a09239240b46efe888	0de6d85a7163a671de2048a772db385ae078fe899b0cf6321e3b5aff1528fb3e	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:4;migrated Wiki glossary candidate;key=global:3dc5090f8065b153d87b		572bc83ab25c6ddf46c0dbc036d7e7b3739ad4e4f31f9046589a8507355ff7f5
AUTH-00004	MT-02320	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Acceleドロー	WGS-0004		zhCN	重抽为Accele	5e907a6c2f0511eecb918983c263fbcb42ae2e1b4f4937c3e35b1e7786c12f7c	e7c301f9492eca852209e6074af6c2595a0101bfc05dd99909a9f2ea26070b88	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:5;migrated Wiki glossary candidate;key=global:9556c45fdd6f67bac5b6		f80104ec7b00dd41f26c823d54557e812a3a31715e8f9af09c5633db13597670
AUTH-00005	MT-02321	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Another Daze最終Battleで…	WGS-0005		zhCN	在Another Daze最终Battle…	a48c0457985f5a996336517fcdcfd4ea2d511e61179cfa909744c43b2cbcb4fb	874a308537ebbe2ae831a115f12423d5550e2dcf5b1978c49aef7dfe5c78408d	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:6;migrated Wiki glossary candidate;key=global:42f80fdab5b84977a21a		cf1ae38973fbfacb2403486ff9da3a17baa0ca27e42e558eb9c06b6716d29d6d
AUTH-00006	MT-02322	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	BP回復薬	WGS-0006		zhCN	BP回复药	e429e892718d78655305a567896b555b71d05d082333dd39d505c8d2c852f5f7	6d82e7bec0364d43a1e1c0fbbf7896852e7272f43c5a21df22ec499f2b745e59	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:7;migrated Wiki glossary candidate;key=global:31806a4d9d8e72b4f535		c724f923430a0af32ab9102517af6d38dd70935f61a58cbab443b6709edf016a
AUTH-00007	MT-02323	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blast ダメージDOWN	WGS-0007		zhCN	Blast伤害DOWN	caaa55cc3416dbada6ced0529a2173a8de57b3c2f871c87a28216a99b519daaa	85a725059a92eced7a3dfbd02c63492497aaedf911de14fd814f5d7a8145407b	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:8;migrated Wiki glossary candidate;key=global:a4af7cb7caa211806666		1f57394781dc6b20e664448693b5aa772dc7c2dcb4e2b3f46bf2291029e3cf33
AUTH-00008	MT-02324	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blast ダメージUP	WGS-0008		zhCN	Blast伤害UP	04e92a105f2c22daaf5ed33a6b8178592ea5f5df6e37b577c8f34cae586c669b	d9334d824e47ee7a3d89746f084b5a1d419ee3f494a093f57f5ad27f38f64199	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:9;migrated Wiki glossary candidate;key=global:3d049d085334d9045b96		391677b2ed22f21b14357154a3a69bb833cf7c7baa1ff7d396c4a92c07e69176
AUTH-00009	MT-02325	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blast ダメージカット	WGS-0009		zhCN	Blast伤害削减	b0330f746c2f29c870b8501501b9c06fa79baf487ebe4f7e77caeac36c6de17b	9c4007c5ecbe1c4bdf211714fc5d45d4a2ffcbaec8c2fc9d42ff3f259afc0f12	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:10;migrated Wiki glossary candidate;key=global:02c9e0a90816c877b947		688439d513366f7abc2b44c88b42e49240782622eeda686ae0f1e757d919df04
AUTH-00010	MT-02326	machine-review-master	2-wiki	wiki	wiki	offline_authority_support	i18n/glossary.tsv	source-term	Blast ダメージカット状態	WGS-0010		zhCN	Blast伤害削减状态	17b06a856f2d140e4f0fc7d1f93225fe59a49414c0ea749d744bc2c9274388c8	96e4bbe6383e03f979e24de426077888f949860c833d667a436b1f07b798b3f2	authority-support-available	wiki-authority-support-available	i18n/generated/input-provenance.tsv:11;migrated Wiki glossary candidate;key=global:ba9b8815f8dbc7b7ac7d		a4fa720d63025c58fda98dc079c29323ca28b725295271995d923077d1fd6ccc
