sequence	layer	file	key_field	stable_key	field	expected_before	after	runtime_byte_change	counts_toward_residual	original_pass9_residual	authority_tier	authority_type	source_locator	source_record_sha256	wiki_locator	wiki_record_sha256	note
1	pass15	cardMagiaMap.json	dict_key	90002	name	魂之救赎	魂之救赎	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30254				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
2	pass15	cardMagiaMap.json	dict_key	90002	shortDescription	对敌方单体造成伤害[Ⅵ] & HP越低威力越大 & 回避(自身/1T)	对单个敌人造成伤害[Ⅵ]&HP越低威力越大&回避（自己/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30254				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
3	pass15	cardMagiaMap.json	dict_key	90004	name	人家的嗜虐之心	人家的嗜虐之心	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30062				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
4	pass15	cardMagiaMap.json	dict_key	90004	shortDescription	对敌方全体造成伤害[Ⅰ] & 伤害下降(敌方全体/3T)	对全体敌人造成伤害[Ⅰ] & 伤害下降（全体敌人/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30062				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
5	pass15	cardMagiaMap.json	dict_key	90007	name	真龙闪光爪牙	真龙闪光爪牙	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10133				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
6	pass15	cardMagiaMap.json	dict_key	90008	name	无尽的波塞冬	无尽的波塞冬	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10094				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
7	pass15	cardMagiaMap.json	dict_key	90010	shortDescription	对敌方单体造成伤害[Ⅴ] & Charge后伤害提升(我方全体/3T)	对单个敌人造成伤害[Ⅴ] & Charge后伤害提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10104				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
8	pass15	cardMagiaMap.json	dict_key	90011	name	Tiro·Finale（最终射击）	Tiro·Finale（最终射击）	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20054				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
9	pass15	cardMagiaMap.json	dict_key	90011	shortDescription	对敌方全体造成伤害[Ⅵ] & 束缚(敌方全体/1T) & 自身防御下降(自身/1T)	对全体敌人造成伤害[Ⅵ] & 束缚（全体敌人/1T） & 自身防御下降（自己/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20054				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
10	pass15	cardMagiaMap.json	dict_key	90012	shortDescription	对敌方单体造成伤害[Ⅰ] & 必定赋予诱惑(敌方单体/1T)	对单个敌人造成伤害[Ⅰ] & 必定附带诱惑（单个敌人/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30012				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
