file	stable_key	field	baseline	pass14_value	proper_layer	exclude_from_pass24	reason
itemList.json	EVENT_DAILYTOWER_1130_STICKER_303400	shortDescription	神浜市栄区	神滨市荣区	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1161_STICKER_111200	shortDescription	神浜市栄区	神滨市荣区	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1161_STICKER_304800	shortDescription	神浜市栄区	神滨市荣区	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1176_KEY	name	仮面	假面	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1189_STICKER_104500	shortDescription	戦国時代 日本	战国时代 日本	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1189_STICKER_104600	shortDescription	戦国時代 日本	战国时代 日本	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1189_STICKER_121600	name	常闇仮面	常暗假面	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DAILYTOWER_1189_STICKER_305700	shortDescription	神浜市栄区	神滨市荣区	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DUNGEON_1115_CURE_CP	name	CP回復薬	CP回复药	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_DUNGEON_1146_CURE_CP	name	CP回復薬	CP回复药	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_WITCH_1210_EXCHANGE_6	name	可能性の因子	可能性因子	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_WITCH_1214_EXCHANGE_6	name	可能性の因子	可能性因子	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
itemList.json	EVENT_WITCH_1219_EXCHANGE_6	name	可能性の因子	可能性因子	pass25	true	this is an extended-glyph/compound row, not a narrow pass24 row
