sequence	layer	file	key_field	stable_key	field	expected_before	after	runtime_byte_change	counts_toward_residual	original_pass9_residual	authority_tier	authority_type	source_locator	source_record_sha256	wiki_locator	wiki_record_sha256	note
1	pass17_first_authority	cardMagiaMap.json	dict_key	10228	name	迟钝的魔女化身	迟钝的魔女化身	false	true	true	2_frozen_wiki	frozen_wiki_exact_typed_field	templates.jsonl.gz::Template:角色数据表/煌里 ひかる#doppel中文	8376f392b96b5a2fd1a8a0b1eaa2eae11f16bc13161db065e513020985e7511b	templates.jsonl.gz::Template:角色数据表/煌里 ひかる#doppel中文	8376f392b96b5a2fd1a8a0b1eaa2eae11f16bc13161db065e513020985e7511b	no official CN same-family name is present; frozen Wiki exact typed field is second authority
2	pass17_official_override	cardMagiaMap.json	dict_key	10305	name	转圈圈后说再见	转圈圈后说再见	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10304/name	467d9cbd4a4211bfa4008608787087bf7a58443a610ef0ed9bc710103c229420	templates.jsonl.gz::Template:角色数据表/安積 はぐむ#magia中文	190ccaac76d13165a293e7acf019d817d2b86d8382e0751175710185a0d41ff9	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
3	pass17_official_override	cardMagiaMap.json	dict_key	27005	name	小渚的巧克力派对	小渚的巧克力派对	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/27004/name	8248895af1dec30be4993088acbcddd968416446fa394c8f007aced9abf87b8d	templates.jsonl.gz::Template:角色数据表/百江 なぎさ（バレンタインver.）#magia中文	c085f5cff1ede011e636b99864802b912f516cb33e9e4c184d306e2b5d3a176e	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
4	pass17_official_override	cardMagiaMap.json	dict_key	30065	name	人家的嗜虐之心	人家的嗜虐之心	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30062/name;cardMagiaMap.json/30063/name;cardMagiaMap.json/30064/name;cardMagiaMap.json/300641/name	a1f760ff5570b6995071140f69a023d91dbbf5ec408745e36ddc86535301602e;edd9e8d94d3795f513e9f7de77212a9c184ec306d7bade1c014e34137dcf463f;1d407ab6f26512ed7fe65995c64c3e47e725d156d43bf070b10dfea0d2b4637b;62776691e7a6ddee746b85e0e91b4ebb868589aba2065fe99ece1a49fbe86cf7	templates.jsonl.gz::Template:角色数据表/木崎 衣美里#magia中文	eecd4cbeba79b604cead5b7a9fbae5739cf4c4bb75ea76793970f8620acdc21d	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
5	pass17_first_authority	cardMagiaMap.json	dict_key	30068	name	诱惑的魔女化身	诱惑的魔女化身	false	true	true	2_frozen_wiki	frozen_wiki_exact_typed_field	templates.jsonl.gz::Template:角色数据表/木崎 衣美里#doppel中文	eecd4cbeba79b604cead5b7a9fbae5739cf4c4bb75ea76793970f8620acdc21d	templates.jsonl.gz::Template:角色数据表/木崎 衣美里#doppel中文	eecd4cbeba79b604cead5b7a9fbae5739cf4c4bb75ea76793970f8620acdc21d	no official CN same-family name is present; frozen Wiki exact typed field is second authority
6	pass17_first_authority	cardMagiaMap.json	dict_key	30138	name	变温的魔女化身	变温的魔女化身	false	true	true	2_frozen_wiki	frozen_wiki_exact_typed_field	templates.jsonl.gz::Template:角色数据表/伊吹 れいら#doppel中文	c4faf2596620d374ffedc13f23bdbcd3c85f3ea66fb7074a0b66859e6017dfde	templates.jsonl.gz::Template:角色数据表/伊吹 れいら#doppel中文	c4faf2596620d374ffedc13f23bdbcd3c85f3ea66fb7074a0b66859e6017dfde	no official CN same-family name is present; frozen Wiki exact typed field is second authority
7	pass17_first_authority	cardMagiaMap.json	dict_key	30375	name	漆黑的阿卡纳	漆黑的阿卡纳	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30373/name;cardMagiaMap.json/30374/name	d4ccf38a66ec079962b047810e511e302dad7e3c3bd6b81f09a5c083c807a583;c572c8ad27eb47cdfddca50cbea750578668a16e2d428723f472f07e7775900a	templates.jsonl.gz::Template:角色数据表/安名 メル#magia中文	ea3d746d3ba46da6708cd80dab8684fcd89af63419f1dbcba1232d72ee74ce0b	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
8	pass17_official_override	cardMagiaMap.json	dict_key	30404	name	沙场兵戎皆为梦	沙场兵戎皆为梦	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30403/name	91b2f83d7d6ad8d31ed4605d38cde9d3a814b246807c9b51cd878801deefe873	templates.jsonl.gz::Template:角色数据表/吉良 てまり#magia中文	ece108c2e277b9d6f74c54d46ca1fc790c8c9de36317b69921746b18c7fc15c8	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
9	pass17_official_override	cardMagiaMap.json	dict_key	30538	name	引人注目的魔女化身	引人注目的魔女化身	false	false	false	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	doppelList.json/305300/name	d1094d88a2d491ea4b179fcf455833ba6fe5453a73f40968f432d56686a54973	templates.jsonl.gz::Template:角色数据表/牧野 郁美#doppel中文	fa7cecfb1754c98ae72189c71746325a04c33e77b8a4d10b7e8253225786ff07	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
10	pass17_first_authority	cardMagiaMap.json	dict_key	35015	name	神圣螺旋的希望	神圣螺旋的希望	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/35014/name	71c3e332391997a25465a13f2bf7bdb382e8929ee8b27117f2f8fcb290089697	templates.jsonl.gz::Template:角色数据表/梨花・れん（クリスマスver.）#magia中文	f28aa3e352003812954825500a5c5b5f7a876121cb8582cb1959588c8d2b4ca0	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
11	pass17_first_authority	cardMagiaMap.json	dict_key	40138	name	热血的魔女化身	热血的魔女化身	false	true	true	2_frozen_wiki	frozen_wiki_exact_typed_field	templates.jsonl.gz::Template:角色数据表/牧 カオル#doppel中文	ed18c69c4a4ecf39e27976772d63cdd1333b9960523e0aecc044bbe37944f4e9	templates.jsonl.gz::Template:角色数据表/牧 カオル#doppel中文	ed18c69c4a4ecf39e27976772d63cdd1333b9960523e0aecc044bbe37944f4e9	no official CN same-family name is present; frozen Wiki exact typed field is second authority
12	pass17_first_authority	cardMagiaMap.json	dict_key	40148	name	空腹的魔女化身	空腹的魔女化身	false	true	true	2_frozen_wiki	frozen_wiki_exact_typed_field	templates.jsonl.gz::Template:角色数据表/昴 かずみ#doppel中文	d2000202eec2cda7458700ae3e77458d733a18c09109b64f730eab488a1a7f2e	templates.jsonl.gz::Template:角色数据表/昴 かずみ#doppel中文	d2000202eec2cda7458700ae3e77458d733a18c09109b64f730eab488a1a7f2e	no official CN same-family name is present; frozen Wiki exact typed field is second authority
