file	key	field	baseline	pass8	current	normalized_baseline	normalized_current	numeric_roman_signature_baseline	numeric_roman_signature_current	target_signature_baseline	target_signature_current	turn_signature_baseline	turn_signature_current	direction_signature_baseline	direction_signature_current	closed_normalization_equal	numeric_roman_equal	target_equal	turn_equal	direction_equal	failure_reasons	authority_type	source_locator	source_record_sha256	original_pass9_residual	pass14_residual	existing_ledger_overlap	runtime_byte_change	reason
cardMagiaMap.json	90023	shortDescription	对全体敌人造成伤害[Ⅵ] & 技能加速(全体/3T)	对敌方全体造成伤害[Ⅵ] & 技能加速(我方全体/3T)	对敌方全体造成伤害[Ⅵ] & 技能加速(我方全体/3T)	敌全伤害[vi]技能加速(味全/3t)	敌全伤害[vi]技能加速(味全/3t)	Ⅵ|3	Ⅵ|3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90023/shortDescription/baseline	216b9720f9491fd2beb99a0828c266c80f528cf569c5179664a8edd8fad9c865	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90052	shortDescription	随机4次 伤害[Ⅰ] & 暴击(全体/3T)	随机4次造成伤害[Ⅰ] & 暴击(我方全体/3T)	随机4次造成伤害[Ⅰ] & 暴击(我方全体/3T)	随机4次伤害[i]暴击(味全/3t)	随机4次伤害[i]暴击(味全/3t)	4|Ⅰ|3	4|Ⅰ|3	ALLY_ALL	ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90052/shortDescription/baseline	e68edb9c0d8ef704fa08c6158129b723f4c6d442bfe6d2d7041f3d8cb8d952c7	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90064	shortDescription	对全体敌人造成伤害 & 防御力UP(全体/3T)	对敌方全体造成伤害 & 防御力提升(我方全体/3T)	对敌方全体造成伤害 & 防御力提升(我方全体/3T)	敌全伤害防御力up(味全/3t)	敌全伤害防御力up(味全/3t)	3	3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90064/shortDescription/baseline	456d09bdae347ffcc566429115f067d82a430371b9767621d027c9028bf57a23	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90068	shortDescription	横向造成伤害 & HP回复（全体）	横向伤害 & HP回复(我方全体)	横向伤害 & HP回复(我方全体)	横向伤害hp回复(味全)	横向伤害hp回复(味全)			ENEMY_HORIZONTAL|ALLY_ALL	ENEMY_HORIZONTAL|ALLY_ALL					true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90068/shortDescription/baseline	4a26ebe56fec655ae0329e3a9a90f9f6b3c59348b986856caea38dadeeeaee75	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90069	shortDescription	纵向伤害 & HP回复（全体） & 攻击力UP(全体/3T)	纵向伤害 & HP回复(我方全体) & 攻击力提升(我方全体/3T)	纵向伤害 & HP回复(我方全体) & 攻击力提升(我方全体/3T)	纵向伤害hp回复(味全)攻击力up(味全/3t)	纵向伤害hp回复(味全)攻击力up(味全/3t)	3	3	ENEMY_VERTICAL|ALLY_ALL|ALLY_ALL	ENEMY_VERTICAL|ALLY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90069/shortDescription/baseline	ca57d451f251fe88156e19bf54877b36fec4f91ffd7c4ac2d9cfd4b2e57c2137	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90070	shortDescription	对全体敌人造成伤害 & 技能加速(全体/3T)	对敌方全体造成伤害 & 技能加速(我方全体/3T)	对敌方全体造成伤害 & 技能加速(我方全体/3T)	敌全伤害技能加速(味全/3t)	敌全伤害技能加速(味全/3t)	3	3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90070/shortDescription/baseline	b8f95da143e74bc62415d2654f9d07c4837e95137ee92808175fb1f76f3aec81	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90072	shortDescription	对单个敌人造成伤害 & 防御力UP & 攻击力UP(全体/3T)	对敌方单体造成伤害 & 防御力提升 & 攻击力提升(我方全体/3T)	对敌方单体造成伤害 & 防御力提升 & 攻击力提升(我方全体/3T)	敌单伤害防御力up攻击力up(味全/3t)	敌单伤害防御力up攻击力up(味全/3t)	3	3	ENEMY_SINGLE|ALLY_ALL	ENEMY_SINGLE|ALLY_ALL	3	3	UP|UP	UP|UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90072/shortDescription/baseline	230224c1377fb30f267d09d63b4778f540635bf05af28ddc4545012a5da5ddd1	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90073	shortDescription	对全体敌人造成伤害& MP回复（全体）	对敌方全体造成伤害 & MP回复(我方全体)	对敌方全体造成伤害 & MP回复(我方全体)	敌全伤害mp回复(味全)	敌全伤害mp回复(味全)			ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL					true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90073/shortDescription/baseline	c36a6a7e97d7e4039abede0d8d8d607d9999a642ce27b8d1f8e3d09fb3b5a396	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90074	shortDescription	对单个敌人造成伤害& HP自动回复(全体/3T)	对敌方单体造成伤害 & HP自动回复(我方全体/3T)	对敌方单体造成伤害 & HP自动回复(我方全体/3T)	敌单伤害hp自动回复(味全/3t)	敌单伤害hp自动回复(味全/3t)	3	3	ENEMY_SINGLE|ALLY_ALL	ENEMY_SINGLE|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90074/shortDescription/baseline	aaf1ef7cd58e76aad8d3722fab283d4674106c608e0b02229ef2f450d56fa112	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90075	shortDescription	随机4次 伤害 & 暴击(全体/3T)	随机4次造成伤害 & 暴击(我方全体/3T)	随机4次造成伤害 & 暴击(我方全体/3T)	随机4次伤害暴击(味全/3t)	随机4次伤害暴击(味全/3t)	4|3	4|3	ALLY_ALL	ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90075/shortDescription/baseline	c6eb383008a9915a8f8e7e458795bc2655ef97587f2ba3516ef437e8333756a7	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90077	shortDescription	对全体敌人造成伤害 & 根据敌人状态异常的种类伤害UP	对敌方全体造成伤害 & 敌人的异常状态种类越多，伤害越高	对敌方全体造成伤害 & 敌人的异常状态种类越多，伤害越高	敌全伤害状态异常种类伤害up	敌全伤害状态异常种类伤害up			ENEMY_ALL	ENEMY_ALL			UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90077/shortDescription/baseline	153fd4cf4ff91db87dc649dfb9b92e14d6a21b071d7127acc73eb94d70334996	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90080	shortDescription	对全体敌人造成伤害 & 防御力UP(全体/3T)	对敌方全体造成伤害 & 防御力提升(我方全体/3T)	对敌方全体造成伤害 & 防御力提升(我方全体/3T)	敌全伤害防御力up(味全/3t)	敌全伤害防御力up(味全/3t)	3	3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90080/shortDescription/baseline	1182bd185c2cdabd7d94cde838b9805b8abc5cf238dd38e49080fd677b1cdbf3	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90088	shortDescription	对全体敌人造成伤害& MP回复（全体）	对敌方全体造成伤害 & MP回复(我方全体)	对敌方全体造成伤害 & MP回复(我方全体)	敌全伤害mp回复(味全)	敌全伤害mp回复(味全)			ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL					true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90088/shortDescription/baseline	dab706cd4af045769d68dde4c3c199172acdc00d12d3596d6ba4daf7e2cd6f1c	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90109	shortDescription	对全体敌人造成伤害[Ⅵ] & 拘束(全体敌人/1T) 	对敌方全体造成伤害[Ⅵ] & 束缚(敌方全体/1T)	对敌方全体造成伤害[Ⅵ] & 束缚(敌方全体/1T)	敌全伤害[vi]束缚(敌全/1t)	敌全伤害[vi]束缚(敌全/1t)	Ⅵ|1	Ⅵ|1	ENEMY_ALL|ENEMY_ALL	ENEMY_ALL|ENEMY_ALL	1	1			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90109/shortDescription/baseline	dee5c7e51c4ac5a9d99aeeb58528d2a6ff9131aa783e7a35d4b5260ed9d02fc1	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90134	shortDescription	全体敌人体伤害[Ⅶ] & HP回复（全体） & 攻击力UP(全体/3T)	对敌方全体造成伤害[Ⅶ] & HP回复(我方全体) & 攻击力提升(我方全体/3T)	对敌方全体造成伤害[Ⅶ] & HP回复(我方全体) & 攻击力提升(我方全体/3T)	敌全伤害[vii]hp回复(味全)攻击力up(味全/3t)	敌全伤害[vii]hp回复(味全)攻击力up(味全/3t)	Ⅶ|3	Ⅶ|3	ENEMY_ALL|ALLY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90134/shortDescription/baseline	c70114e8d623da8b98a82fddecd272e9a784306abbe2aafe8c6e02940d67a4a1	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90138	shortDescription	对全体敌人造成属性强化伤害[Ⅹ] & MP自动回复(全体/3T)	对敌方全体造成属性强化伤害[Ⅹ] & MP自动回复(我方全体/3T)	对敌方全体造成属性强化伤害[Ⅹ] & MP自动回复(我方全体/3T)	敌全属性强化伤害[x]mp自动回复(味全/3t)	敌全属性强化伤害[x]mp自动回复(味全/3t)	Ⅹ|3	Ⅹ|3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90138/shortDescription/baseline	1978b1beaa2706a257d72ed1c6ba8d8bfb3a36987920059867376f900d19a2e3	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
