sequence	file	key_field	stable_key	field	baseline	pass14_value	current_product_value	equivalence_kind	normalized_baseline	normalized_pass14	numeric_roman_signature	official_relation	official_value	current_product_relation	runtime_byte_change	counts_toward_pass14_residual	current_net_new_residual_delta	reason
1	cardList.json	cardId	40435	cardName	神原 駿河	神原骏河	神原骏河	narrow_glyph_plus_whitespace	神原骏河	神原骏河	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
2	cardList.json	cardId	40445	cardName	千石 撫子	千石抚子	千石抚子	narrow_glyph_plus_whitespace	千石抚子	千石抚子	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
3	charaMessageList.json	charaNo_messageId	3058|62	message	南無！	南无！	南无！	narrow_glyph_exact	南无！	南无！	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
4	charaMessageList.json	charaNo_messageId	3058|75	message	南無三…	南无三…	南无三…	narrow_glyph_exact	南无三…	南无三…	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
5	emotionSkillMap.json	dict_key	1701113	name	無限大的可能性	无限大的可能性	无限大的可能性	narrow_glyph_exact	无限大的可能性	无限大的可能性	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
6	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_103800	shortDescription	神浜市大東区	神滨市大东区	神滨市大东区	narrow_glyph_exact	神滨市大东区	神滨市大东区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
7	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_111600	shortDescription	神浜市大東区	神滨市大东区	神滨市大东区	narrow_glyph_exact	神滨市大东区	神滨市大东区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
8	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_240000	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
9	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_270000	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
10	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_303600	name	由貴真里愛	由贵真里爱	由贵真里爱	narrow_glyph_exact	由贵真里爱	由贵真里爱	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
