sequence	file	key_field	stable_key	field	baseline	pass14_value	current_product_value	equivalence_kind	normalized_baseline	normalized_pass14	numeric_roman_signature	official_relation	official_value	current_product_relation	runtime_byte_change	counts_toward_pass14_residual	current_net_new_residual_delta	reason
1	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_303400	shortDescription	神浜市栄区	神滨市荣区	神滨市荣区	extended_jp_glyph_exact	神滨市荣区	神滨市荣区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
2	itemList.json	itemCode	EVENT_DAILYTOWER_1161_STICKER_111200	shortDescription	神浜市栄区	神滨市荣区	神滨市荣区	extended_jp_glyph_exact	神滨市荣区	神滨市荣区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
3	itemList.json	itemCode	EVENT_DAILYTOWER_1161_STICKER_304800	shortDescription	神浜市栄区	神滨市荣区	神滨市荣区	extended_jp_glyph_exact	神滨市荣区	神滨市荣区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
4	itemList.json	itemCode	EVENT_DAILYTOWER_1176_KEY	name	仮面	假面	假面	extended_jp_glyph_exact	假面	假面	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
5	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_104500	shortDescription	戦国時代 日本	战国时代 日本	战国时代 日本	extended_jp_glyph_exact	战国时代 日本	战国时代 日本	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
6	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_104600	shortDescription	戦国時代 日本	战国时代 日本	战国时代 日本	extended_jp_glyph_exact	战国时代 日本	战国时代 日本	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
7	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_121600	name	常闇仮面	常暗假面	常暗假面	extended_jp_glyph_exact	常暗假面	常暗假面	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
8	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_305700	shortDescription	神浜市栄区	神滨市荣区	神滨市荣区	extended_jp_glyph_exact	神滨市荣区	神滨市荣区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
9	itemList.json	itemCode	EVENT_DUNGEON_1115_CURE_CP	name	CP回復薬	CP回复药	CP回复药	extended_jp_glyph_exact	CP回复药	CP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
10	itemList.json	itemCode	EVENT_DUNGEON_1146_CURE_CP	name	CP回復薬	CP回复药	CP回复药	extended_jp_glyph_exact	CP回复药	CP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
