sequence	file	key	field	before	after	method	score	match_ratio	evidence	source_ja	release_source
1	cardList.json	11044	cardName	传闻莎奈	谣莎奈	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/ウワサのさな || data/characters.json#谣莎奈	ウワサのさな	wiki_authority
2	cardList.json	11045	cardName	传闻莎奈	谣莎奈	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/ウワサのさな || data/characters.json#谣莎奈	ウワサのさな	wiki_authority
3	cardList.json	11444	cardName	传闻命	谣命	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/ウワサのみこと || data/characters.json#谣命	ウワサのみこと	wiki_authority
4	cardList.json	11445	cardName	传闻命	谣命	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/ウワサのみこと || data/characters.json#谣命	ウワサのみこと	wiki_authority
5	cardList.json	13034	cardName	传闻鹤乃	谣鹤乃	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/ウワサの鶴乃 || data/characters.json#谣鹤乃	ウワサの鶴乃	wiki_authority
6	cardList.json	13035	cardName	传闻鹤乃	谣鹤乃	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/ウワサの鶴乃 || data/characters.json#谣鹤乃	ウワサの鶴乃	wiki_authority
7	cardList.json	16014	cardName	∞彩羽	∞伊吕波	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/∞いろは || data/characters.json#伊吕波	∞いろは	wiki_authority
8	cardList.json	16015	cardName	∞彩羽	∞伊吕波	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/∞いろは || data/characters.json#伊吕波	∞いろは	wiki_authority
9	cardList.json	17014	cardName	无限大小彩羽	无限大小伊吕波	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/無限大いろはちゃん || data/characters.json#无限大小伊吕波	無限大いろはちゃん	wiki_authority
10	cardList.json	17015	cardName	无限大小彩羽	无限大小伊吕波	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/無限大いろはちゃん || data/characters.json#无限大小伊吕波	無限大いろはちゃん	wiki_authority
11	cardList.json	18014	cardName	彩羽·黑江	伊吕波·黑江	wiki_full_exact_review	97	1.0	data/archive/templates.jsonl.gz#Template:角色数据表/いろは・黒江 || data/characters.json#伊吕波_黑江	いろは・黒江	wiki_authority
12	cardList.json	18015	cardName	彩羽·黑江	伊吕波·黑江	wiki_full_exact_review	97	1.0	data/archive/templates.jsonl.gz#Template:角色数据表/いろは・黒江 || data/characters.json#伊吕波_黑江	いろは・黒江	wiki_authority
13	cardList.json	21044	cardName	小圆·彩羽	圆·伊吕波	wiki_full_exact_review	97	1.0	data/archive/templates.jsonl.gz#Template:角色数据表/まどか・いろは || data/characters.json#圆_伊吕波	まどか・いろは	wiki_authority
