sequence	doppel_key	target_file	target_key	field	pass8_value	pre_reconcile_value	canonical_value	canonical_source	dump_locks	action	release_source	final_value
1	101700	doppelCardMagiaMap.json	10178	name	铭记死亡的魔女化身	Memento Mori的魔女化身	铭记死亡的魔女化身	official_cn_dump_locked	"[[""doppelList.json"",""101700"",""铭记死亡的魔女化身""]]"	drop_conflicting_proposal	doppel_name_consistency_preserve	铭记死亡的魔女化身
2	102700	cardMagiaMap.json	10278	name	断念的魔女化身	断念的魔女化身	谛念的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	谛念的魔女化身
3	104400	cardMagiaMap.json	10448	name	隐遁的魔女化身	隐遁的魔女化身	隐居的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	隐居的魔女化身
4	104400	doppelCardMagiaMap.json	10448	name	隐遁的魔女化身	隐遁的魔女化身	隐居的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	隐居的魔女化身
5	110700	cardMagiaMap.json	11078	name	奔向创造与破坏的圣夜	向创造与毁灭的圣夜	奔向创造与破坏的圣夜	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	奔向创造与破坏的圣夜
6	110700	doppelCardMagiaMap.json	11078	name	奔向创造与破坏的圣夜	向创造与毁灭的圣夜	奔向创造与破坏的圣夜	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	奔向创造与破坏的圣夜
7	111000	doppelCardMagiaMap.json	11108	name	自戒的魔女化身	自戒的魔女化身	克己的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	克己的魔女化身
8	111700	cardMagiaMap.json	11178	name	牢记死亡的魔女化身	Memento Mori的魔女化身	牢记死亡的魔女化身	official_cn_dump_locked	"[[""doppelList.json"",""111700"",""牢记死亡的魔女化身""],[""doppelCardMagiaMap.json"",""11178"",""牢记死亡的魔女化身""]]"	drop_conflicting_proposal	doppel_name_consistency_preserve	牢记死亡的魔女化身
9	112000	cardMagiaMap.json	11208	name	妖怪阿酱们夜行	妖怪阿鲁酱夜行	妖怪阿酱们夜行	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	妖怪阿酱们夜行
10	112000	doppelCardMagiaMap.json	11208	name	妖怪阿酱们夜行	妖怪阿鲁酱夜行	妖怪阿酱们夜行	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	妖怪阿酱们夜行
11	114400	cardMagiaMap.json	11448	name	隐遁的魔女化身	隐遁的魔女化身	隐居的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	隐居的魔女化身
12	114400	doppelCardMagiaMap.json	11448	name	隐遁的魔女化身	隐遁的魔女化身	隐居的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	隐居的魔女化身
13	120300	cardMagiaMap.json	12038	name	烈火魔女化身·爆走炎舞	强火魔女化身疾驰焰舞	烈火魔女化身·爆走炎舞	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	烈火魔女化身·爆走炎舞
14	120300	doppelCardMagiaMap.json	12038	name	烈火魔女化身·爆走炎舞	强火魔女化身疾驰焰舞	烈火魔女化身·爆走炎舞	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	烈火魔女化身·爆走炎舞
15	120900	cardMagiaMap.json	12098	name	秋野枫的「水散爆裂击球」	秋野枫的“水散爆裂击球”	秋野枫的「水散爆裂击球」	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	秋野枫的「水散爆裂击球」
16	120900	doppelCardMagiaMap.json	12098	name	秋野枫的「水散爆裂击球」	秋野枫的“水散爆裂击球”	秋野枫的「水散爆裂击球」	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	秋野枫的「水散爆裂击球」
17	121000	cardMagiaMap.json	12108	name	绝对魅惑·人鱼激流	绝对魅惑人鱼水流	绝对魅惑·人鱼激流	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	绝对魅惑·人鱼激流
18	121000	doppelCardMagiaMap.json	12108	name	绝对魅惑·人鱼激流	绝对魅惑人鱼水流	绝对魅惑·人鱼激流	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	绝对魅惑·人鱼激流
19	121700	cardMagiaMap.json	12178	name	铭记死亡的魔女化身	铭记死亡的魔女化身	Memento Mori的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	Memento Mori的魔女化身
20	130300	cardMagiaMap.json	13038	name	传闻的回转雷兽休止炮	谣回转雷兽休止炮	传闻的回转雷兽休止炮	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	传闻的回转雷兽休止炮
21	130300	doppelCardMagiaMap.json	13038	name	传闻的回转雷兽休止炮	谣回转雷兽休止炮	传闻的回转雷兽休止炮	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	传闻的回转雷兽休止炮
22	140100	cardMagiaMap.json	14018	name	欢欣之雪	快乐之雪	欢欣之雪	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	欢欣之雪
23	140100	doppelCardMagiaMap.json	14018	name	欢欣之雪	快乐之雪	欢欣之雪	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	欢欣之雪
24	220200	cardMagiaMap.json	22028	name	事象篡改	事象改簒	事象篡改	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	事象篡改
25	220200	doppelCardMagiaMap.json	22028	name	事象篡改	事象改簒	事象篡改	wiki_keyed_doppelList	[]	drop_conflicting_proposal	doppel_name_consistency_preserve	事象篡改
26	260100	cardMagiaMap.json	26018	name	神谕大炎	神谕大炎	神托大炎	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	神托大炎
27	300400	cardMagiaMap.json	30048	name	矜持的魔女化身	矜持的魔女化身	自豪的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	自豪的魔女化身
28	300400	doppelCardMagiaMap.json	30048	name	矜持的魔女化身	矜持的魔女化身	自豪的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	自豪的魔女化身
29	305300	cardMagiaMap.json	30538	name	引人注目的魔女化身	吸睛的魔女化身	引人注目的魔女化身	official_cn_dump_locked	"[[""doppelList.json"",""305300"",""引人注目的魔女化身""]]"	drop_conflicting_proposal	doppel_name_consistency_preserve	引人注目的魔女化身
30	305700	doppelCardMagiaMap.json	30578	name	退行的魔女化身	退行的魔女化身	退化的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	退化的魔女化身
31	402500	cardMagiaMap.json	40258	name	受虐的魔女化身	受虐的魔女化身	被虐的魔女化身	wiki_keyed_doppelList	[]	propagate_canonical	doppel_name_consistency_propagation	被虐的魔女化身
