module_id,old_module_path,totentanz_module_path,status
ArenaFreeRank,js/arena/ArenaFreeRank,js/arena/ArenaFreeRank,same
ArenaHistory,js/arena/ArenaHistory,js/arena/ArenaHistory,same
ArenaRanking,js/arena/ArenaRanking,js/arena/ArenaRanking,same
ArenaResult,js/arena/ArenaResult,js/arena/ArenaResult,same
ArenaReward,js/arena/ArenaReward,js/arena/ArenaReward,same
ArenaSimulate,js/arena/ArenaSimulate,js/arena/ArenaSimulate,same
ArenaTop,js/arena/ArenaTop,js/arena/ArenaTop,same
BackgroundSet,js/user/BackgroundSet,js/user/BackgroundSet,same
Ban,js/user/Ban,js/user/Ban,same
CameraTop,js/camera/CameraTop,js/camera/CameraTop,same
CampaignBoxGachaTop,js/campaign/box_gacha/CampaignBoxGachaTop,js/campaign/box_gacha/CampaignBoxGachaTop,same
CampaignGachaLineUp,js/campaign/gacha_lineup/CampaignGachaLineUp,js/campaign/gacha_lineup/CampaignGachaLineUp,same
CampaignQuizTop,,js/campaign/quiz/CampaignQuizTop,totentanz_only
CampaignStoryMission,js/campaign/story_mission/CampaignStoryMission,js/campaign/story_mission/CampaignStoryMission,same
CampaignSummerMissionTop,,js/campaign/summer_mission/CampaignSummerMissionTop,totentanz_only
CampaignSumoCharaSelect,,js/campaign/sumo/CampaignSumoCharaSelect,totentanz_only
CampaignSumoMain,,js/campaign/sumo/CampaignSumoMain,totentanz_only
CampaignSumoTop,,js/campaign/sumo/CampaignSumoTop,totentanz_only
CharaCollection,js/collection/CharaCollection,js/collection/CharaCollection,same
CharaCommon,js/chara/CharaCommon,js/chara/CharaCommon,same
CharaCompose,js/chara/CharaCompose,js/chara/CharaCompose,same
CharaComposeAttribute,,js/chara/CharaComposeAttribute/CharaComposeAttribute,totentanz_only
CharaComposeMagia,js/chara/CharaComposeMagia,js/chara/CharaComposeMagia,same
CharaCustomize,js/chara/CharaCustomize,js/chara/CharaCustomize,same
CharaEnhancementTree,js/chara/CharaEnhancementTree,js/chara/CharaEnhancementTree,same
CharaEquip,js/chara/CharaEquip,js/chara/CharaEquip,same
CharaQuest,js/quest/CharaQuest,js/quest/CharaQuest,same
CharaTop,js/chara/CharaTop,js/chara/CharaTop,same
CollectionTop,js/collection/CollectionTop,js/collection/CollectionTop,same
ConfigTop,js/config/ConfigTop,js/config/ConfigTop,same
DeckFormation,js/formation/DeckFormation,js/formation/DeckFormation,same
DeckUtil,js/formation/DeckFormationUtil,js/formation/DeckFormationUtil,same
DoppelCollection,js/collection/DoppelCollection,js/collection/DoppelCollection,same
DoppelMissionTop,js/mission/DoppelMissionTop,js/mission/DoppelMissionTop,same
EnemyCollection,js/collection/EnemyCollection,js/collection/EnemyCollection,same
EventAccomplishDeck,js/event/accomplish/EventAccomplishDeck,js/event/accomplish/EventAccomplishDeck,same
EventAccomplishEnemyDetail,js/event/accomplish/EventAccomplishEnemyDetail,js/event/accomplish/EventAccomplishEnemyDetail,same
EventAccomplishRecovery,js/event/accomplish/EventAccomplishRecovery,js/event/accomplish/EventAccomplishRecovery,same
EventAccomplishTop,js/event/accomplish/EventAccomplishTop,js/event/accomplish/EventAccomplishTop,same
