path,status,current_rule_count,old_rule_count,common_rule_count,exact_rule_count,changed_rule_count,current_only_rule_count,old_only_rule_count,selector_jaccard,current_content_strings,old_content_strings
css/_common/GlobalMenu.css,old_only,0,70,0,0,0,0,70,0.0,,
css/_common/base.css,old_only,0,194,0,0,0,0,194,0.0,,
css/_common/common.css,old_only,0,2029,0,0,0,0,2029,0.0,,事件Lv | 魔力解放 | 魔法Lv | 画师 | EX技能 | 达成条件即可解锁 | 技能类型 | 技能 | 能力类型 | 能力 | 获得数量 | 持有
css/_common/sanitize.css,old_only,0,75,0,0,0,0,75,0.0,,
css/arena/ArenaCommon.css,shared_modified,912,591,585,149,436,327,6,0.637255,,
css/arena/ArenaResult.css,shared_modified,220,209,209,31,178,11,0,0.95,対戦相手,
css/camera/CameraTop.css,shared_modified,80,80,80,47,33,0,0,1.0,,
css/campaign/box_gacha/CampaignBoxGachaAnimation.css,old_only,0,132,0,0,0,0,132,0.0,,
css/campaign/box_gacha/CampaignBoxGachaTop.css,shared_modified,255,210,208,64,144,47,2,0.809339,,
css/campaign/gacha_lineup/CampaignGachaLineUp.css,shared_modified,28,28,28,5,23,0,0,1.0,,
css/campaign/newyear_login/NewYearLogin.css,current_only,82,0,0,0,0,82,0,0.0,ツイートする,
css/campaign/quiz/CampaignQuizTop.css,current_only,135,0,0,0,0,135,0,0.0,正解数 | 経過時間,
css/campaign/story_mission/CampaignStoryMission.css,shared_modified,10,10,10,4,6,0,0,1.0,,
css/campaign/summer_mission/CampaignSummerMissionTop.css,current_only,106,0,0,0,0,106,0,0.0,挑戦する | 受け取る,
css/campaign/sumo/CampaignSumoCharaSelect.css,current_only,22,0,0,0,0,22,0,0.0,,
css/campaign/sumo/CampaignSumoMain.css,current_only,120,0,0,0,0,120,0,0.0,,
css/campaign/sumo/CampaignSumoTop.css,current_only,17,0,0,0,0,17,0,0.0,,
css/chara/CardDetail.css,old_only,0,269,0,0,0,0,269,0.0,,
css/chara/CharaCommon.css,shared_modified,142,185,96,34,62,46,89,0.415584,魔力\a 強化 | マギア\a 強化 | 覚醒 | 魔力\a 解放 | 精神\a 強化 | 属性\a 強化,魔力\A强化 | Magia\A强化 | 觉醒 | 魔力\A解放 | 精神\A强化
css/chara/CharaCompose.css,shared_modified,72,50,47,12,35,25,3,0.626667,,
css/chara/CharaComposeAttribute.css,shared_modified,191,191,191,0,191,0,0,1.0,,
css/chara/CharaComposeMagia.css,shared_modified,53,53,53,25,28,0,0,1.0,,
