source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance	confidence	reason
resource/image_web/announce/announce_campaign_10381.png	resource/image_web/announce/announce_campaign_10381.png	same_path	82910	78937	dcb6ec9381bffef11d4b9f297502d72516cece8672119d0022ef8d68585e3493	bb94c8d8d8fb74262b8d3db575d0042bb5e5f9d3cd1749c2088e90a14d383da6	768	278	768	278	True	0.026918	0.973082	0.006183	0.513591	0.003906	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10113.png	resource/image_web/announce/announce_event_10113.png	same_path	99677	93110	382f1533a1c4de7bcd2f85fe1420b3356b578351f95889bcaecc6b0106c8568f	636688147bd32a8aaf41e75e88e0de1296ccb8d0712b5b684a3ff7faab13d810	768	306	768	306	True	0.011761	0.988239	0.000209	0.187515	0.011719	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10211.png	resource/image_web/announce/announce_event_10211.png	same_path	85996	80955	4af2057c7855f2b3ff84b4dbc2f3575c6abca20ac9ce90c0c658e2a50d128662	c6f40292d430ea9e77abd46044f22ffe446cca992abb68e48ce5d71c911e2883	768	534	768	534	True	0.200533	0.799467	0.015506	3.479465	0.089844	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10214.png	resource/image_web/announce/announce_event_10214.png	same_path	85617	79488	9194c74445eaf8bee686fbc599b27de8d8aa20ba28073d8dc678bca868d758bc	60dc07560d9718b327b37202bec242b9359d0992f45e0c78465ddc749d9b885d	768	306	768	306	True	0.02771	0.97229	0.009574	0.357557	0.027344	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10252.png	resource/image_web/announce/announce_event_10252.png	same_path	82482	76061	e27bf8637a0f9bb5691b842339c4551426ec50cd0d46bdf1f2a31f1451ba172c	f495849bcc70c99c349dcb9048af8f6116dc3cace1d2e8679827b5cd6853f62e	768	312	768	312	True	0.00992	0.99008	0.0	0.15811	0.0	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10283.png	resource/image_web/announce/announce_event_10283.png	same_path	81208	76264	ed0b50af1e9533a3b4152a8ce7138e48a7fa3f545a8b330c7a961dd28eca29f3	d3f090d7e92c0105bd62337b9d2ad7c43a4a2568ee11aa2136f00d336b453c27	768	296	768	296	True	0.010206	0.989794	0.0	0.256206	0.027344	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10304.png	resource/image_web/announce/announce_event_10304.png	same_path	76509	70944	def66626bd8e0be5c5dd6dc3907f12313177b632b220621bce679f4a4aef0961	9ee534ec48395a7cace9af6c8c95af8a9d66cd1a733fe85ffeb80fe56fdae98d	768	278	768	278	True	0.00807	0.99193	0.0	0.143607	0.011719	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/announce/announce_event_10305.png	resource/image_web/announce/announce_event_10305.png	same_path	79496	74459	545debace5be9b83ba450888ff7abad2b208d7f045419a2f5920d33f7999fc26	473915da4691b1e78ef6e5595eae0cb90910a0c4163105e37a21e33da980ed2f	768	278	768	278	True	0.016253	0.983747	0.002365	0.291484	0.015625	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/box_gacha/1058/btn_outerlink.png	resource/image_web/campaign/box_gacha/1058/btn_outerlink.png	same_path	7181	16631	e199e251d8e075c01562529d508c121982a2dc8502c5b0ce63db1a9e8112cd9d	81ad09cb0d2a2b5ff9604fa4b9cc3a7c115392936c9c6147ccd432581365bd85	114	120	114	120	True	0.263523	0.736477	0.023173	2.452571	0.070312	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/box_gacha/1058/gacha_btn_box.png	resource/image_web/campaign/box_gacha/1058/gacha_btn_box.png	same_path	5747	11656	eed531088fcaf83a16cc045eaaaf8b8d929407fa1f38cb58c173a0bce9a5d9e4	42d4ee8f161b3a2011ed688931c0667f64fdfb2aa5d41fbaacc328d8ec02ec42	286	134	286	134	True	0.013281	0.986719	0.002374	0.055073	0.0	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/box_gacha/common/btn_box_detail.png	resource/image_web/campaign/box_gacha/common/btn_box_detail.png	same_path	3139	3136	a56cc75642607a931f796742a1ef820c0ef12659dd09ea1f2a1e709177c74dc7	76ee334dda2265727717402e5d2364ff7ac209b9da93a2bf1da510dd609a46be	130	50	130	50	True	0.142154	0.857846	0.0	4.174075	0.082031	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/gacha_lineup/common/btn_memorial_gachatop.png	resource/image_web/campaign/gacha_lineup/common/btn_memorial_gachatop.png	same_path	6430	6220	40c3a8a1d7958066053a3ff68141aca7e60d39dab6e40612690278a0c3c50b14	ab8a1596a26823c9e5a6e21794d2015f1ae1a36508a9c9df4a9409adc81fd313	106	110	106	110	True	0.227787	0.772213	0.003859	3.957344	0.128906	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/gacha_lineup/common/btn_serect.png	resource/image_web/campaign/gacha_lineup/common/btn_serect.png	same_path	2708	2486	0870ee565a8871f408702ee85ad369d421de8d4c5805302559cb541492dd0512	97c82d2f3b9ed9b7aa5a6bcf373593e0189caf274f4e0b23a77b0bef41bb9294	132	34	132	34	True	0.192736	0.807264	0.0	4.280061	0.109375	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/login_bonus/1038/campaign_1038_bg.png	resource/image_web/campaign/login_bonus/1038/campaign_1038_bg.png	same_path	236680	221428	f4784b2d64d64fde26c3884bc23cc9dbb816baa1c1287b7f97c8d2f2792d43f3	6a4b938ae1330af3e532bd530f4490b62f2e0a288e6b89ca0cbbc6e16e0cec3d	1024	768	1024	768	True	0.157958	0.842042	0.0	3.746223	0.050781	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/campaign/point_up/common/card_compose_all_2000.png	resource/image_web/campaign/point_up/common/card_compose_all_2000.png	same_path	4344	4747	2e0015b5f9afdcece2d69dd63b0d445cbc2fb7c2130c4fd2f84165342b4b65c0	74aae0dec3f42a6d081826ba6d9ebcf9da9d8f5959ab80c0ae046e340cb1f5b6	142	76	142	76	True	0.195423	0.804577	0.0	6.431817	0.109375	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
