path,kind,current_text,legacy_cn_text,confidence,evidence
js/_common/backboneCommon.js,js_literal,時,时,high,equal literal anchors on both sides
js/_common/nativeCommand.js,js_literal,Accele Comboを決めると@チーム全員のマギアゲージが増加します,确定使用Accele连击后@全队成员的Magia蓄能条增加,high,equal literal anchors on both sides
js/_common/nativeCommand.js,js_literal,Blast Comboを決めたターンは@ダメージ量が大きくなります,已确定使用Blast连击的回合中@伤害值增大,high,equal literal anchors on both sides
js/_common/nativeCommand.js,js_literal,ボイスデータのダウンロードを開始します。,开始下载语音资料。,high,equal literal anchors on both sides
js/_common/nativeCommand.js,js_literal,※ムービーデータは、後からダウンロードすることも可能です。\n※Wi-Fi環境でのダウンロードをお勧めします。,※影片资料也可以之后再下载。\n※建议在Wi-Fi模式下进行下载。,high,equal literal anchors on both sides
js/camera/CameraTop.js,js_literal,エラー,错误,high,equal literal anchors on both sides
js/camera/CameraTop.js,js_literal,カメラ撮影,照相机摄影,high,equal literal anchors on both sides
js/camera/CameraTop.js,js_literal,撮影が完了しました。,摄影结束。,high,equal literal anchors on both sides
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,お知らせ,通知,high,equal literal anchors on both sides
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,ボックス内容一覧,奖励箱内容一览,high,equal literal anchors on both sides
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,変更する,更换,high,equal literal anchors on both sides
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,キャンセル,取消,high,equal literal anchors on both sides
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,ガチャを引く,抽取扭蛋,high,equal literal anchors on both sides
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,所持可能なメモリアの上限を100枠以上超えています。\x3cbr\x3eメモリアの所持枠を空けてください。,持有的记忆结晶已到达上限。<br>请空出1个以上的记忆结晶持有栏。,review,equal literal anchors on both sides; numeric tokens differ
js/campaign/box_gacha/CampaignBoxGachaTop.js,js_literal,メモリアへ,前往记忆结晶,high,equal literal anchors on both sides
js/chara/CharaCompose.js,js_literal,強化できません,无法强化,high,equal literal anchors on both sides
js/chara/CharaCompose.js,js_literal,素材を選択してください,请选择素材,high,equal literal anchors on both sides
js/chara/CharaCompose.js,js_literal,閉じる,关闭,high,equal literal anchors on both sides
js/chara/CharaCompose.js,js_literal,使用ジェム選択,选择使用宝石,high,equal literal anchors on both sides
js/chara/CharaCompose.js,js_literal,決定,决定,high,equal literal anchors on both sides
js/chara/CharaComposeMagia.js,js_literal,マギア強化確認,确认强化Magia,high,equal literal anchors on both sides
js/chara/CharaComposeMagia.js,js_literal,のマギアを強化します。\x3c/br\x3eよろしいですか？\x3cp\x3e,的Magia将被强化。</br>确定吗？,review,equal literal anchors on both sides; embedded markup skeleton differs
js/chara/CharaComposeMagia.js,js_literal,キャンセル,取消,high,equal literal anchors on both sides
js/chara/CharaComposeMagia.js,js_literal,マギアLvは最大です,Magia等级已达到最大值,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,覚醒素材をセットしてください,请设置觉醒素材,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,覚醒可能なLvに達していません,未达到可以觉醒的等级,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,上限まで覚醒されています,已觉醒到最大上限,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,覚醒できません,无法觉醒,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,CCが不足しています,诅咒晶片不足,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,閉じる,关闭,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,覚醒確認,觉醒确认,high,equal literal anchors on both sides
js/chara/CharaCustomize.js,js_literal,を覚醒します。\x3cbr\x3eよろしいですか？\x3c/p\x3e,将进行觉醒。<br>确定吗？,review,equal literal anchors on both sides; embedded markup skeleton differs
js/chara/CharaEnhancementTree.js,js_literal,精神強化のリセット,精神强化重置,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,精神強化をリセットしました。,精神强化已重置。,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,原点の器を1個消費して、\x3cspan class\x3d'c_pink'\x3e,消耗一个原点之器、<span class='c_pink'>,review,one equal literal anchor and equal replacement arity; numeric tokens differ
js/chara/CharaEnhancementTree.js,js_literal,\x3c/span\x3eの\x3cbr\x3e精神強化をすべてリセットします。よろしいですか？\x3cbr\x3e\x3cspan class\x3d'resetCaution c_red'\x3e※精神強化に使用した素材は返還されますが、CCは返還されません\x3c/span\x3e\x3cdiv class\x3d'resetItem pointFrame'\x3e\x3cspan class\x3d'hasIcons'\x3e\x3cimg src\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\x3e\x3c/span\x3e\x3cspan class\x3d'itemCount'\x3e,</span>の<br>精神强化将会被全部重置。确定吗？<br><span class='resetCaution c_red'>※将返还精神强化所消耗的素材，但不会返还CC</span><div class='resetItem pointFrame'><span class='hasIcons'><img src='/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'></span><span class='itemCount'>,review,one equal literal anchor and equal replacement arity
js/chara/CharaEnhancementTree.js,js_literal,キャンセル,取消,review,one equal literal anchor and equal replacement arity
js/chara/CharaEnhancementTree.js,js_literal,リセット,重置,review,one equal literal anchor and equal replacement arity
js/chara/CharaEnhancementTree.js,js_literal,精神強化のリセットには原点の器が必要です。\x3cdiv class\x3d'resetItem pointFrame'\x3e\x3cspan class\x3d'hasIcons'\x3e\x3cimg src\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\x3e\x3c/span\x3e\x3cspan class\x3d'itemCount'\x3e,重置精神强化需要消耗原点之器。<div class='resetItem pointFrame'><span class='hasIcons'><img src='/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'></span><span class='itemCount'>,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,精神強化,精神强化,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,\x3cp\x3e精神強化に必要な素材が不足しています。\x3cp\x3e\x3cp class\x3d'c_red multiCaution'\x3e※前提条件を含む、,<p>精神强化所需素材不足。<p><p class='c_red multiCaution'>※包括前置条件在内，需要消耗,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,マス分の精神強化素材が必要です。,格的精神材料素材。,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,精神強化　能力解放確認,精神强化　能力解放確認,review,one equal literal anchor and equal replacement arity
js/chara/CharaEnhancementTree.js,js_literal,の能力解放を行います。\x3c/br\x3eよろしいですか？\x3cp\x3e\x3cp class\x3d'c_red multiCaution'\x3e※前提条件を含む,的能力将会被解放。</br>确定吗？<p><p class='c_red multiCaution'>※包括前置条件在内，,review,one equal literal anchor and equal replacement arity
js/chara/CharaEnhancementTree.js,js_literal,マスの精神強化が解放されます。,格的精神强化将会被解放。,review,one equal literal anchor and equal replacement arity
js/chara/CharaEnhancementTree.js,js_literal,\x3cp\x3e精神強化に必要な素材が不足しています。,<p>精神强化所需素材不足。,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,の能力解放を行います。\x3c/br\x3eよろしいですか？\x3cp\x3e,的能力将会被解放。</br>确定吗？<p>,high,equal literal anchors on both sides
js/chara/CharaEnhancementTree.js,js_literal,精神強化に必要なCCが不足しています。,精神强化所需的CC不足。,high,equal literal anchors on both sides
