path	source_path	referenced_by	source_tier	status	required_gate	source_sha256
magica/template/arena/ArenaCurePop.html	A:\magicaOLD\template\arena\ArenaCurePop.html	js/view/arena/ArenaBpCureView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	ddadeafd3684b39e72a85d951e2ad6ef5e3ea43aa7dd07ebd47f539c5d716d75
magica/template/arena/ArenaTop.html	A:\magicaOLD\template\arena\ArenaTop.html	js/view/arena/ArenaTopView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	bf904c570761b3a9ae6ec80c4d83873cd1f8974542c7f2cf5a2e5483ae1d5ad5
magica/template/collection/CharaCollectionDetail.html	A:\magicaOLD\template\collection\CharaCollectionDetail.html	js/view/collection/CollectionDetailView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	479f54b1c56154685e5453276d309781ed54cedb72eb7aed8f1fb10d6c0c8311
magica/template/follow/FollowPopup.html	A:\magicaOLD\template\follow\FollowPopup.html	js/follow/FollowPopup.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	0efd56fee0ee3433a9f6c3084fa2a334bf9472cfa5075a5af3d64f82102f4a56
magica/template/follow/FollowTop.html	A:\magicaOLD\template\follow\FollowTop.html	js/view/follow/FollowTopView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	351cf8ca07c6e6adbf608b258d12a0b7f5d4557d8c62025da9c3e9feb489d1e9
magica/template/item/ItemListTop.html	A:\magicaOLD\template\item\ItemListTop.html	js/view/item/ItemListView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	0846e200b3a5e1e7d427b73cc147292a72a92ce7b8c326629144d1dd7d9cbaf6
magica/template/item/ItemSalePopup.html	A:\magicaOLD\template\item\ItemSalePopup.html	js/view/item/ItemSalePopupView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	5a5b4cc261c81a59c580c23569be309f8db809a838e218fc12e0327e61834f26
magica/template/memoria/MemoriaPopup.html	A:\magicaOLD\template\memoria\MemoriaPopup.html	js/memoria/MemoriaPopup.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	1d707c10d6aaae3d3ad0b4cf86d810503ccb7c801d145313f74f22c28803e6a3
magica/template/mission/MissionTop.html	A:\magicaOLD\template\mission\MissionTop.html	js/view/mission/MissionTopView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	1f1860d813808d0090ea10d827bb6eb1eed5e05d689082cdd032abe132ce3335
magica/template/present/PresentList.html	A:\magicaOLD\template\present\PresentList.html	js/view/present/PresentListPageView.js;js/view/test/PresentListPageView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	5e314fcd39a9b54939e2e7aa1ff96ce1cc67f8cfa27158acaeb9c6bb899f9660
magica/template/quest/MainQuest.html	A:\magicaOLD\template\quest\MainQuest.html	js/view/quest/MainQuestView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	f895f9005c5c2aed2016426af36211beb4e19c7bbf36a519d6a24037029a31b9
magica/template/quest/QuestDetailPopup.html	A:\magicaOLD\template\quest\QuestDetailPopup.html	js/view/quest/QuestListPartsView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	d1e39e7401baf15e9cb803f6babda3fd2d3d2efb343241087fbf7c7f65fa65cd
magica/template/quest/QuestResult.html	A:\magicaOLD\template\quest\QuestResult.html	js/view/quest/QuestResultView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	bb9acd7569257c0f2ff85cb658ff7670e9d76c354103d6f1fc07d66301e698f2
magica/template/quest/SubQuest.html	A:\magicaOLD\template\quest\SubQuest.html	js/view/quest/SubQuestView.js	official-cn	conditional-direct-candidate	compare server template/EJS selector contract before whole-file recovery	2e718350b1bb980e9292b5b347affd2ad0924f984ce4c44c44ec9a5ff61c36c4
