candidate_id	path	stable_key	field	source_text	suggested_cn	source_tier	status	evidence_path	notes
HELP-16-GROUP-TITLE	magica/resource/image_web/_json/help.json	help/16/@title	title	キモチ戦		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	new upstream help group; no official CN group
HELP-17-GROUP-TITLE	magica/resource/image_web/_json/help.json	help/17/@title	title	魔法少女 総合戦力		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	new upstream help group; no official CN group
HELP-18-GROUP-TITLE	magica/resource/image_web/_json/help.json	help/18/@title	title	殲滅戦		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	new upstream help group; no official CN group
HELP-19-GROUP-TITLE	magica/resource/image_web/_json/help.json	help/19/@title	title	パトロール		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	new upstream help group; no official CN group
HELP-20-GROUP-TITLE	magica/resource/image_web/_json/help.json	help/20/@title	title	バトルミュージアム		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	new upstream help group; no official CN group
HELP-04-08-TITLE	magica/resource/image_web/_json/help.json	help/04/08/title	title	強化アイテム		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-04-08-TEXT	magica/resource/image_web/_json/help.json	help/04/08/text	text	■「マギアレコード」には以下の強化アイテムが存在します。<br/>・強化ジェム：魔力強化に使用することができ、魔法少女Lvを上昇させます。<br/>・クリア・アルバム：エピソードLv強化に使用することができ、エピソードPtが獲得できます。<br/>・デスティニージェム：魔力解放に使用することができ、メモリア装備枠を拡張させます。<br/>・イノセントジェム：全ての魔法少女の魔力解放に使用することができ、メモリア装備枠を拡張させます。<br/>・覚醒素材：覚醒に使用することができ、パラメータとレアリティを上昇させます。<br/>・ブック：マギア強化に使用することができ、マギアLvを上昇させます。<br/>・属性強化ジェム：属性強化に使用することができ、魔法少女のステータスをアップさせます。		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-04-09-TITLE	magica/resource/image_web/_json/help.json	help/04/09/title	title	精神強化		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-04-09-TEXT	magica/resource/image_web/_json/help.json	help/04/09/text	text	■魔法少女は、精神強化を行うことでパラメータの上昇、固有の潜在スキルや潜在アビリティを習得することができます。<br/>精神強化には精神強化ボードのマスに指定されたアイテムやカースチップ（CC）を使用します。<br/><br/>精神強化ボードは魔法少女それぞれに100マスずつ存在します。		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-04-10-TITLE	magica/resource/image_web/_json/help.json	help/04/10/title	title	属性強化		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-04-10-TEXT	magica/resource/image_web/_json/help.json	help/04/10/text	text	■属性強化とは、属性強化ジェム、各属性のジェム++、マスタージェム++等の<br/>アイテムを使用して魔法少女のステータスをアップさせる機能です。<br/><br/>魔法少女1体に対して各ステータス（HP,ATK,DEF）を<br/>上昇させる魔力印があり、魔力印に設定された必要アイテムを消費することで<br/>属性魔力は強化されステータスがアップします。<br/><br/>属性強化ジェムは以下の3種類となります。<br/>・ライフジェム<br/>・パワージェム<br/>・プロテクトジェム<br/><br/>属性強化ジェムは、イベント限定ショップの交換品や、<br/>覚醒強化クエストの超級で獲得することが出来ます。<br/><br/>属性強化で強化されたステータスの上昇値は、強化を行った魔法少女だけでなく、<br/>強化を行った魔法少女と同じ属性の魔法少女全員に対しても適用されます。<br/><br/>また属性強化では、対象の魔法少女の魔力解放数に応じて<br/>強化できる魔力印が解除されるため、魔力解放をしているほど<br/>よりステータスをアップさせることができます。		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-13-02-TITLE	magica/resource/image_web/_json/help.json	help/13/02/title	title	マギアパスポート30		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-13-02-TEXT	magica/resource/image_web/_json/help.json	help/13/02/text	text	■マギアパスポート30は、購入すると33個のマギアストーンが手に入り、その後（購入日も含めて）30日間無償マギアストーンが5個とデイリーコイン1個が獲得できるセットです。<br/><br/>購入当日は有償マギアストーン33個＋無償マギアストーン5個の合計38個のマギアストーンが獲得できます。<br/>翌日からの29日間は、ログインボーナスとともに無償マギアストーン5個とデイリーコイン1個が獲得できます。<br/><br/>注意点<br/>・「マギアパスポート30」は、マギアストーン購入画面で購入できます。<br/><br/>・「マギアパスポート30」の期間中、ログインしなかった日は無償マギアストーン5個とデイリーコイン1個は獲得できません。また、翌日以降にまとめて獲得することもできません。<br/><br/>・「マギアパスポート30」は期間終了後、その翌日より再び購入することができます。		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-14-11-TITLE	magica/resource/image_web/_json/help.json	help/14/11/title	title	チュートリアル【精神強化】		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-14-11-TEXT	magica/resource/image_web/_json/help.json	help/14/11/text	text	<div class='helpPopupImg'><img class='imageZoom' src='/magica/resource/image_web/page/tutorial/popup/navi_141.png' alt=''></div>		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-14-12-TITLE	magica/resource/image_web/_json/help.json	help/14/12/title	title	チュートリアル【属性強化】		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-14-12-TEXT	magica/resource/image_web/_json/help.json	help/14/12/text	text	<div class='helpPopupImg'><img class='imageZoom' src='/magica/resource/image_web/page/tutorial/popup/navi_151.png' alt=''></div>		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
HELP-15-11-TITLE	magica/resource/image_web/_json/help.json	help/15/11/title	title	ライセンス表記		new-translation-required	manual-required	A:\totentanz-frontend\resource\image_web\_json\help.json	upstream-only stable help entry; no official CN match
