stable_key	index	group	type	threshold	force	official_cn_text	source_tier	match	source_path	target_path	referenced_by
RP/0/0	0	TEXT	RP	0	true	照这样子，没完没了呀……＠终归是有些累了啊。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RP/10/1	1	TEXT	RP	10	true	还能战斗哦。＠没事的，怎么可能会输呢？	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
SELF_BEAT/5/2	2	TEXT	SELF_BEAT	5	false	各位，要上了哦！＠随意挑战大门吧！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
SELF_BEAT/10/3	3	TEXT	SELF_BEAT	10	false	打倒了相当多魔女呢……＠不要松懈前进吧。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
SELF_BEAT/15/4	4	TEXT	SELF_BEAT	15	false	堵上了不少门呢＠就这样继续努力吧。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
SELF_BEAT/20/5	5	TEXT	SELF_BEAT	20	false	起初还在想该怎么办才好……＠总会有办法的吧。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
SELF_BEAT/30/6	6	TEXT	SELF_BEAT	30	false	差不多看到终点了！＠来，最后再加把劲！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/7	7	TEXT	RANDOM		false	魔力反应！＠看起来附近有使魔呀。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/8	8	TEXT	RANDOM		false	稍微等我一下可以吗？＠得把这些碍事的使魔收拾干净。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/9	9	TEXT	RANDOM		false	那是，使魔呢……＠速战速决吧！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
