stable_key	group_type	col_id	field	upstream_value	official_cn_value	source_tier	match	source_path	target_path
help/01/@title	01		title	世界観	世界观	official-cn	exact-type	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/01/title	01	01	title	あらすじ	内容梗概	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/01/text	01	01	text	真っ白な病室。見覚えのない女の子が、こちらに向かって微笑む。<br/>懐かしいような、愛おしいこの感覚。<br/><br/>毎晩同じ夢ばかりを見る少女、環いろは。<br/>神浜市にのみ存在するちいさなキュゥべえと出会うことで、欠落していた記憶を取り戻す。<br/><br/>そして彼女はちいさなキュゥべえと共に、神浜市で魔法少女として活動するようになる。<br/><br/>そんな中、見滝原市の魔法少女たちも神浜市に現れる...	纯白的病房中，一个陌生的小女孩朝着这边露出微笑。<br/>这充满怜爱的感觉令人怀念。<br/><br/>每晚做着相同梦的少女——环彩羽。<br/>与仅存在于神滨市的小丘比相遇后，她重获缺失的记忆。<br/><br/>于是，她以魔法少女的身份，与小丘比一同行动起来。<br/><br/>在这过程中，见泷原市的魔法少女们也出现在了神滨市……	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/02/text	01	02	text	魔女を退治する、選ばれし少女たちを指します。<br/>彼女たちは願いを一つ叶える代わりに、魔女と戦う使命を課されます。	是指被选中来消灭魔女的少女们。<br/>她们被赋予与魔女战斗的使命，以此作为交换，可以实现一个愿望。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/03/text	01	03	text	手下を伴って結界の中にこもる、厄災をもたらす忌まわしき存在です。	与手下结伴潜藏于结界之中，招致灾祸的可憎存在。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/04/title	01	04	title	グリーフシード	悲叹之种	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/04/text	01	04	text	魔法少女の穢れを浄化するアイテムです。<br/>魔女を倒すと入手することができます。	净化魔法少女的污秽的道具。<br/>打倒魔女即可获得。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/05/title	01	05	title	ソウルジェム	灵魂宝石	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/05/text	01	05	text	魔法少女の魔力の源です。<br/>魔法を使うたびに少しずつ穢れてしまいますが、グリーフシードでそれを浄化することができます。	魔法少女的魔力之源。<br/>每次使用魔法都会积累起污秽，但可用悲叹之种将其净化。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/06/title	01	06	title	キュゥべえ	丘比	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/06/text	01	06	text	少女の願い事をひとつだけ叶えてくれる魔法の使者です。<br/>キュゥべえと契約することで、魔法少女となります。	可以实现少女一个愿望的魔法使者。<br/>与丘比缔结契约即可成为魔法少女。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/07/title	01	07	title	見滝原市	见泷原市	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
