stable_key	path	literal_index	upstream_value	official_cn_value	source_tier	match	source_path	target_path
template/chara/CharaList.html#literal-0	template/chara/CharaList.html	0	Filter	筛选	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\chara\CharaList.html	magica/template/chara/CharaList.html
template/chara/CharaList.html#literal-1	template/chara/CharaList.html	1	No Applicable Magical Girls	无指定的魔法少女	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\chara\CharaList.html	magica/template/chara/CharaList.html
template/collection/CharaCollection.html#literal-0	template/collection/CharaCollection.html	0	Magical Girls	魔法少女一览	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\collection\CharaCollection.html	magica/template/collection/CharaCollection.html
template/quest/CharaQuest.html#literal-0	template/quest/CharaQuest.html	0	Magical Girls	魔法少女	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\quest\CharaQuest.html	magica/template/quest/CharaQuest.html
template/quest/CharaQuest.html#literal-1	template/quest/CharaQuest.html	1	Costumes	衣装	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\quest\CharaQuest.html	magica/template/quest/CharaQuest.html
template/quest/CharaQuest.html#literal-2	template/quest/CharaQuest.html	2	No Applicable Magical Girls	不存在该属性的魔法少女	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\quest\CharaQuest.html	magica/template/quest/CharaQuest.html
template/quest/CharaQuest.html#literal-7	template/quest/CharaQuest.html	7	Ep.	话	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\quest\CharaQuest.html	magica/template/quest/CharaQuest.html
template/quest/CharaQuest.html#literal-8	template/quest/CharaQuest.html	8	Doppel	魔女化身	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\quest\CharaQuest.html	magica/template/quest/CharaQuest.html
template/quest/CharaQuest.html#literal-10	template/quest/CharaQuest.html	10	Requirements to Unlock	剧情开放条件	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\quest\CharaQuest.html	magica/template/quest/CharaQuest.html
template/terms/Terms.html#literal-0	template/terms/Terms.html	0	利用規約	使用条款	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\terms\Terms.html	magica/template/terms/Terms.html
template/terms/Terms.html#literal-1	template/terms/Terms.html	1	利用規約テキストが入ります。	输入使用条款文本。	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\terms\Terms.html	magica/template/terms/Terms.html
template/user/MyPage.html#literal-1	template/user/MyPage.html	1	Outfits	衣装一览	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\user\MyPage.html	magica/template/user/MyPage.html
template/user/MyPage.html#literal-2	template/user/MyPage.html	2	OK	确定	official-cn	same-path-aligned-visible-literal	A:\magicaOLD\template\user\MyPage.html	magica/template/user/MyPage.html
