dependency	referenced_by	exists_product	exists_official_old	exists_upstream	classification
css/camera/CameraTop.css	js/camera/CameraTop.js	False	True	True	missing-product-old+upstream-exist
css/campaign/box_gacha/CampaignBoxGachaTop.css	js/campaign/box_gacha/CampaignBoxGachaTop.js	False	True	True	missing-product-old+upstream-exist
css/campaign/quiz/CampaignQuizTop.css	js/campaign/quiz/CampaignQuizTop.js	True	False	True	already-in-product
css/campaign/story_mission/CampaignStoryMission.css	js/campaign/story_mission/CampaignStoryMission.js	False	True	True	missing-product-old+upstream-exist
css/chara/CharaCommon.css	js/chara/CharaCompose.js;js/chara/CharaComposeMagia.js;js/chara/CharaCustomize.js;js/chara/CharaEquip.js;js/chara/CharaTop.js	True	True	True	already-in-product
css/chara/CharaCompose.css	js/chara/CharaCompose.js	False	True	True	missing-product-old+upstream-exist
css/chara/CharaComposeMagia.css	js/chara/CharaComposeMagia.js	False	True	True	missing-product-old+upstream-exist
css/chara/CharaCustomize.css	js/chara/CharaCustomize.js	False	True	True	missing-product-old+upstream-exist
css/chara/CharaEnhancementTree.css	js/chara/CharaEnhancementTree.js	True	True	True	already-in-product
css/chara/CharaEquip.css	js/chara/CharaEquip.js	False	True	True	missing-product-old+upstream-exist
css/chara/CharaTop.css	js/chara/CharaTop.js	False	True	True	missing-product-old+upstream-exist
css/collection/MagiRepo.css	js/collection/MagiRepo.js	False	True	True	missing-product-old+upstream-exist
css/collection/MagiRepoDetail.css	js/collection/MagiRepoDetail.js	False	True	True	missing-product-old+upstream-exist
css/collection/StoryCollection.css	js/collection/StoryCollection.js	True	True	True	already-in-product
css/event/EventArenaRankMatch/Result.css	js/event/EventArenaRankMatch/Result.js	True	False	True	already-in-product
css/event/EventWitch/Top.css	js/event/EventWitch/page/Top.js	False	True	True	missing-product-old+upstream-exist
css/event/accomplish/EventAccomplishDeck.css	js/event/accomplish/EventAccomplishDeck.js	False	True	True	missing-product-old+upstream-exist
css/event/accomplish/EventAccomplishEnemyDetail.css	js/event/accomplish/EventAccomplishEnemyDetail.js	False	True	True	missing-product-old+upstream-exist
css/event/accomplish/EventAccomplishRecovery.css	js/event/accomplish/EventAccomplishRecovery.js	False	True	True	missing-product-old+upstream-exist
css/event/accomplish/EventAccomplishTop.css	js/event/accomplish/EventAccomplishTop.js	False	True	True	missing-product-old+upstream-exist
css/event/aprilfool2018/EventAprilFoolTop.css	js/event/aprilfool2018/EventAprilFoolTop.js	False	True	False	missing-product-official-old-only
css/event/arenaMission/EventArenaMissionCommon.css	js/event/arenaMission/EventArenaMissionResult.js;js/event/arenaMission/EventArenaMissionStage.js;js/event/arenaMission/EventArenaMissionTop.js	False	True	True	missing-product-old+upstream-exist
css/event/arenaMission/EventArenaMissionResult.css	js/event/arenaMission/EventArenaMissionResult.js	False	True	False	missing-product-official-old-only
css/event/arenaMission/EventArenaMissionStage.css	js/event/arenaMission/EventArenaMissionStage.js	False	True	True	missing-product-old+upstream-exist
css/event/arenaMission/EventArenaMissionTop.css	js/event/arenaMission/EventArenaMissionTop.js	False	True	True	missing-product-old+upstream-exist
css/event/branch/EventBranch.css	js/event/branch/EventBranchTop.js	False	True	True	missing-product-old+upstream-exist
css/event/dailytower/EventDailyTower.css	js/event/dailytower/EventDailyTowerTop.js	True	True	True	already-in-product
css/event/dungeon/EventDungeonCurePopup.css	js/event/dungeon/view/EventDungeonCpCureView.js	False	True	False	missing-product-official-old-only
css/event/dungeon/EventDungeonMap.css	js/event/dungeon/EventDungeonMap.js	False	True	True	missing-product-old+upstream-exist
css/event/dungeon/EventDungeonTop.css	js/event/dungeon/EventDungeonTop.js	False	True	True	missing-product-old+upstream-exist
css/event/raid/EventRaidRpCurePopup.css	js/event/raid/view/EventRaidRpCureView.js	False	True	False	missing-product-official-old-only
css/event/raid/EventRaidTop.css	js/event/raid/EventRaidCloseTop.js;js/event/raid/EventRaidTop.js	True	True	True	already-in-product
css/event/singleraid/EventSingleRaidTop.css	js/event/singleraid/EventSingleRaidTop.js	False	True	True	missing-product-old+upstream-exist
css/event/storyraid/EventStoryRaidTop.css	js/event/storyraid/EventStoryRaidTop.js	False	True	True	missing-product-old+upstream-exist
css/event/storyraid/FinalAnimation.css	js/event/storyraid/EventStoryRaidTop.js	False	True	True	missing-product-old+upstream-exist
css/event/tower/EventTower.css	js/event/tower/EventTowerTop.js	True	True	True	already-in-product
css/event/training/EventTrainingCharaSelect.css	js/event/training/EventTrainingCharaSelect.js	False	True	True	missing-product-old+upstream-exist
css/event/training/EventTrainingTop.css	js/event/training/EventTrainingTop.js	False	True	True	missing-product-old+upstream-exist
css/formation/DeckFormation.css	js/event/accomplish/EventAccomplishDeck.js;js/formation/DeckFormation.js	True	True	True	already-in-product
