item_id	path	line	channel	source_text	language_flag	classification	context
VISIBLE-00001	css/_common/common.css	1	css-content	Lv	latin	formal-retained-review	"v span,.userCharaIcon .mlv span,.userCharaIcon .enhance span,.userCharaIcon .composeAttribute span{color:#fff}.userCharaIcon .lv{display:block}.userCharaIcon .lv:before{color:#ff9;content:""Lv"";margin-right:5px;font-size:10px}.userCharaIcon .atk{display:none}.userCharaIcon"
VISIBLE-00002	css/_common/common.css	1	css-content	ATK	latin	formal-retained-review	"haraIcon .lv{display:block}.userCharaIcon .lv:before{color:#ff9;content:""Lv"";margin-right:5px;font-size:10px}.userCharaIcon .atk{display:none}.userCharaIcon .atk:before{color:#ff9;content:""ATK"";margin-right:5px;font-size:10px}.userCharaIcon .def{display:none}.userCharaIcon"
VISIBLE-00003	css/_common/common.css	1	css-content	DEF	latin	formal-retained-review	"raIcon .atk{display:none}.userCharaIcon .atk:before{color:#ff9;content:""ATK"";margin-right:5px;font-size:10px}.userCharaIcon .def{display:none}.userCharaIcon .def:before{color:#ff9;content:""DEF"";margin-right:5px;font-size:10px}.userCharaIcon .hp{display:none}.userCharaIcon"
VISIBLE-00004	css/_common/common.css	1	css-content	HP	latin	formal-retained-review	"haraIcon .def{display:none}.userCharaIcon .def:before{color:#ff9;content:""DEF"";margin-right:5px;font-size:10px}.userCharaIcon .hp{display:none}.userCharaIcon .hp:before{color:#ff9;content:""HP"";margin-right:5px;font-size:10px}.userCharaIcon .eplv{display:none}.userCharaIco"
VISIBLE-00005	css/_common/common.css	1	css-content	エピソードLv	japanese+latin	visible-review	"araIcon .hp{display:none}.userCharaIcon .hp:before{color:#ff9;content:""HP"";margin-right:5px;font-size:10px}.userCharaIcon .eplv{display:none}.userCharaIcon .eplv:before{color:#ff9;content:""エピソードLv"";margin-right:5px;font-size:10px}.userCharaIcon .rev{display:none}.userCharaIcon"
VISIBLE-00006	css/_common/common.css	1	css-content	マギアLv	japanese+latin	visible-review	"aIcon .rev{display:none}.userCharaIcon .rev:before{color:#ff9;content:""魔力解放"";margin-right:5px;font-size:10px}.userCharaIcon .mlv{display:none}.userCharaIcon .mlv:before{color:#ff9;content:""マギアLv"";margin-right:5px;font-size:10px}.userCharaIcon .enhance{display:none}.userChara"
VISIBLE-00007	css/_common/common.css	1	css-content	Illustrator	latin	visible-review	"15px;padding:1px 0 1px 148px;font-size:16px;position:relative}#memoriaDetailWrap #memoriaDetailPopup .popupDetailWrap .infoWrap .illustrator:before{color:#a47122;text-align:center;content:""Illustrator"";text-shadow:none;background-color:#ebe1d4;padding:3px 16px 2px;font-size:13px;p"
VISIBLE-00008	css/_common/common.css	1	css-content	マギア	japanese	visible-review	"center}#charaComposeResult .resultMessageWrap .rowBox.magia{margin-bottom:18px}#charaComposeResult .resultMessageWrap .rowBox.magia .titleBox:after{color:#5b3072;text-align:center;content:""マギア"";width:84px;height:20px;text-shadow:none;background-color:#fff;border-radius:10p"
VISIBLE-00009	css/_common/common.css	1	css-content	EXスキル	japanese+latin	visible-review	":0}#charaComposeResult .resultMessageWrap .rowBox.exSkill{margin-bottom:18px}#charaComposeResult .resultMessageWrap .rowBox.exSkill .titleBox:after{color:#5b3072;text-align:center;content:""EXスキル"";width:84px;height:20px;text-shadow:none;background-color:#fff;border-radius:10p"
VISIBLE-00010	css/_common/common.css	1	css-content	コネクト	japanese	visible-review	":0}#charaComposeResult .resultMessageWrap .rowBox.connect{margin-bottom:14px}#charaComposeResult .resultMessageWrap .rowBox.connect .titleBox:after{color:#5b3072;text-align:center;content:""コネクト"";width:84px;height:20px;text-shadow:none;background-color:#fff;border-radius:10p"
