record_id	evidence_kind	source	current_cn	official_cn	selected_cn	decision	source_tier	product_write_allowed	supporting_symbols	both_official_cn_abis	rationale
CN-NATIVE-0001	stable-object-slot	10連 - レアカード	10连 - 稀有卡牌	10连 - 稀有卡牌	10连 - 稀有卡牌	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5gacha5state5debug5LABELE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0002	stable-object-slot	1回デバフを無効化する	使减益无效1次	无效化一次减益效果	无效化一次减益效果	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0003	stable-object-slot	Acceleによるダメージが減少	Accele造成的伤害减少	Accele攻击造成的伤害减少	Accele攻击造成的伤害减少	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0004	stable-object-slot	Acceleダメージカット	Accele伤害削减	Accele伤害削减	Accele伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0005	stable-object-slot	Blastによるダメージが減少	Blast造成的伤害减少	Blast攻击造成的伤害减少	Blast攻击造成的伤害减少	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0006	stable-object-slot	Blastダメージカット	Blast伤害削减	Blast伤害削减	Blast伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0007	stable-object-slot	Chargeによるダメージが減少	Charge造成的伤害减少	Charge攻击造成的伤害减少	Charge攻击造成的伤害减少	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0008	stable-object-slot	Chargeダメージカット	Charge伤害削减	Charge伤害削减	Charge伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0009	stable-object-slot	Charge後ダメージカット	Charge后伤害削减	Charge后伤害削减	Charge后伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0010	stable-object-slot	Cディスク	C行动盘	C行动盘	C行动盘	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt19DebugBuffObjectNameE	True	stable object slot and both CN ABIs exactly corroborate the current value
