path	media_type	source_group	authority	method	evidence	bytes	width	height
magica/resource/image_web/_json/SecondPartLastInfo.json	json	localized-runtime-json	reviewed-root-translation	stable-key-localized-runtime-json	manual-visible-round3 stable-key review	2977		
magica/resource/image_web/_json/help.json	json	localized-runtime-json	mixed-official-cn-and-reviewed-root-translation	stable-key-localized-runtime-json	authority-source-exhaustion-round3 plus manual-visible-round3	183876		
magica/resource/image_web/_json/puellaHistoria/overview.json	json	localized-runtime-json	wiki-authority	stable-key-localized-runtime-json	authority-source-exhaustion-round3/wiki_puella_historia_overview.tsv	2221		
magica/resource/image_web/banner/announce/banner_0119_m.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#banner/announce/banner_0119_m.png	59195	680	180
magica/resource/image_web/banner/announce/banner_0500_m.png	png	careful-human-current-canvas	careful-human-translation-on-current-us-canvas	reviewed-current-canvas-localization	magica/research/totentanz-full-localization-20260817/web-images/localized_ui_image_manifest.json#banner/announce/banner_0500_m.png	69005	680	180
magica/resource/image_web/banner/common/banner_purchase_001_1_a.png	png	careful-human-current-canvas	careful-human-translation-on-current-us-canvas	reviewed-current-canvas-localization	magica/research/totentanz-full-localization-20260817/web-images/localized_ui_image_manifest.json#banner/common/banner_purchase_001_1_a.png	19647	452	110
magica/resource/image_web/banner/gacha/gachabanner_0730_m.png	png	careful-human-current-canvas	careful-human-translation-on-current-us-canvas	reviewed-current-canvas-localization	magica/research/totentanz-full-localization-20260817/web-images/localized_ui_image_manifest.json#banner/gacha/gachabanner_0730_m.png	55822	680	180
magica/resource/image_web/campaign/arena_reward_up/common/arena_coin_2000.png	png	official-cn-dynamic-remaining	official-cn	official-cn-stage-bytes	dynamic_image_recovery_audit_20260819/remaining_dynamic_162_product_patch.json#1	6745	372	176
magica/resource/image_web/campaign/box_gacha/common/icon_pickup.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0001	2656	62	62
magica/resource/image_web/campaign/box_gacha/common/icon_pickup_gray.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0002	2446	62	62
magica/resource/image_web/campaign/box_gacha/common/icon_purchased.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0003	1196	57	60
magica/resource/image_web/campaign/gacha_lineup/1078/lineup_banner_291_m.png	png	official-cn-dynamic-remaining	official-cn	official-cn-stage-bytes	dynamic_image_recovery_audit_20260819/remaining_dynamic_162_product_patch.json#2	63483	680	180
magica/resource/image_web/campaign/gacha_lineup/1078/lineup_banner_292_m.png	png	official-cn-dynamic-remaining	official-cn	official-cn-stage-bytes	dynamic_image_recovery_audit_20260819/remaining_dynamic_162_product_patch.json#3	58161	680	180
magica/resource/image_web/campaign/gacha_lineup/1078/lineup_banner_293_m.png	png	official-cn-dynamic-remaining	official-cn	official-cn-stage-bytes	dynamic_image_recovery_audit_20260819/remaining_dynamic_162_product_patch.json#4	55325	680	180
