file	leaf_path	classification	base	local	remote	after	source_tier	evidence	source_commit
magica/js/libs/eventStoryList.json	293/storyTitle	remote-only	5话(End No1)	5话(End No1)	5话（结局1）	5话（结局1）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	301/storyTitle	remote-only	9话(End No2)	9话(End No2)	9话（结局2）	9话（结局2）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	313/storyTitle	remote-only	10话(End No3) 	10话(End No3) 	10话（结局3）	10话（结局3）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	327/storyTitle	remote-only	15话(End No4)	15话(End No4)	15话（结局4）	15话（结局4）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	331/storyTitle	remote-only	19话(End No5)	19话(End No5)	19话（结局5）	19话（结局5）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	333/storyTitle	remote-only	18话(End No6)	18话(End No6)	18话（结局6）	18话（结局6）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	341/storyTitle	remote-only	23话(End No7)	23话(End No7)	23话（结局7）	23话（结局7）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	344/storyTitle	remote-only	22话(End No8)	22话(End No8)	22话（结局8）	22话（结局8）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	347/storyTitle	remote-only	21话(End No9)	21话(End No9)	21话（结局9）	21话（结局9）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	351/storyTitle	remote-only	7话(TRUE END)	7话(TRUE END)	7话（真结局）	7话（真结局）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	66/storyTitle	remote-only	5话(End No1)	5话(End No1)	5话（结局1）	5话（结局1）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
