line_no	final_html
3	本使用条款（以下简称“本条款”）规定了Aniplex股份有限公司（以下简称“本公司”）所提供的游戏应用程序《魔法纪录 魔法少女小圆外传》（包括在该应用程序上提供的服务，以下简称“本应用”）的使用事宜，以及在日本国内使用本应用的用户（以下简称“用户”）与本公司之间的基本条件。如不同意本条款，请勿使用本应用。<br>
5	第１条（使用条件）<br>
6	１．&nbsp;用户应在接受本条款后，在本条款规定的范围内使用本应用。<br>
7	２．&nbsp;用户为未成年人时，应征得监护人等法定代理人（以下简称“监护人等”）同意后，依照第２条第１款进行用户注册并使用本应用。<br>
9	第２条（用户注册）<br>
10	１．&nbsp;用户使用本应用时，应按照本公司规定的方法办理用户登记手续（以下简称“用户注册”）并取得账号。<br>
11	２．&nbsp;用户进行用户注册时，应准确登记用户名及本公司要求填写的其他信息。登记信息发生变更时，用户应按照本公司规定的方法及时办理变更手续。<br>
12	３．&nbsp;用户不得就本应用取得多个账号。<br>
14	第３条（用户终端设备等）<br>
15	１．&nbsp;用户使用本应用时，应自行负责管理安装了本应用的终端设备（以下简称“用户终端设备”），并对使用用户终端设备实施的一切行为承担责任。<br>
16	２．&nbsp;因用户终端设备或账号相关信息（包括为转移游戏数据而向用户提供的识别码及用户创建的密码，下同）管理不善、操作失误、第三方使用等造成的损失，由用户承担责任；除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
17	３．&nbsp;因用户遗失用户终端设备或账号相关信息等，导致用户持有的第６条所规定的游戏内货币及游戏数据等（指在本应用内向用户提供的文本、语音、音乐、图像、视频、游戏内道具、软件及程序等数据，以及本应用内的游戏进度和在本应用中实现的一切状态相关的数据、信息等，下同）丢失或给用户造成其他不利后果时，本公司不承担任何责任。<br>
19	第４条（游戏数据等的处理）<br>
20	１．&nbsp;用户对本应用及游戏数据等不享有所有权、知识产权或任何其他物权性质的权利，仅可在本条款允许的范围内使用。尽管本条款另有规定，若该等使用属于《著作权法》规定的私人使用，则用户可在《著作权法》规定的私人使用范围内使用本应用及游戏数据等。<br>
21	２．&nbsp;发生下列任一情形时，本公司可不事先通知用户，随时删除、移动或以其他方式变更全部或部分游戏数据等。<br>
22	（１）游戏数据等的内容违反本条款时<br>
23	（２）因游戏数据等的数据量可能超过本公司另行规定的限制等技术原因，导致本公司难以维持游戏数据等时<br>
24	（３）本公司判断为提供本应用或本应用相关服务以及进行维护管理所必需时<br>
25	（４）本公司判断其妨碍本应用顺利提供时<br>
26	（５）游戏数据等发放后，经过本公司规定的天数仍未领取时<br>
27	（６）本公司依据第１２条对用户账号采取使用限制措施时<br>
28	（７）本公司基于合理判断认为有必要的其他情形<br>
29	３．&nbsp;用户可在不同平台上运行的本应用中使用其账号及与该账号关联的游戏数据等。但是，第６条规定的游戏内货币（本公司免费发放的除外）不能跨平台使用。<br>
31	第５条（权利归属）<br>
32	１．&nbsp;与本应用及游戏数据等有关的一切著作权及其他权利，均归本公司或合法权利人所有。<br>
33	２．&nbsp;用户不得以任何方式复制、向公众传播、转让、出借、改编或以其他方式利用本应用及游戏数据等。<br>
34	３．&nbsp;本公司授予用户的本应用及游戏数据等使用许可为非独占许可。<br>
35	４．&nbsp;用户不得再许可他人使用本应用及游戏数据等。<br>
37	第６条（游戏内货币）<br>
38	１．&nbsp;用户可在本应用或本应用官方网站购买仅限在本应用内使用的专用游戏内货币（以下简称“游戏内货币”），并仅可在本应用内使用。本公司亦可能以赠品形式免费发放游戏内货币。<br>
39	２．&nbsp;用户为未成年人时，每次购买及使用游戏内货币均应征得监护人等同意；未成年用户购买或使用游戏内货币的，视为已事先取得监护人等同意。此外，本公司可能根据用户年龄，对一定期间内购买游戏内货币的金额设置上限。限制对象及内容将在本应用或本应用官方网站另行规定。<br>
40	３．&nbsp;用户可按本公司规定的支付方式及支付单位，向本公司申请购买游戏内货币。<br>
41	４．&nbsp;用户依前款提出申请时，本公司将按照申请内容发行游戏内货币，并将相关信息保存、累积至用户账号。但在无法确认用户所选支付方式的付款等情况下，本公司可能不接受用户的申请。<br>
42	５．&nbsp;用户应遵守本公司指定的支付服务提供商另行规定的支付条件等购买游戏内货币。用户与支付服务提供商之间就支付发生争议等时，用户应与该支付服务提供商自行解决；除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
43	６．&nbsp;用户购买的游戏内货币不设有效期。但游戏内货币可能依据本条第１２款失效，敬请事先知悉。<br>
44	７．&nbsp;用户可在本条款规定的条件下消耗游戏内货币，购买本应用内的道具等并接受其他各类服务。<br>
45	８．&nbsp;用户不得将游戏内货币转移至其他账号，亦不得向第三方转让、出借或设定担保。<br>
46	９．&nbsp;本公司不将游戏内货币兑换为其他游戏内货币等，也不进行现金退款。但依法负有退款义务时不在此限，退款方式将在本应用或本应用官方网站中显示。<br>
47	１０．&nbsp;除本条款规定外，本公司还可能根据需要，在本应用或本应用官方网站内发布游戏内货币的使用条件等。此时，用户除遵守本条款外，还应按照发布内容购买及使用游戏内货币。此外，除第２款中段规定外，未成年用户购买及使用游戏内货币时，还可能适用本应用或本应用官方网站另行规定的限制。<br>
48	１１．&nbsp;本公司以赠品形式免费发放的游戏内货币，在发放后经过本公司规定的天数仍未领取时，本公司可酌情删除，用户对此事先表示同意。此外，本公司以赠品形式免费发放的游戏内货币在任何情况下均不予退款。<br>
49	１２．&nbsp;因应归责于用户的事由，本公司依据本条款删除用户账号时，或用户卸载本应用且本公司删除用户账号时，本公司可不经用户同意，使该账号持有的游戏内货币失效并从账号中删除。即使游戏内货币失效给用户造成损失，除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
50	１３．&nbsp;本公司仅将本应用内“依据《资金结算法》的标示”所列的游戏内货币，依据《资金结算法》作为“预付式支付手段”处理。使用该“预付式支付手段”购买的游戏内道具，在用户取得时即视为已经提供相关商品或服务，不属于“预付式支付手段”。<br>
52	第７条（费用承担）<br>
53	使用本应用所需的用户终端设备购买、安装及维护费用，数据包通信费、数据使用费等通信费用以及其他一切费用，均由用户承担。<br>
55	第８条（信息的获取与使用）<br>
56	１．&nbsp;用户使用本应用时，本公司可能获取下列信息（以下简称“所取得数据”）。<br>
57	（１）用户终端设备的设备信息（使用的设备、OS、终端语言设置、访问国家等）<br>
58	（２）本应用的使用情况（本应用版本、使用记录等）<br>
59	（３）与用户参加过的活动有关的信息<br>
60	（４）用户在本应用注册手续等过程中发送的信息（包括但不限于用户名等）<br>
61	２．&nbsp;若所取得数据属于《个人信息保护法》规定的个人信息，或本公司判断其性质等同于个人信息，本公司将依据本公司的隐私政策（<span id="rulePolicyLink" class="linkText">https://www.aniplex.co.jp/help/privacy.html</span>）妥善处理该个人信息。<br>
62	３．&nbsp;本公司可为下列目的使用所取得数据。<br>
63	（１）向用户提供本应用及本应用相关的本公司服务<br>
64	（２）确认本人身份（未成年人时包括监护人等）<br>
65	（３）发送通知等、开展问卷调查以及回复咨询等<br>
66	（４）分析用户倾向等，并据此提供服务、广告及其他信息<br>
67	（５）制作与本应用使用情况等有关的统计信息，并在本应用或本公司网站等处公布该统计信息以及向第三方提供<br>
68	（６）提升本应用质量及修复缺陷<br>
69	（７）判定活动申请资格<br>
70	（８）调查涉嫌违反本条款的情形<br>
71	４．&nbsp;未经用户同意，本公司不会向第三方披露所取得数据（为实现前款目的，在必要范围内受托处理所取得数据等业务的受托方不属于此处所称第三方）。<br>
72	５．&nbsp;尽管有前款规定，发生下列情形时，本公司可不经用户同意披露所取得数据。<br>
73	（１）依据法律法规时<br>
74	（２）为保护人的生命、身体或财产而确有必要，且难以取得本人同意时。<br>
75	（３）为增进公共卫生或促进儿童健康成长而特别有必要，且难以取得本人同意时。<br>
76	（４）需要协助国家机关、地方公共团体或其受托方执行法律法规规定的事务，且取得本人同意可能妨碍该事务执行时。<br>
77	６．&nbsp;用户卸载本应用、本公司依据第１２条删除用户账号，或本公司终止提供本应用时，本公司可能自行决定删除全部所取得数据，用户对此事先表示同意。<br>
79	第９条（信息的对外发送）<br>
80	１．&nbsp;用户事先同意：为提升本应用质量及修复缺陷，本公司可能通过 Sauce Labs Inc.（以下简称“Sauce Labs公司”）运营的“Backtrace”工具，向 Sauce Labs公司发送下列信息并进行分析等。Sauce Labs公司不会将这些信息用于其他目的，且不会因收集及分析这些信息而识别出用户本人。<br>
81	（１）用户的账号信息<br>
82	（２）应用程序及终端信息（设备、OS版本、屏幕尺寸等）<br>
83	（３）通信、内存状态等与应用程序使用情况有关的信息<br>
84	（４）错误发生时间、发生位置等与崩溃发生情况有关的信息<br>
