item_id	category	path	geometry_status	old_size	current_size	reference_count	reference_evidence	old_cn_source	current_us_reference	product_target	old_sha256	current_sha256	reason	required_action	authority	write_performed
SOURCE-IMG-0001	unresolved-actionable	resource/image_web/campaign/box_gacha/common/icon_pickup.png	same-geometry	62x62	62x62	1	totentanz:css/campaign/box_gacha/CampaignBoxGachaTop.css	A:\magicaOLD\resource\image_web\campaign\box_gacha\common\icon_pickup.png	A:\totentanz-frontend\resource\image_web\campaign\box_gacha\common\icon_pickup.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\campaign\box_gacha\common\icon_pickup.png	ab003d75d33177bb7486bfcbc4490014a53a9819d603afd41a09343aef83466a	aa58213fc0aed59669e589455fb1ac298dae05aacf359a31adb72f9b03fa2f82	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0002	unresolved-actionable	resource/image_web/campaign/box_gacha/common/icon_pickup_gray.png	same-geometry	62x62	62x62	1	totentanz:css/campaign/box_gacha/CampaignBoxGachaTop.css	A:\magicaOLD\resource\image_web\campaign\box_gacha\common\icon_pickup_gray.png	A:\totentanz-frontend\resource\image_web\campaign\box_gacha\common\icon_pickup_gray.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\campaign\box_gacha\common\icon_pickup_gray.png	1f0a68cfb722638b5334cee3cb223f95b6bd6b169c546de111c7e1f18362b3fb	d7c9dba75cd045ff62d675304bbc3b4e975b0a29ea863648106eca5f1e21a1d7	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0003	unresolved-actionable	resource/image_web/campaign/box_gacha/common/icon_purchased.png	same-geometry	57x60	57x60	1	totentanz:css/campaign/box_gacha/CampaignBoxGachaTop.css	A:\magicaOLD\resource\image_web\campaign\box_gacha\common\icon_purchased.png	A:\totentanz-frontend\resource\image_web\campaign\box_gacha\common\icon_purchased.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\campaign\box_gacha\common\icon_purchased.png	750b81c1d176eab520c86e1b57c55a2d1f08bff29dc1df457576f94076d8df77	856a02efa1fac8addd20f36681227d241a28e2826446e4deb45e7198f7c181ac	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0004	unresolved-actionable	resource/image_web/campaign/gacha_lineup/common/btn_memorial_gachatop.png	same-geometry	106x110	106x110	1	totentanz:css/gacha/GachaTop.css	A:\magicaOLD\resource\image_web\campaign\gacha_lineup\common\btn_memorial_gachatop.png	A:\totentanz-frontend\resource\image_web\campaign\gacha_lineup\common\btn_memorial_gachatop.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\campaign\gacha_lineup\common\btn_memorial_gachatop.png	40c3a8a1d7958066053a3ff68141aca7e60d39dab6e40612690278a0c3c50b14	ab8a1596a26823c9e5a6e21794d2015f1ae1a36508a9c9df4a9409adc81fd313	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0005	unresolved-actionable	resource/image_web/campaign/gacha_lineup/common/btn_serect.png	same-geometry	132x34	132x34	1	totentanz:css/campaign/gacha_lineup/CampaignGachaLineUp.css	A:\magicaOLD\resource\image_web\campaign\gacha_lineup\common\btn_serect.png	A:\totentanz-frontend\resource\image_web\campaign\gacha_lineup\common\btn_serect.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\campaign\gacha_lineup\common\btn_serect.png	0870ee565a8871f408702ee85ad369d421de8d4c5805302559cb541492dd0512	97c82d2f3b9ed9b7aa5a6bcf373593e0189caf274f4e0b23a77b0bef41bb9294	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0006	unresolved-actionable	resource/image_web/campaign/point_up/common/card_compose_all_2000.png	same-geometry	142x76	142x76	1	totentanz:css/chara/CharaTop.css	A:\magicaOLD\resource\image_web\campaign\point_up\common\card_compose_all_2000.png	A:\totentanz-frontend\resource\image_web\campaign\point_up\common\card_compose_all_2000.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\campaign\point_up\common\card_compose_all_2000.png	2e0015b5f9afdcece2d69dd63b0d445cbc2fb7c2130c4fd2f84165342b4b65c0	74aae0dec3f42a6d081826ba6d9ebcf9da9d8f5959ab80c0ae046e340cb1f5b6	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0007	unresolved-actionable	resource/image_web/common/chara/result_text_evolve.png	same-geometry	282x110	282x110	1	product:css/_common/common.css	A:\magicaOLD\resource\image_web\common\chara\result_text_evolve.png	A:\totentanz-frontend\resource\image_web\common\chara\result_text_evolve.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\common\chara\result_text_evolve.png	e7398ac0fdba1e2a706dcc6d1f330f362c981d1cd0e60f8b3851256ae5974012	2c331dd5d49935c4ede9cb715e2eeb7ec266af1f48e9d7f56e11a8a945cf3538	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0008	unresolved-actionable	resource/image_web/common/closed/condition_03.png	same-geometry	90x40	90x40	2	totentanz:css/collection/CollectionTop.css | totentanz:css/collection/CollectionTop.css	A:\magicaOLD\resource\image_web\common\closed\condition_03.png	A:\totentanz-frontend\resource\image_web\common\closed\condition_03.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\common\closed\condition_03.png	24242d04229d150b4011f1002b3832c293cd6ab1809679778b0a0cfad85e91cf	454e6b37f0bd6b264ffabe0c1e6b35ff0ebbb551ab1d0cd38be7101d2cdece48	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0009	unresolved-actionable	resource/image_web/event/accomplish/common/btn_cure.png	same-geometry	102x106	102x106	1	totentanz:css/event/accomplish/EventAccomplishTop.css	A:\magicaOLD\resource\image_web\event\accomplish\common\btn_cure.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\btn_cure.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\btn_cure.png	31d3e6f1b7809e95727b0dc80b6adaf25cefab0b83a06ce8f9ab62982b7a2914	81f18140e89fd575b34f15effca8e3530ed6fd73e6b0ae46d98556d238965653	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0010	unresolved-actionable	resource/image_web/event/accomplish/common/btn_reward.png	same-geometry	116x40	116x40	1	totentanz:css/event/accomplish/EventAccomplishTop.css	A:\magicaOLD\resource\image_web\event\accomplish\common\btn_reward.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\btn_reward.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\btn_reward.png	4483be47c1647f8f610c74f85978039b2712b68685559204553d3f1455fb58cb	33e0ef986d5b08b0a992069b5dc5703a45a25fdc30e81a0921f192a092a3e055	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0011	unresolved-actionable	resource/image_web/event/accomplish/common/deck/bg_cure_time.png	same-geometry	108x48	108x48	1	totentanz:css/event/accomplish/EventAccomplishDeck.css	A:\magicaOLD\resource\image_web\event\accomplish\common\deck\bg_cure_time.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\deck\bg_cure_time.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\deck\bg_cure_time.png	e7206fc7b297ede3a55b8ccca3225026475425c44eabd743676448ca3f2b5745	a730306ee6407a21013dc3bf70fa54cf4d79771227069d8c96c6e2f0c921e9a2	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0012	unresolved-actionable	resource/image_web/event/accomplish/common/deck/btn_cure.png	same-geometry	144x46	144x46	2	totentanz:css/regularEvent/accomplish/RegularEventAccomplishRecovery.css | totentanz:css/event/accomplish/EventAccomplishDeck.css	A:\magicaOLD\resource\image_web\event\accomplish\common\deck\btn_cure.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\deck\btn_cure.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\deck\btn_cure.png	bfcb596a9165371fc53e3647e4841d95f24e847f1a33310bd6197a996dfce238	18dc47005860d1a5447661965e5613d6dcdf1248ab000c114fe39829ee8450e7	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0013	unresolved-actionable	resource/image_web/event/accomplish/common/deck/icon_chara_list_die.png	same-geometry	80x24	80x24	2	totentanz:css/event/accomplish/EventAccomplishDeck.css | totentanz:css/event/accomplish/EventAccomplishRecovery.css	A:\magicaOLD\resource\image_web\event\accomplish\common\deck\icon_chara_list_die.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\deck\icon_chara_list_die.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\deck\icon_chara_list_die.png	5cab85abc16c448c5126661dbb8fbbe2050abf2e961fc20f646bd5db65cd048e	fd3a6495d571d8fbb8c1b3ae9385226a7c863695ec79d34e76b75c198cfe85c6	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0014	unresolved-actionable	resource/image_web/event/accomplish/common/enemyDetail/btn_challenge.png	same-geometry	190x64	190x64	1	totentanz:css/event/accomplish/EventAccomplishEnemyDetail.css	A:\magicaOLD\resource\image_web\event\accomplish\common\enemyDetail\btn_challenge.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\enemyDetail\btn_challenge.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\enemyDetail\btn_challenge.png	b00fd28f6aac9fc63f4e2d68ec1f2a020a187a9446e832005ed94a52281f333a	11798bfeb7108c6b0f5f19bae0989326ac86dcac36f910e1396b5a056cf4426b	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
SOURCE-IMG-0015	unresolved-actionable	resource/image_web/event/accomplish/common/enemyDetail/btn_challenge_gray.png	same-geometry	190x64	190x64	1	totentanz:css/event/accomplish/EventAccomplishEnemyDetail.css	A:\magicaOLD\resource\image_web\event\accomplish\common\enemyDetail\btn_challenge_gray.png	A:\totentanz-frontend\resource\image_web\event\accomplish\common\enemyDetail\btn_challenge_gray.png	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\resource\image_web\event\accomplish\common\enemyDetail\btn_challenge_gray.png	ae3ceafa169f960392e0e75e341162ebe20982156e14b6fb7a1b2eed0b9e4bf4	68371945fbcbf76cddddc7ec19e86e1272c4ca20eaa4e7d0808b2016223a7ada	旧国服同路径图片含可转移的官方中文可见文本，当前美服图片仍为英文/日文或未简体化；尚未进入现有159张官方覆盖或58张重制清单。	按旧国服官方文字覆盖同尺寸图片。	official-cn-legacy-client-image	False
