item_id	file	key	field	before	after	source_tier	review_status	evidence
POST-MANUAL-CSS-01	magica/css/regularEvent/groupBattle/RegularEventGroupBattleRanking.css	css-content/必要GP	content	必要GP	所需GP	new-root-translation	not-yet-human-reviewed	visible CSS pseudo-element; path-scoped careful translation
POST-MANUAL-CSS-02	magica/css/regularEvent/groupBattle/RegularEventGroupBattleUser.css	css-content/必要GP	content	必要GP	所需GP	new-root-translation	not-yet-human-reviewed	visible CSS pseudo-element; path-scoped careful translation
POST-MANUAL-035	magica/js/libs/cardList.json	10424	cardName	Kyubert	小丘比	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + magica/js/libs/charaList.json#id=1042
POST-MANUAL-036	magica/js/libs/cardList.json	10425	cardName	Kyubert	小丘比	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + magica/js/libs/charaList.json#id=1042
POST-MANUAL-003	magica/js/libs/eventStoryList.json	501702-36	storyTitle	EPILOGUE	尾声	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=501702-36/storyTitle retains English; careful Chinese completion
POST-MANUAL-005	magica/js/libs/eventStoryList.json	504901-1	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-1/pointTitle retains English; careful Chinese completion
POST-MANUAL-004	magica/js/libs/eventStoryList.json	504901-1	storyTitle	Prologue	序章	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-1/storyTitle retains English; careful Chinese completion
POST-MANUAL-012	magica/js/libs/eventStoryList.json	504901-11,504901-12	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-11,504901-12/pointTitle retains English; careful Chinese completion
POST-MANUAL-013	magica/js/libs/eventStoryList.json	504901-13,504901-14	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-13,504901-14/pointTitle retains English; careful Chinese completion
POST-MANUAL-014	magica/js/libs/eventStoryList.json	504901-15	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-15/pointTitle retains English; careful Chinese completion
POST-MANUAL-015	magica/js/libs/eventStoryList.json	504901-16,504901-17	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-16,504901-17/pointTitle retains English; careful Chinese completion
POST-MANUAL-016	magica/js/libs/eventStoryList.json	504901-18	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-18/pointTitle retains English; careful Chinese completion
POST-MANUAL-017	magica/js/libs/eventStoryList.json	504901-19	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-19/pointTitle retains English; careful Chinese completion
POST-MANUAL-006	magica/js/libs/eventStoryList.json	504901-2,504901-3	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-2,504901-3/pointTitle retains English; careful Chinese completion
POST-MANUAL-018	magica/js/libs/eventStoryList.json	504901-20,504901-21	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-20,504901-21/pointTitle retains English; careful Chinese completion
POST-MANUAL-019	magica/js/libs/eventStoryList.json	504901-22	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-22/pointTitle retains English; careful Chinese completion
POST-MANUAL-020	magica/js/libs/eventStoryList.json	504901-23,504901-24	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-23,504901-24/pointTitle retains English; careful Chinese completion
POST-MANUAL-021	magica/js/libs/eventStoryList.json	504901-25,504901-26	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-25,504901-26/pointTitle retains English; careful Chinese completion
POST-MANUAL-022	magica/js/libs/eventStoryList.json	504901-27	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-27/pointTitle retains English; careful Chinese completion
POST-MANUAL-024	magica/js/libs/eventStoryList.json	504901-28	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-28/pointTitle retains English; careful Chinese completion
POST-MANUAL-023	magica/js/libs/eventStoryList.json	504901-28	storyTitle	Epilogue	尾声	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-28/storyTitle retains English; careful Chinese completion
