item_id	path	count	source_tier	evidence	note	before	after
TXT-A001	magica/template/formation/DeckFormation.html	1	official-cn	A:/magicaOLD/template/formation/DeckFormation.html#commentDecide		"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>OK</div>"	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>确定</div>"
TXT-A002	magica/template/formation/DeckFormation.html	1	official-cn	A:/magicaOLD/template/formation/DeckFormation.html#TeamRemovePop		"<td><span class=""decideBtn se_decide btn b_pink TE""><span class='b_screen'></span>OK</span></td>"	"<td><span class=""decideBtn se_decide btn b_pink TE""><span class='b_screen'></span>确定</span></td>"
TXT-A003	magica/template/formation/FormationQuest.html	1	official-cn	A:/magicaOLD/template/formation/FormationQuest.html#commentDecide		"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>OK</div>"	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>确定</div>"
TXT-A004	magica/template/formation/DeckFormation.html	1	official-cn	A:/magicaOLD/template/formation/DeckFormation.html#nextPageBtnLoop		<div id='nextPageBtnLoop' class='nextPageBtn loop noneDisp <%= questLoopStatus %>'>自动<br>播放</div>	<div id='nextPageBtnLoop' class='nextPageBtn loop noneDisp <%= questLoopStatus %>'>自动<br>续战</div>
TXT-A005	magica/template/mission/PanelMissionTop.html	1	official-cn	A:/magicaOLD/template/mission/PanelMissionTop.html#missionParts		领取全部收集奖励	获得任务完成报酬
TXT-A006	magica/js/formation/DeckFormation.js	1	official-cn	A:/magicaOLD/js/formation/DeckFormation.js#deckCopyRun	e.name=source; u.name=destination	"content:""\x3cspan class\x3d'c_pink'\x3e""+e.name+""\x3c/span\x3e\x3cspan class\x3d'c_pink'\x3e""+
u.name+""已复制到\x3c/span\x3e。\x3cbr\x3e\x3cbr\x3e\x3cspan class\x3d'c_red'\x3e点击决定按钮后即可确定。\x3c/span\x3e"""	"content:""\x3cspan class\x3d'c_pink'\x3e""+e.name+""\x3c/span\x3e已被复制到 \x3cspan class\x3d'c_pink'\x3e""+u.name+""\x3c/span\x3e。\x3cbr\x3e\x3cbr\x3e\x3cspan class\x3d'c_red'\x3e点击确定键即可确认。\x3c/span\x3e"""
TXT-A007	magica/template/chara/CharaDetail.html	1	official-cn	A:/magicaOLD/template/chara/CharaDetail.html#charaSetting		"						<p class=""common_title_frame"">圆盘</p>"	"						<p class=""common_title_frame"">行动盘</p>"
TXT-A008	magica/template/formation/FormationQuest.html	1	official-cn	A:/magicaOLD/template/formation/FormationQuest.html#DeckDetailPartsTemp		"					<p>圆盘</p>"	"					<p>行动盘</p>"
TXT-A009	magica/template/formation/FormationSupport.html	1	official-cn	A:/magicaOLD/template/formation/FormationSupport.html#DeckDetailPartsTemp		"					<p>圆盘</p>"	"					<p>行动盘</p>"
TXT-A010-01	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""Charge 圆盘"""	"""Charge 行动盘"""
TXT-A010-02	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""连续使用 Charge 圆盘@可以积攒充能，造成大量伤害"""	"""连续使用 Charge 行动盘@可以积攒充能，造成大量伤害"""
TXT-A010-03	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""用相同圆盘达成 Puella Combo@可以造成更大的伤害"""	"""用相同行动盘达成 Puella Combo@可以造成更大的伤害"""
TXT-A010-04	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""取消圆盘"""	"""取消行动盘"""
TXT-A010-05	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""点击已选中的圆盘即可取消@从而重新选择圆盘"""	"""点击已选中的行动盘即可取消@从而重新选择行动盘"""
TXT-A010-06	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""即使在选择圆盘的过程中@也可以发动技能"""	"""即使在选择行动盘的过程中@也可以发动技能"""
TXT-A010-07	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""更改圆盘外观"""	"""更改行动盘外观"""
TXT-A010-08	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""在魔法少女详情画面的设置中@可以更改圆盘的外观"""	"""在魔法少女详情画面的设置中@可以更改行动盘的外观"""
TXT-A010-09	magica/js/_common/nativeCommand.js	2	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""Accele 圆盘"""	"""Accele 行动盘"""
TXT-A010-10	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""先用 Accele 圆盘攻击@之后的圆盘更容易积攒 Magia 槽"""	"""先用 Accele 行动盘攻击@之后的行动盘更容易积攒 Magia 槽"""
TXT-A010-11	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""越是第 2 张、第 3 张 Accele 圆盘@越容易积攒 Magia 槽"""	"""越是第 2 张、第 3 张 Accele 行动盘@越容易积攒 Magia 槽"""
TXT-A010-12	magica/js/_common/nativeCommand.js	3	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""Blast 圆盘"""	"""Blast 行动盘"""
TXT-A010-13	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""用 Blast 圆盘攻击时@不会积攒 Magia 槽，请注意"""	"""用 Blast 行动盘攻击时@不会积攒 Magia 槽，请注意"""
TXT-A010-14	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""圆盘的出现"""	"""行动盘的出现"""
TXT-A010-15	magica/js/_common/nativeCommand.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand.js#battle-tips	official CN terminology; exact visible string literal	"""被指定为队长的魔法少女@圆盘更容易出现"""	"""被指定为队长的魔法少女@行动盘更容易出现"""
TXT-A011-01	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""Charge 圆盘"""	"""Charge 行动盘"""
TXT-A011-02	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""连续使用 Charge 圆盘@可以积攒充能，造成大量伤害"""	"""连续使用 Charge 行动盘@可以积攒充能，造成大量伤害"""
TXT-A011-03	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""用相同圆盘达成 Puella Combo@可以造成更大的伤害"""	"""用相同行动盘达成 Puella Combo@可以造成更大的伤害"""
