item_id	chara_id	record_index	current_name	current_title	current_kana	recommended_kana	decision	source_class	source_tier	wiki_pages	wiki_nameZh	runtime_location	target_path	target_field	evidence	review_status	product_write_allowed
CHARA-KANA-CN-1020	1020	19	佐鸟笼目		Satori Kagome	佐鸟笼目	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	佐鸟笼目	佐鸟笼目	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#佐鸟笼目;charaId=1020;nameZh=佐鸟笼目	authority-structural-ready	true
CHARA-KANA-CN-1021	1021	20	红晴结菜		Kureha Yuna	红晴结菜	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	红晴结菜	红晴结菜	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#红晴结菜;charaId=1021;nameZh=红晴结菜	authority-structural-ready	true
CHARA-KANA-CN-1022	1022	21	煌里光		Kirari Hikaru	煌里光	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	煌里光	煌里光	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#煌里光;charaId=1022;nameZh=煌里光	authority-structural-ready	true
CHARA-KANA-CN-1023	1023	22	笠音青		Kasane Ao	笠音青	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	笠音青	笠音青	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#笠音青;charaId=1023;nameZh=笠音青	authority-structural-ready	true
CHARA-KANA-CN-1024	1024	23	大庭树里		Oba Juri	大庭树里	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	大庭树里	大庭树里	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#大庭树里;charaId=1024;nameZh=大庭树里	authority-structural-ready	true
CHARA-KANA-CN-1025	1025	24	时女静香		Tokime Shizuka	时女静香	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	时女静香	时女静香	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#时女静香;charaId=1025;nameZh=时女静香	authority-structural-ready	true
CHARA-KANA-CN-1027	1027	26	土岐沙绪		Toki Sunao	土岐沙绪	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	土岐沙绪	土岐沙绪	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#土岐沙绪;charaId=1027;nameZh=土岐沙绪	authority-structural-ready	true
CHARA-KANA-CN-1028	1028	27	蓝家姬奈		Aika Himena	蓝家姬奈	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	蓝家姬奈	蓝家姬奈	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#蓝家姬奈;charaId=1028;nameZh=蓝家姬奈	authority-structural-ready	true
CHARA-KANA-CN-1029	1029	28	宫尾时雨		Miyabi Shigure	宫尾时雨	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	宫尾时雨	宫尾时雨	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#宫尾时雨;charaId=1029;nameZh=宫尾时雨	authority-structural-ready	true
CHARA-KANA-CN-1030	1030	29	安积育梦		Azumi Hagumu	安积育梦	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	安积育梦	安积育梦	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#安积育梦;charaId=1030;nameZh=安积育梦	authority-structural-ready	true
CHARA-KANA-CN-1031	1031	30	神乐灿		Kagura San	神乐灿	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	神乐灿	神乐灿	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#神乐灿;charaId=1031;nameZh=神乐灿	authority-structural-ready	true
CHARA-KANA-CN-1032	1032	31	游狩美由利		Yukari Miyuri	游狩美由利	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	游狩美由利	游狩美由利	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#游狩美由利;charaId=1032;nameZh=游狩美由利	authority-structural-ready	true
CHARA-KANA-CN-1033	1033	32	冰室拉比		Himuro Lavi	冰室拉比	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	冰室拉比	冰室拉比	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#冰室拉比;charaId=1033;nameZh=冰室拉比	authority-structural-ready	true
CHARA-KANA-CN-1034	1034	33	三浦旭		Miura Asahi	三浦旭	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	三浦旭	三浦旭	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#三浦旭;charaId=1034;nameZh=三浦旭	authority-structural-ready	true
CHARA-KANA-CN-1035	1035	34	栗栖亚历山德拉		Kurusu Alexandra	栗栖亚历山德拉	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	栗栖亚历山德拉	栗栖亚历山德拉	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#栗栖亚历山德拉;charaId=1035;nameZh=栗栖亚历山德拉	authority-structural-ready	true
CHARA-KANA-CN-1036	1036	35	有爱丽		Yume Urara	有爱丽	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	有爱丽	有爱丽	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#有爱丽;charaId=1036;nameZh=有爱丽	authority-structural-ready	true
CHARA-KANA-CN-1037	1037	36	里见那由他		Satomi Nayuta	里见那由他	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	里见那由他	里见那由他	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#里见那由他;charaId=1037;nameZh=里见那由他	authority-structural-ready	true
CHARA-KANA-CN-1038	1038	37	八云御影		Yakumo Mikage	八云御影	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	八云御影	八云御影	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#八云御影;charaId=1038;nameZh=八云御影	authority-structural-ready	true
CHARA-KANA-CN-1039	1039	38	佐和月出里		Sawa Yozuru	佐和月出里	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	佐和月出里	佐和月出里	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#佐和月出里;charaId=1039;nameZh=佐和月出里	authority-structural-ready	true
