path	line	text	disposition
template/arena/ArenaConfirm.html	78	Pt	formal-retained
template/arena/ArenaConfirm.html	80	获得 Pt×	localized-with-retained-formal-term
template/arena/ArenaConfirm.html	83	Pt	formal-retained
template/arena/ArenaConfirm.html	89	获得Pt ×	localized-with-retained-formal-term
template/arena/ArenaFreeRank.html	49	Pt	formal-retained
template/arena/ArenaFreeRank.html	68	镜界Pt+	localized-with-retained-formal-term
template/arena/ArenaFreeRank.html	79	还有Pt	localized-with-retained-formal-term
template/arena/ArenaFreeRank.html	123	Pt	formal-retained
template/arena/ArenaHistory.html	84	＋  Pt	formal-retained
template/arena/ArenaHistory.html	125	请输入要播放的回放ID。	localized-with-retained-formal-term
template/arena/ArenaHistory.html	128	回放 ID	localized-with-retained-formal-term
template/arena/ArenaRanking.html	43	Pt	formal-retained
template/arena/ArenaRanking.html	75	Pt	formal-retained
template/arena/ArenaRanking.html	83	使用1个BP回复药即可将对战次数	localized-with-retained-formal-term
template/arena/ArenaRanking.html	85	BP回复药	localized-with-retained-formal-term
template/arena/ArenaResult.html	99	Pt	formal-retained
template/arena/ArenaResult.html	117	Pt	formal-retained
template/arena/ArenaResult.html	123	下一镜层尚未解放,不会加算镜界Pt	localized-with-retained-formal-term
template/arena/ArenaResult.html	129	Pt	formal-retained
template/arena/ArenaResult.html	140	Pt	formal-retained
template/arena/ArenaResult.html	148	演习中无法获得镜币·镜界Pt	localized-with-retained-formal-term
template/arena/ArenaResult.html	163	剩余HP	localized-with-retained-formal-term
template/arena/ArenaResult.html	177	Pt	formal-retained
template/arena/ArenaResult.html	191	310Pt	formal-retained
template/arena/ArenaResult.html	192	-Pt	formal-retained
template/arena/ArenaResult.html	364	回放 ID	localized-with-retained-formal-term
template/arena/ArenaSimulate.html	110	请输入演习对战玩家的镜界ID。	localized-with-retained-formal-term
template/arena/ArenaSimulate.html	113	镜界 ID	localized-with-retained-formal-term
template/arena/ArenaSimulate.html	115	OK	formal-retained
template/arena/ArenaSimulate.html	116	发行镜界ID	localized-with-retained-formal-term
template/arena/ArenaSimulate.html	117	镜界ID发行后1小时内有效。	localized-with-retained-formal-term
template/arena/ArenaSimulate.html	119	※镜界ID发行期间无法重新发行。有效期结束后可重新发行。	localized-with-retained-formal-term
template/arena/ArenaSimulate.html	126	镜界 ID	localized-with-retained-formal-term
template/card/CardPopup.html	8	RARE：	debug-code-or-unreferenced-template
template/card/CardPopup.html	9	Lv：/	debug-code-or-unreferenced-template
template/card/CardPopup.html	10	BP：	formal-retained
template/card/CardPopup.html	11	HP：	formal-retained
template/card/CardPopup.html	12	ATK：	formal-retained
template/card/CardPopup.html	13	DEF：	formal-retained
template/card/CardPopup.html	14	SPD：	formal-retained
template/card/CardPopup.html	22	presetDiskList	debug-code-or-unreferenced-template
template/card/CardSort.html	67	Magia	formal-retained
template/card/ComposeAnimation.html	2	ComposeAnimation	debug-code-or-unreferenced-template
template/card/ComposeAnimation.html	4	ComposeResult	debug-code-or-unreferenced-template
template/card/ComposeResult.html	2	ComposeResult	debug-code-or-unreferenced-template
template/card/ComposeResult.html	7	Lv. : /	debug-code-or-unreferenced-template
