item_id	path	selector	source_values	target_values	source_tier	evidence	before_rule_count	after_rule_count
UI-066	magica/css/_common/common.css	.userCharaIcon .lv:before	Lv	等级	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['等级']	0	1
UI-067	magica/css/_common/common.css	.userCharaIcon .eplv:before	エピソードLv	事件等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['事件等级']; old official CSS absent or untranslated at this selector	0	1
UI-068	magica/css/_common/common.css	.userCharaIcon .mlv:before	マギアLv	魔法等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['魔法等级']; old official CSS absent or untranslated at this selector	0	1
UI-069	magica/css/_common/common.css	.userCharaIcon .enhance:before	精神強化	精神强化	confirmed-existing-human	current MagiaCN same-path same-selector override content=['精神强化']; old official CSS absent or untranslated at this selector	0	1
UI-070	magica/css/_common/common.css	.userCharaIcon .composeAttribute:before	属性強化	属性强化	confirmed-existing-human	current MagiaCN same-path same-selector override content=['属性强化']; old official CSS absent or untranslated at this selector	0	1
UI-071	magica/css/_common/common.css	#memoriaDetailWrap #memoriaDetailPopup .popupDetailWrap .infoWrap .paramWrap .cardLevel:before	Lv	等级	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['等级']	0	1
UI-072	magica/css/_common/common.css	#memoriaDetailWrap #memoriaDetailPopup .popupDetailWrap .infoWrap .illustrator:before	Illustrator	画师	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['画师']	0	1
UI-073	magica/css/_common/common.css	#charaComposeResult .resultMessageWrap .rowBox.magia .titleBox:after	マギア	Magia	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['Magia']	0	1
UI-074	magica/css/_common/common.css	#charaComposeResult .resultMessageWrap .rowBox.exSkill .titleBox:after	EXスキル	EX技能	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['EX技能']	0	1
UI-075	magica/css/_common/common.css	#charaComposeResult .resultMessageWrap .rowBox.connect .titleBox:after	コネクト	连携	official-cn-terminology	connect_supersession_ui075.json; official UI terminology; historical manifest target Connect retained only as provenance	0	2
UI-076	magica/css/_common/common.css	#charaComposeResult .resultMessageWrap .rowBox.close .titleBox:after	条件クリアで解放	达成条件即可解锁	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['达成条件即可解锁']	0	1
UI-077	magica/css/_common/common.css	#myProfile #followerParamDetail .detailMainWrap .userLevel:before	Rank	等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['等级']; old official CSS absent or untranslated at this selector	0	1
UI-078	magica/css/_common/common.css	#myProfile #followerParamDetail .detailMainWrap .reachingAccomplish:after	Stage	关卡	confirmed-existing-human	current MagiaCN same-path same-selector override content=['关卡']; old official CSS absent or untranslated at this selector	0	1
UI-079	magica/css/_common/common.css	#myProfile #followerParamDetail .detailMainWrap .totalForcesWrap #totalForces:before	総合戦力値	综合战力值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['综合战力值']; old official CSS absent or untranslated at this selector	0	1
UI-080	magica/css/_common/common.css	#myProfile #followerParamDetail .detailMainWrap .friendWrap .lastLogin:before	最終ログイン	最终登录	confirmed-existing-human	current MagiaCN same-path same-selector override content=['最终登录']; old official CSS absent or untranslated at this selector	0	1
UI-081	magica/css/_common/common.css	.announcementPopup .pickUpDetail.MEMORIA.SKILL .memoriaTypeName:before,.announcementPopupMainte .pickUpDetail.MEMORIA.SKILL .memoriaTypeName:before	スキルタイプ	技能类型	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['技能类型']	0	1
UI-082	magica/css/_common/common.css	.announcementPopup .pickUpDetail.MEMORIA.SKILL .description .common_dl dt:before,.announcementPopupMainte .pickUpDetail.MEMORIA.SKILL .description .common_dl dt:before	スキル	技能	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['技能']	0	1
UI-083	magica/css/_common/common.css	.announcementPopup .pickUpDetail.MEMORIA.ABILITY .memoriaTypeName:before,.announcementPopupMainte .pickUpDetail.MEMORIA.ABILITY .memoriaTypeName:before	アビリティタイプ	能力类型	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['能力类型']	0	1
UI-084	magica/css/_common/common.css	.announcementPopup .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt:before,.announcementPopupMainte .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt:before	アビリティ	能力	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['能力']	0	1
UI-085	magica/css/_common/common.css	.itemSalePop .itemSalePopup .itemPopMiniWrap .afterPoint .pointFrame:before	入手数	获得数量	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['获得数量']	0	1
UI-086	magica/css/_common/common.css	.itemSalePop .itemSalePopup .hasAmount:before	所持	持有	official-cn-css	A:\magicaOLD\css\_common\common.css same-path same-selector content=['持有']	0	1
UI-087	magica/css/arena/ArenaResult.css	#ArenaResult #enemyBtn .enemyTitle:before	対戦相手	对手	confirmed-existing-human	current MagiaCN same-path same-selector override content=['对手']; old official CSS absent or untranslated at this selector	0	1
UI-088	magica/css/chara/CharaCommon.css	#btnArea.charaDetail li.compose:before	魔力\a 強化	魔力\A强化	confirmed-existing-human	current MagiaCN same-path same-selector override content=['魔力\\A强化']; old official CSS absent or untranslated at this selector	0	1
UI-089	magica/css/chara/CharaCommon.css	#btnArea.charaDetail li.composeMagia:before	マギア\a 強化	Magia\A强化	confirmed-existing-human	current MagiaCN same-path same-selector override content=['Magia\\A强化']; old official CSS absent or untranslated at this selector	0	1
UI-090	magica/css/chara/CharaCommon.css	#btnArea.charaDetail li.customize:before	覚醒	觉醒	confirmed-existing-human	current MagiaCN same-path same-selector override content=['觉醒']; old official CSS absent or untranslated at this selector	0	1
UI-091	magica/css/chara/CharaCommon.css	#btnArea.charaDetail li.equip:before	魔力\a 解放	魔力\A解放	confirmed-existing-human	current MagiaCN same-path same-selector override content=['魔力\\A解放']; old official CSS absent or untranslated at this selector	0	1
UI-092	magica/css/chara/CharaCommon.css	#btnArea.charaDetail li.enhance:before	精神\a 強化	精神\A强化	confirmed-existing-human	current MagiaCN same-path same-selector override content=['精神\\A强化']; old official CSS absent or untranslated at this selector	0	1
UI-093	magica/css/chara/CharaCommon.css	#btnArea.charaDetail li.composeAttribute:before	属性\a 強化	属性\A强化	confirmed-existing-human	current MagiaCN same-path same-selector override content=['属性\\A强化']; old official CSS absent or untranslated at this selector	0	1
UI-094	magica/css/chara/CharaEnhancementTree.css	.popupEnhanceReset .popupTextArea .resetItem .hasIcons:before	所持	持有	confirmed-existing-human	current MagiaCN same-path same-selector override content=['持有']; old official CSS absent or untranslated at this selector	0	1
UI-095	magica/css/collection/MemoriaCollection.css	#MemoriaCollection ul#memoriaListInfo .cardCount_2:before	所持数	持有数量	official-cn-css	A:\magicaOLD\css\collection\MemoriaCollection.css same-path same-selector content=['持有数量']	0	1
UI-096	magica/css/collection/MemoriaCollection.css	#MemoriaCollection ul#memoriaListInfo .cardCount_3:before	選択数	选择数量	official-cn-css	A:\magicaOLD\css\collection\MemoriaCollection.css same-path same-selector content=['选择数量']	0	1
UI-097	magica/css/collection/StoryCollection.css	.openStoryPopup .costHasNum:before	所持	持有	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['持有']	0	1
UI-098	magica/css/collection/StoryCollection.css	#StoryCollection #listWrap #unlockItems:before	所持	持有	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['持有']	0	1
UI-099	magica/css/event/EventWitch/ExchangeTop.css	.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.SKILL .memoriaTypeName:before	スキルタイプ	技能类型	confirmed-existing-human	current MagiaCN same-path same-selector override content=['技能类型']; old official CSS absent or untranslated at this selector	0	1
UI-100	magica/css/event/EventWitch/ExchangeTop.css	.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.SKILL .description .common_dl dt:before	スキル	技能	confirmed-existing-human	current MagiaCN same-path same-selector override content=['技能']; old official CSS absent or untranslated at this selector	0	1
UI-101	magica/css/event/EventWitch/ExchangeTop.css	.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.ABILITY .memoriaTypeName:before	アビリティタイプ	能力类型	confirmed-existing-human	current MagiaCN same-path same-selector override content=['能力类型']; old official CSS absent or untranslated at this selector	0	1
UI-102	magica/css/event/EventWitch/ExchangeTop.css	.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt:before	アビリティ	能力	confirmed-existing-human	current MagiaCN same-path same-selector override content=['能力']; old official CSS absent or untranslated at this selector	0	1
UI-103	magica/css/event/dailytower/EventDailyTower.css	#EventDailyTower.EventDailyTowerTop .allClear:before	次のクエストは未解放です\a 解放日時までお待ち下さい	下一个副本尚未解锁\A解锁前请耐心等候	official-cn-css	A:\magicaOLD\css\event\dailytower\EventDailyTower.css same-path same-selector content=['下一个副本尚未解锁\\A解锁前请耐心等候']	0	1
UI-104	magica/css/event/raid/EventRaidTop.css	#MissionArea .wrap .missionBtn:before	受け取る	领取	official-cn-css	A:\magicaOLD\css\event\raid\EventRaidTop.css same-path same-selector content=['领取']	0	1
UI-105	magica/css/event/tower/EventTower.css	#EventTower.EventTowerTop .allClear:before	次のクエストは未解放です\a 解放日時までお待ち下さい	下一个副本尚未解锁\A解锁前请耐心等候	official-cn-css	A:\magicaOLD\css\event\tower\EventTower.css same-path same-selector content=['下一个副本尚未解锁\\A解锁前请耐心等候']	0	1
UI-106	magica/css/formation/DeckFormation.css	#DeckFormation.deckCopy .deckSelectInner .currentDeck .detailOverwrap:before	コピー先	复制位置	official-cn-css	A:\magicaOLD\css\formation\DeckFormation.css same-path same-selector content=['复制位置']	0	1
UI-107	magica/css/formation/DeckFormation.css	#DeckFormation .deckName.deck71:before	第一の結界	第一结界	confirmed-existing-human	current MagiaCN same-path same-selector override content=['第一结界']; old official CSS absent or untranslated at this selector	0	1
UI-108	magica/css/formation/DeckFormation.css	#DeckFormation .deckName.deck72:before	第二の結界	第二结界	confirmed-existing-human	current MagiaCN same-path same-selector override content=['第二结界']; old official CSS absent or untranslated at this selector	0	1
UI-109	magica/css/formation/DeckFormation.css	#DeckFormation .deckName.deck73:before	第三の結界	第三结界	confirmed-existing-human	current MagiaCN same-path same-selector override content=['第三结界']; old official CSS absent or untranslated at this selector	0	1
